,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9
PDPN,0.019824712,0.007074527,0.00273549,0.000431988,0.000222288,0.000181642,0.004892659,0.062243104,0.000668089
PRDM2,0.101741955,0.020954629,0.246333972,0.000264785,0.000237458,0.000124389,0.13690266,0.086926371,0.000376053
KAZN,0.001692719,0.003572936,0.002520542,0.000233484,0.000412159,0.000220251,0.004577838,0.027475404,0.000327718
TMEM51-AS1,0.000531341,0.00016276,0.002189405,0.000212635,0.000242368,0.000164051,0.001730829,0.00048407,0.000337895
TMEM51,0.00111966,0.00996823,0.729668736,0.000246639,0.000227378,0.000224112,0.129063979,0.008855391,0.00072592
FHAD1,0.068074733,0.000167239,0.002021435,0.000129655,0.00016267,0.000127377,0.001491846,0.000389688,0.000247452
EFHD2,0.255873322,0.021628482,0.514689982,0.051664442,0.057912368,0.080205195,0.626605511,0.19836092,0.129304975
CTRC,0.000619444,0.00184087,0.003404154,0.000409152,0.000109571,0.030719511,0.003588865,0.004662975,0.037557758
CASP9,0.011598868,0.014897024,0.013026361,0.000435611,0.047641024,0.000154018,0.006571225,0.013983302,0.000805464
DNAJC16,0.044698671,0.000404921,0.002139445,0.001084616,0.000213085,0.000520514,0.00446217,0.049925011,0.051392712
AL121992.3,0.001977341,0.001727595,0.003390954,0.043941461,0.000268109,0.000141639,0.003143442,0.001903803,0.000319307
AGMAT,0.259224296,0.055011332,0.002059793,0.044462804,0.071463034,0.055164058,0.799136937,0.01044267,0.183966547
DDI2,0.140606686,0.009268881,0.235528514,0.000750957,0.000406555,0.000243756,0.25619331,0.020112555,0.103129901
PLEKHM2,0.040882777,0.031113122,0.001752143,0.046131529,0.042694926,0.03638,0.299074918,0.167203128,0.044100214
SLC25A34,0.005080589,0.004679631,0.022629721,0.000243046,0.000403431,0.000406621,0.002751515,0.004845992,0.000617257
SLC25A34-AS1,0.000507117,0.000232971,0.002242979,0.000209394,0.000298823,0.000163374,0.002007199,0.008682657,0.000290806
TMEM82,0.00752042,0.027815631,0.232486293,0.00034483,0.000417676,0.03347094,0.001884399,0.003215911,0.000531995
FBLIM1,0.084992178,0.027590757,0.619536519,0.000338079,0.080179408,0.030752299,0.139309376,0.214983001,0.122770265
UQCRHL,0.002433476,0.000482582,0.00257996,0.000227537,0.000340782,0.00021988,0.002464851,0.001306101,0.000289248
AL450998.2,0.00065832,0.000170258,0.002635703,0.000344885,0.000220216,0.000174626,0.002284403,0.001141745,0.000317084
SPEN,0.032335412,0.01651689,0.004331752,0.036776882,0.00021825,0.036743019,0.148255616,0.083490521,0.043306764
ZBTB17,0.026078174,0.036233444,0.01772422,0.048100777,0.043332167,0.037002884,0.006523697,0.044127502,0.089667082
