"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
"AC124016.1","ABHD1","CD48","PCDH7","CRYBA2","VANGL1","SLC2A12","ASXL2","FLG-AS1","Z98200.1","KCNG3","TMCC1-AS1","AC018761.2","LINC01828","LINC00523","RPL35A","DEUP1","ARMC2","ADRA1B","AC010883.1",NA,"NPIPB15"
"PLAC8","IFT172","OLFML2B","ATP10D","ERFE","ZNF697","AL078590.2","CAPN13","S100A8","AL024508.2","SIX3-AS1","LRRC34","AC111149.2","AF235103.3","CCDC169","ATP5ME","HSD11B1","AC091057.6","DUSP19","ATP6V1E2",NA,"CDHR2"
"NAP1L5","GCKR","DPT","PDGFRA","GHRLOS","ITGA10","AL035530.2","AL121658.1","S100A14","AL009176.1","CLHC1","LINC01876","AL391834.1","SEZ6","AC099568.2","RPL9","VIPR1","AL391001.1","ALDH1A2","AC012358.3",NA,"AC090164.2"
"AC114811.2","RBKS","PRRX1","UGT2B15","AC034198.2","LINC02804","LINC00602","AC007390.2","SHE","TWIST1","AC016727.1","GLYATL1","CHROMR","TUBB8","AC021483.2","GC","FAM87B","ZNF708","PAQR9-AS1","SH2D6",NA,"AFM"
"ADH7","AC104695.4","ANKRD45","JCHAIN","AC096921.2","LINC02805","AL022069.1","AC093635.1","SH2D2A","C7orf57","AC012368.1","ACSM5","CBLN3","AC009118.2","CFAP46","ALB","AC009236.1","LINC01370","AC092368.3","LINC01943",NA,"AC008549.1"
"AC096564.1","TMEM178A","AL353708.3","HERC6","VIPR1","NOTCH2NLC","PKD1L1","CCDC85A","ITLN1","CFAP69","AC010913.1","PSMG3-AS1","CD72","AL136221.1","STK24-AS1","AFP","EBF2","SNX20","TNFAIP8L3","GPAT2",NA,"AC008760.2"
"AC107208.1","LINC02580","AL162431.1","SYNPO2","AC137630.3","CTSS","TRIM74","ETAA1","NOS1AP","SMKR1","ACTG2","RPRML","OR2A1-AS1","FCRLA","AC017002.3","AC093827.4","AC007684.2","HSD11B1","UBXN10","LYG1",NA,"ANGPTL3"
"AC079766.1","SIX3","NCF2","MAP9","U73166.1","MLLT11","EFCAB10","TGFA","SELL","PTPRN2","REG1B","FCGR2B","AP000527.1","XKR5","CYP39A1","RPL34","NRROS","LINC00987","OR10G4","RFX8",NA,"MIR4453HG"
"ADAMTS16","KCNK12","AL445228.2","AC104083.1","C3orf67","AL391069.2","CTTNBP2","CD207","GAS5-AS1","ARHGEF10","PLGLB1","LYPD6","ZSWIM3","ZBTB12","MAK","SNHG8","NR2F2-AS1","TEKT2",NA,"IL1RL1",NA,"OTC"
"MIR4458HG","AC010967.1","TRMT1L","HAND2","GPR27","AL358472.2","LRGUK","AC010913.1","KIAA0040","LRRCC1","MALL","HIST1H2BE","ARHGAP30","CERNA1","MAFA-AS1","RPS3A","AC109361.1","SIGLEC9",NA,"SULT1C2",NA,"DAO"
