"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
"AC005046.1","AC007364.1","C1GALT1C1L","PHACTR1","PF4","LEFTY1","TBC1D10C","ARIH2OS","CATSPERE","INTS6-AS1","PDZRN3-AS1",NA,NA,NA,NA,"CLPS",NA,NA,NA,"LINC02585",NA,"AL008729.2"
"TFEC","NEB","PRKCE","GMPR","ATOH1","AL136988.2","MRGPRF","CCDC71","ZNF695","LINC01309","LINC02027",NA,NA,NA,NA,"HSP90AB1",NA,NA,NA,"PRKAR2A-AS1",NA,"PIPOX"
"AC007938.2","KLHL41","ASB3","ID4","DAPP1","AL357556.4","CCDC153","MST1R","SOX11","TEX29","AC063944.3",NA,NA,NA,NA,"EEF1A1",NA,NA,NA,"LSMEM2",NA,"ITLN2"
"DGKI","SCRN3","AC015982.2","PSMB8-AS1","AC098487.1","KIF26B","ANO2","IL17RD","TTC32","TPPP2","CCDC191",NA,NA,NA,NA,"CD24",NA,NA,NA,"RASSF1-AS1",NA,"LINC02028"
"TRBC2","PJVK","REL","SCUBE3","ARHGEF38-IT1","AL591848.4","FAR2","MITF","WDR35","TRAV41","EAF2",NA,NA,NA,NA,"RPS12",NA,NA,NA,"PARP3",NA,"NUPR1"
"FGF17","AC010680.3","ANTXR1","RCAN2","AC109347.2","LRATD1","AC016957.2","LINC02005","UBXN2A","AL161663.2","KIAA1257",NA,NA,NA,NA,"CYP2W1",NA,NA,NA,"FLNB-AS1",NA,"MAST4-AS1"
"AC104211.2","AC021851.1","LINC01816","AL391840.1","UGT8","AC012065.4","VDR","CADM2","PFN4","LINC02315","H1FX-AS1",NA,NA,NA,NA,"PSMG3-AS1",NA,NA,NA,"AC097369.2",NA,"CXCL10"
"AC067930.3","FSIP2-AS2","SLC4A5","LAMA2","PLK4","PLB1","STAC3","ARL6","KCNK3","TRIM9","TMCC1-AS1",NA,NA,NA,NA,"ACTB",NA,NA,NA,"EPHA3",NA,"GXYLT2"
"AC109322.1","RFTN2","AC019069.1","TCF21","PCDH18","MEMO1","AC073655.2","CD47","UCN","AL133279.1","LINC02021",NA,NA,NA,NA,"NDUFA4",NA,NA,NA,"CEP97",NA,"FRMPD1"
"VLDLR-AS1","AC009974.1","AC233266.2","VIP","SMIM31","OXER1","SYCP3","IFT57","AC092164.1","AL122023.1","NEK11",NA,NA,NA,NA,"TOMM7",NA,NA,NA,"NXPE3",NA,"UROC1"
"FAM27C","NHEJ1","ADRA2B","SMOC2","AC107214.2","SRBD1","STAB2","CSTA","GALNT14","AL049840.4","EPHB1",NA,NA,NA,NA,"PPIA",NA,NA,NA,"AC063938.1",NA,"KNG1"
"SHC3","DNER","LINC01106","BX322234.1","SPEF2","AC093635.1","GLT8D2","UROC1","LTBP1","AC023906.4","PPP2R3A",NA,NA,NA,NA,"ATP5MF",NA,NA,NA,"SIDT1",NA,"CPS1"
"FAM78A","ECEL1","MIR4435-2HG","THBS2","AC025449.2","VRK2","UBE2L5","AC133681.1","RMDN2","HEXA-AS1","AC096992.2",NA,NA,NA,NA,"CPA2",NA,NA,NA,"GRAMD1C",NA,"SLCO1B3"
"LCN15","SAG","FBLN7","INMT","AC008966.2","AC016747.1","MEDAG","CHST2","AC019171.1","AC105020.5","PLSCR2",NA,NA,NA,NA,"CPA5",NA,NA,NA,"EFCAB12",NA,"EMILIN3"
"ST8SIA6","AC133528.1","MAP3K2","AC018647.1","MCIDAS","ALMS1","KCNRG","ERICH6-AS1","AC073283.2","PRC1-AS1","IGSF10",NA,NA,NA,NA,"CPA1",NA,NA,NA,"AC092969.1",NA,"CFB"
"AL158211.4","AC034195.1","CCDC115","SFRP4","AC026704.1","BOLA3-AS1","TMEM253","SLC66A1L","PAPOLG","RGMA","LINC00886",NA,NA,NA,NA,"MEST",NA,NA,NA,"NMNAT3",NA,"ALB"
"MSMB","TTLL3","NXPH2","TRG-AS1","AC092354.1","FER1L5","PTGER2","SHOX2","WDPCP","LINC00924","C3orf70",NA,NA,NA,NA,"PRSS1",NA,NA,NA,"PAQR9-AS1",NA,"C1orf116"
"TIMM23B-AGAP6","CAND2","AC009961.1","INHBA","GTF2H2C","FAHD2B","AL049838.1","AC080013.6","FBXO48","NR2F2-AS1","ZNF595",NA,NA,NA,NA,"PRSS2",NA,NA,NA,"WWTR1",NA,"AC008105.3"
"ASAH2","THRB-AS1","ERICH2","ELN","RFESD","AC159540.2","HEATR4","AC007823.1","AC062029.1","FAM138E","PDE6B",NA,NA,NA,NA,"RARRES2",NA,NA,NA,"MBNL1-AS1",NA,"MT-ATP8"
"LNCAROD","FBXL2","AC010894.2","NCF1","ERAP2","ANKRD36B","KCNK10","LAMP3","CNNM4","WASIR2","ZFYVE28",NA,NA,NA,NA,"KCNH2",NA,NA,NA,"VEPH1",NA,"ASAH2"
"KCNMA1","TRANK1","AC019080.1","CACNA2D1","LINC02062","C2orf92","BCL11B","TPRG1","TXNDC9","AC005363.2","EVC2",NA,NA,NA,NA,"DEFB1",NA,NA,NA,"TRIM59",NA,"AC019129.2"
"AL138762.1","C3orf35","TTC30B","SAMD9L","ST8SIA4","MITD1","LINC00638","LINC02036","IL1R2","NOMO2","AC108519.1",NA,NA,NA,NA,"AC068587.4",NA,NA,NA,"NCEH1",NA,"ANGPTL8"
"ELOVL3","AC104187.1","RBM45","COL1A2","MCC","SLC9A2","PLD4","AC233280.1","TMEM182","TMC7","SLIT2",NA,NA,NA,NA,"CLU",NA,NA,NA,"AC131235.2",NA,"MAOB"
"PITX3","CCR2","CASP8","NYAP1","KCNN2","MFSD9","FAM30A","BDH1","TGFBRAP1","ATP2A1","AC110611.1",NA,NA,NA,NA,"RPS20",NA,NA,NA,"ETV5",NA,"ARG1"
"NRAP","AC137630.4","ICA1L","SERPINE1","AC010226.1","LINC01123","SEMA6D","ZFYVE28","AC012360.3","ZNF785","ENAM",NA,NA,NA,NA,"RPL7",NA,NA,NA,"LINC02026",NA,"AL662844.4"
"PKP3","INKA1","AC007038.1","TRBC2","AC106791.1","NPHP1","AC013553.3","AC104825.1","DPP10","SLC12A3","AREG",NA,NA,NA,NA,"UQCRB",NA,NA,NA,"MUC20",NA,"ITIH3"
"SCT","GNAT1","AC073284.1","AF131215.6","AC005609.5","TMEM87B","AC090826.1","SHISA3","GYPC","ADGRG3","PAQR3",NA,NA,NA,NA,"RPL30",NA,NA,NA,"DLG1-AS1",NA,"TMEM176A"
"WT1","GPR62","NGEF","MSC-AS1","PRELID2","FBLN7","LINC00924","CORIN","MYO7B","LINC00920","HERC3",NA,NA,NA,NA,"COX6C",NA,NA,NA,"AC024560.5",NA,"AC069503.1"
"YPEL4","NSUN3","ESPNL","STMN2","PLAC8L1","AC009312.1","AC004233.1","TEC","ARHGEF4","SLC9A5","MMRN1",NA,NA,NA,NA,"PABPC1",NA,NA,NA,"FAM53A",NA,"PLG"
"SLC22A25","BOC","TRAF3IP1","RUNX1T1","SAP30L-AS1","C2orf76","AC108134.3","RASGEF1B","ZRANB3","AC009097.2","CCSER1",NA,NA,NA,NA,"EIF3E",NA,NA,NA,"CRMP1",NA,"XKR9"
"KCNK7","HSPBAP1","TWIST2","GEM","CCNJL","CFAP221","LINC00921","HSD17B13","ARHGAP15","AC092376.2","AP002026.1",NA,NA,NA,NA,"EEF1D",NA,NA,NA,"LINC02447",NA,"SLC34A1"
"SNX32","AC092902.4","AC024060.2","GDF6","C1QTNF2","GLI2","AC126763.1","PKD2","AC009506.1","SNAI3","AF213884.3",NA,NA,NA,NA,"AC233992.3",NA,NA,NA,"LIMCH1",NA,"CCL20"
"AP000759.1","AC133681.1","SLC6A6","ZFPM2","GABRB2","AC012306.3","TSNAXIP1","AC104785.1","FAP","AC137932.1","FGF2",NA,NA,NA,NA,"RPL8",NA,NA,NA,"USP46-AS1",NA,"THSD7A"
"AP002992.1","TMEM108","KAT2B","COL14A1","AC139795.3","LINC02572","CLEC18B","LEF1","SCN1A","AC005726.3","EDNRA",NA,NA,NA,NA,"PLIN2",NA,NA,NA,"AC023154.1",NA,"ABHD12B"
"P2RY2","SLCO2A1","SUSD5","PTPRD","C5orf60","AC133785.1","GAN","PABPC4L","HOXD3","SLFN12L","FHDC1",NA,NA,NA,NA,"RPS6",NA,NA,NA,"ADGRL3",NA,"SELP"
"AP002784.1","PLSCR2","VILL","MLLT3","GFPT2","AC012443.2","AC092123.1","NR3C2","TTC30A","MMP28","DDX60",NA,NA,NA,NA,"B4GALT1-AS1",NA,NA,NA,"THAP9",NA,"CFI"
"AP000766.1","TERC","ULK4","HACD4","AL355499.1","KCNJ3","AC099684.2","TLR2","AC010680.1","AC006449.6","NEIL3",NA,NA,NA,NA,"ALDH1A1",NA,NA,NA,"HERC5",NA,"AC020765.2"
"POU2AF1","CLDN11","CCRL2","CCL19","MAK","GPD2","MYO15A","MARCH1","CWC22","AC006449.2","F11",NA,NA,NA,NA,"SEC61B",NA,NA,NA,"UNC5C",NA,"PMFBP1"
"AP002954.2","KCNMB2","COL7A1","CCL21","HIST1H2BE","DAPL1","FOXO3B","VEGFC","AC108047.1","CNTD1","AC016575.1",NA,NA,NA,NA,"ALDOB",NA,NA,NA,"C4orf17",NA,"SLC16A6"
"CLEC12A","AC092953.2","CELSR3","CD72","HIST1H4E","PLA2R1","MMP28","SLC6A19","ANKRD44","AC021491.2","CARD6",NA,NA,NA,NA,"AMBP",NA,NA,NA,"LINC02428",NA,"CYP2E1"
"AC092794.1","B3GNT5","SEMA3B","ROR2","AL590062.1","TANK","AC005180.2","ANKRD33B","SGO2","C17orf67","ANXA2R",NA,NA,NA,NA,"C5",NA,NA,NA,"ALPK1",NA,"HS1BP3-IT1"
"REP15","AC092941.2","DUSP7","OGN","HIST1H2AI","AC019197.1","FLJ45513","CD180","FAM117B","AC103810.2","CCL28",NA,NA,NA,NA,"RPL35",NA,NA,NA,"ARSJ",NA,"ANXA13"
"PCED1B-AS1","P3H2","DCP1A","ASPN","MCCD1","SCN2A","SEPTIN4-AS1","AC146944.4","ZDBF2","UNC13D","PARP8",NA,NA,NA,NA,"RPL12",NA,NA,NA,"TRAM1L1",NA,"FBXO27"
"AC004466.1","NRROS","CCDC66","SVEP1","AL662884.3","GALNT3","AC103810.2","GTF2H2","AC093382.1","EVPL","RNF180",NA,NA,NA,NA,"CEL",NA,NA,NA,"BBS12",NA,"LCN2"
"AC025165.2","IQCG","IL17RD","LPAR1","ARMC12","SCN7A","SLC16A5","ANKDD1B","LINC01963","CCDC40","AC010359.2",NA,NA,NA,NA,"RPL7A",NA,NA,NA,"SLC7A11",NA,"AL592494.1"
"AC048338.2","POLN","ARF4-AS1","TNFSF15","CENPQ","SPC25","AATK","ATP6AP1L","SPEGNB","AC110285.5","AC010280.1",NA,NA,NA,NA,"CCDC187",NA,NA,NA,"SLC10A7",NA,"TMIE"
"ATP12A","TMEM128","ATXN7","PRRX2","AL080250.1","AC007405.3","AC027575.2","POLR3G","SLC4A3","LINC01971","AC099522.2",NA,NA,NA,NA,"PSAP",NA,NA,NA,"AC093788.1",NA,"GNLY"
"USP12-AS2","S100P","ZNF717","FCN1","MEI4","DLX2","PODNL1","TRIM36","COL4A3","AC132872.5","IQGAP2",NA,NA,NA,NA,"RPS24",NA,NA,NA,"GALNTL6",NA,"HJV"
"RASL11A","LGI2","DUBR","AL590226.1","ELOVL4","HOXD8","AC011505.1","ZNF608","ECEL1","AC022809.1","DMGDH",NA,NA,NA,NA,"AL135925.1",NA,NA,NA,"WWC2-AS1",NA,"LBP"
"TNFSF13B","NWD2","C3orf52","CELF2","SRSF12","OSBPL6","SPRED3","MARCH3","EFHD1","CIRBP-AS1","AC034228.1",NA,NA,NA,NA,"SCD",NA,NA,NA,"AC106897.1",NA,"NR1H4"
"AL356740.1","AC079921.1","ILDR1","WDFY4","AL133338.1","GULP1","AC011481.2","FBN2","MLPH","AC008946.1","C5orf56",NA,NA,NA,NA,"ATP5MD",NA,NA,NA,"AC091978.1",NA,"ENHO"
"AL442125.1","AC024243.1","LINC02035","BICC1","CRYBG1","AC098617.1","NPAS1","DNAJC18","METTL6","AC008567.3","PCDHA10",NA,NA,NA,NA,"HMX3",NA,NA,NA,"BASP1",NA,"TMPRSS3"
"AL356019.2","FAM13A-AS1","ALDH1L1-AS1","IFIT2","AL024507.2","IDH1-AS1","CCDC114","DND1","SGO1","ZNF730","PCDHB12",NA,NA,NA,NA,"IFITM3",NA,NA,NA,"PDZD2",NA,"HMGN5"
"AC244502.1","TIGD2","ALDH1L1-AS2","ANKRD1","ARMC2","LANCL1","LRRC4B","AC244517.1","NKIRAS1","AC008556.1","HAVCR2",NA,NA,NA,NA,"RPLP2",NA,NA,NA,"MROH2B",NA,"C2"
"GPR135","INTS12","AC112484.3","MYOF","PPIL6","AC012510.1","IGLON5","PCDHB6","RBMS3","AC008555.4","MIR3142HG",NA,NA,NA,NA,"POLR2L",NA,NA,NA,"AC092354.2",NA,"LINC00115"
"FUT8-AS1","AC004067.1","ASTE1","SFRP5","TRAF3IP2-AS1","KCNE4","AC008750.7","PCDHGA2","AC126118.1","AC093227.3","FBLL1",NA,NA,NA,NA,"CTSD",NA,NA,NA,"AC112206.2",NA,"LIPC"
"AL359232.1","AC026402.2","KCNAB1","FGFR2","FAM229B","AP1S3","TNNT1","MYOZ3","AC097359.2","LGALS7B","AC106795.2",NA,NA,NA,NA,"HPX",NA,NA,NA,"GCNT4",NA,"SLC47A1"
"LINC02289","INTU","KCNMB2-AS1","CPXM2","FAM162B","SP100","AC006116.6","NEURL1B","PLCD1","AC008537.4","TRIM7",NA,NA,NA,NA,"RPL27A",NA,NA,NA,"ANKRD31",NA,"CPPED1"
"TCL1B","LINC02432","TTC14","C11orf21","AL358852.1","HTR2B","ZNF135","AC139493.2","OXSR1","AC008622.2","FOXF2",NA,NA,NA,NA,"RPS13",NA,NA,NA,"AC010245.2",NA,"DPYD"
"LINC02323","INPP4B","KLHL6","FIBIN","TAGAP","LINC00471","STK4-AS1","GFOD1","TTC21A","CARD8-AS1","AL133351.1",NA,NA,NA,NA,"MDK",NA,NA,NA,"AC104118.1",NA,"TTPA"
"AHNAK2","TMEM154","AC068631.1","AC090559.1","NUDT1","TIGD1","EYA2","AL138724.1","ENTPD3","NTN5","FAM217A",NA,NA,NA,NA,"FTH1",NA,NA,NA,"AC114980.1",NA,"MBNL3"
"AC011330.2","ANXA10","FETUB","CD6","RBAKDN","FAM240C","SLCO4A1","BTN2A2","ZNF852","C19orf81","F13A1",NA,NA,NA,NA,"EEF1G",NA,NA,NA,"GIN1",NA,"VPREB3"
"CEP152","SAP30","HRG","LBHD1","AC007029.1","AC024060.2","AP000229.1","AL021807.1","ZNF660","AC011468.5","U91328.1",NA,NA,NA,NA,"FAU",NA,NA,NA,"LINC02163",NA,"HP"
"CERNA1","SNX25","FGF12-AS3","GSTP1","LINC01447","SSUH2","CCDC188","TRIM15","ZNF589","AC006116.11","HIST1H2BC",NA,NA,NA,NA,"MALAT1",NA,NA,NA,"TMEM232",NA,"ARHGEF38-IT1"
"AC025271.4","C4orf47","FBXO45","CCDC81","ZNF117","RAD18","MORC2-AS1","LINC00243","AMIGO3","ZNF543","HIST1H4H",NA,NA,NA,NA,"RPS3",NA,NA,NA,"LINC01843",NA,"AC099508.1"
"C2CD4B","CCDC110","AC011322.1","PGR","AC006001.2","VHL","WNT7B","C6orf47-AS1","PPM1M","AVP","HIST1H2BJ",NA,NA,NA,NA,"APOC3",NA,NA,NA,"PCDHB3",NA,"FABP1"
"AC079328.2","EXOC3-AS1","AC024560.4","NNMT","STEAP4","TMEM43","AL671710.1","HLA-DOA","KBTBD8","AL035458.2","ZBED9",NA,NA,NA,NA,"APOA1",NA,NA,NA,"PCDHB13",NA,"AC073389.1"
"AC068338.2","ZDHHC11B","LRCH3","CD3G","AC005070.3","CAPN7","SYTL5","ITPR3","MITF","PTPRT","MICB",NA,NA,NA,NA,"ATP5MG",NA,NA,NA,"AC005618.4",NA,"GPAM"
"AC021483.2","TERT","ZNF718","MIR100HG","BMT2","NR1D2","ERAS","KCNK5","CRYBG3","LINC01426","VWA7",NA,NA,NA,NA,"RPS25",NA,NA,NA,"PCDHGB6",NA,"APOL6"
"AC103746.1","AC012640.2","GRK4","CLMP","CPED1","GPD1L","FAM226B","KCNK17","TMEM45A","AP000692.2","PSMB8-AS1",NA,NA,NA,NA,"AP000866.6",NA,NA,NA,"PCDHGA10",NA,"AC090164.5"
"NPIPA5","AC091893.2","MSANTD1","LINC00937","AC087071.1","TTC21A","TCEAL5","TREM1","IMPG2","AF129408.1","AL645940.1",NA,NA,NA,NA,"GAPDH",NA,NA,NA,"JAKMIP2",NA,"ZXDB"
"HS3ST2","AC034231.1","HGFAC","CLEC9A","AC010973.2","EIF1B-AS1","AC011337.1","USP49","TAGLN3","TSPEAR","Z97832.2",NA,NA,NA,NA,"TPI1",NA,NA,NA,"ATP10B",NA,"AKR1C4"
"DOC2A","SLC45A2","STX18-AS1","SSPN","PNMA2","AC124045.1","NCF1","GUCA1B","IGSF11","IGLV5-45","DEF6",NA,NA,NA,NA,"A2M",NA,NA,NA,"AC026689.1",NA,"SLC17A2"
"AC135050.3","RICTOR","AC006230.1","AC079313.2","AC090204.1","CLEC3B","SLC46A2","RSPH9","MAATS1","MIAT","AL035587.2",NA,NA,NA,NA,"PRH1",NA,NA,NA,"AL359643.3",NA,"AHSG"
"ABCC11","AC114947.2","SLIT2","MMP19","AC067838.1","PRSS45P","LINC02249","CENPQ","AC096861.2","LINC01638","SLC22A7",NA,NA,NA,NA,"PFDN5",NA,NA,NA,"LY86",NA,"APOL2"
"CBLN1","ESM1","TBC1D19","GLI1","TTI2","PTH1R","HIVEP3","UBE3D","LINC02614","SEC14L6","EFHC1",NA,NA,NA,NA,"PCBP2",NA,NA,NA,"HIST1H3B",NA,"CFH"
"SNX20","ZSWIM6","AC027271.1","NAV3","LETM2","MST1R","AC093157.2","GABRR2","AMOTL2","AL008718.3","AL590652.1",NA,NA,NA,NA,"ATP5MC2",NA,NA,NA,"HIST1H1E",NA,"SERPING1"
"IRX5","LINC02197","AC110792.3","DCN","AC069120.1","MUSTN1","SHH","USP45","MRAS","ASMTL-AS1","AL583856.2",NA,NA,NA,NA,"HNRNPA1",NA,NA,NA,"ZBED9",NA,"ORM1"
"AC099508.1","WDR41","PDGFRA","ANO4","AC087533.1","CACNA2D3","CFAP46","PRDM1","ESYT3","PCYT1B","UFL1-AS1",NA,NA,NA,NA,"CD63",NA,NA,NA,"AL662884.1",NA,"USP46-AS1"
"CBFA2T3","HOMER1","UBA6-AS1","IGF1","YTHDF3-AS1","AC104162.2","LINC00115","TRAF3IP2","AC046134.2","PFKFB1","ADGRG6",NA,NA,NA,NA,"RPS26",NA,NA,NA,"DINOL",NA,"ACSM2B"
"AC090617.10","TENT2","SULT1B1","TMEM119","AC011978.2","ATXN7","TNFRSF11B","KPNA5","SLC25A36","NEXMIF","STX11",NA,NA,NA,NA,"RPL41",NA,NA,NA,"KIF6",NA,"ITIH4"
"AC005696.4","POU5F2","CXCL3","HSPB8","XKR9","TAFA4","TLL1","AL133346.1","TM4SF18","COL4A6","AL390955.2",NA,NA,NA,NA,"MYL6",NA,NA,NA,"PRPH2",NA,"SOAT2"
"VMO1","PAM","PTPN13","AC002070.1","PI15","AC097634.1","FAM13C","MYB","C3orf33","SLC25A5-AS1","LPA",NA,NA,NA,NA,"ATP5F1B",NA,NA,NA,"CAPN11",NA,"A1BG"
"AC005224.3","LINC01023","AC104785.1","WDR66","CA3","SHQ1","AC005329.1","SASH1","SHOX2","MAFIP","AL672310.1",NA,NA,NA,NA,"NACA",NA,NA,NA,"RUNX2",NA,"KMO"
"AC005726.3","TICAM2","DKK2","MEDAG","CDH17","CADM2","AC012645.1","AL080276.2","MLF1","AC023157.3","AC147651.2",NA,NA,NA,NA,"AC048341.2",NA,NA,NA,"KHDC1",NA,"LINC01558"
"EVI2A","AC008629.1","AC021205.3","DCLK1","TMEM249","ARL13B","SYT5","RSPH3","RARRES1","AL356804.1","GPR146",NA,NA,NA,NA,"LYZ",NA,NA,NA,"AL359715.1",NA,"GSTA1"
"AC022916.1","CEP120","NUDT6","RUBCNL","MOB3B","AC084198.2","NAPSA","AL078604.2","AC112491.1","AC119403.1","ELFN1",NA,NA,NA,NA,"SLC25A3",NA,NA,NA,"LINC02535",NA,"TMEM176B"
"AC244100.4","RAPGEF6","SPATA5","PCDH9","SPINK4","AC063938.1","OLFM1","PDE10A","AC090425.2","AC099509.1","CRPPA",NA,NA,NA,NA,"PAH",NA,NA,NA,"C6orf163",NA,"AC062037.3"
"TMEM99","SLC22A5","NOCT","NALCN","AL590399.3","CD200","AL592183.1","AC093627.7","FGF12","SLC25A48","ANKMY2",NA,NA,NA,NA,"HSP90B1",NA,NA,NA,"GPR63",NA,"ADH4"
"AOC2","AC113410.4","GAB1","ITGBL1","APBA1","GSK3B","AC073534.2","AC188616.1","SLC51A","AC048341.2","MYO1G",NA,NA,NA,NA,"AC079174.2",NA,NA,NA,"AL513550.1",NA,"HIST2H4A"
"FAM215B","SMIM32","LINC02266","RNASE6","AL354920.1","STXBP5L","SLC24A3","AC092171.5","TCTEX1D2","HOXB6","AC237221.1",NA,NA,NA,NA,"RPL6",NA,NA,NA,"CEP57L1",NA,"MRAP"
"HOXB5","NME5","FAM198B-AS1","TRAC","AL353572.4","WDR5B","GBP1","AGR2","PIGX","CCR1","GTF2IRD2B",NA,NA,NA,NA,"PEBP1",NA,NA,NA,"Z97989.1",NA,"AC006213.4"
"AC091133.4","MATR3","CBR4","EFS","HMCN2","AC107027.3","ARAP2","AC010719.1","AC253576.2","AC093458.1","TRIM73",NA,NA,NA,NA,"TMEM233",NA,NA,NA,"RNF217-AS1",NA,"IL1RN"
"EME1","MATR3","AC097534.2","RIPK3","LCN10","TMEM108","AP000866.2","HOXA10","AC107464.1","CT66","ZP3",NA,NA,NA,NA,"RPLP0",NA,NA,NA,"UST",NA,"LINC02672"
"AC005746.3","PCDHB7","AC096751.2","DACT1","C9orf139","DZIP1L","MAGI2","PGAM2","AC016773.1","ODF2L","ABCB1",NA,NA,NA,NA,"PLA2G1B",NA,NA,NA,"ULBP3",NA,"NKX1-2"
"LINC01977","PCDHGA6","STOX2","PLD4","CUBN","CPB1","FAM72D","VPS37D","TACC3","CALML6","ADAM22",NA,NA,NA,NA,"COX6A1",NA,NA,NA,"AL391361.2",NA,"TP53INP2"
"AC110285.1","MFAP3","LRP2BP","AL928654.1","STAM-AS1","LINC02029","IDI2-AS1","SRRM3","EVC","SHH","CYP3A4",NA,NA,NA,NA,"UBC",NA,NA,NA,"CCR6",NA,"THAP10"
"DCXR-DT","SLIT3","ANKRD37","IGHM","AL359697.1","KCNMB3","CYP11A1","PON1","CCDC96","PIFO","MBLAC1",NA,NA,NA,NA,"GJB6",NA,NA,NA,"AL606970.1",NA,"MYL4"
"AC132872.2","AC008429.1","FAM149A","ATP10A","AL512598.1","FAM131A","AL592211.1","PILRA","SORCS2","AC093157.2","UFSP1",NA,NA,NA,NA,"RPL21",NA,NA,NA,"TCTE3",NA,"AADAC"
"AC130371.2","GPRIN1","KLKB1","TNFAIP8L3","ITGB1-DT","TBCCD1","AC005920.1","AC006329.1","PROM1","AC068587.4","AUXG01000058.1",NA,NA,NA,NA,"TPT1",NA,NA,NA,"AC102953.2",NA,"ZNF235"
"EPB41L3","SCGB3A1","ZDHHC11","SMAD6","AL117336.1","BCL6","AC025754.2","KMT2E-AS1","TAPT1","AC087273.2","AGBL3",NA,NA,NA,NA,"FAM124A",NA,NA,NA,"AC092171.3",NA,"AC011978.2"
"PSTPIP2","AL031768.1","NIPBL-DT","ITGA11","LINC00844","LINC00884","ELFN1-AS1","SLC26A3","STIM2-AS1","ACTRT3","AC015987.1",NA,NA,NA,NA,"EAPP",NA,NA,NA,"AC079742.1",NA,"TDO2"
"AC027097.1","TFAP2A","C5orf34","LRRC49","AC016394.2","APOD","CA3-AS1","LSMEM1","TLR6","ERMAP","NDUFB2-AS1",NA,NA,NA,NA,"RPS29",NA,NA,NA,"TRIL",NA,"LINC00957"
"AC090398.2","C6orf52","ADAMTS6","LOXL1","AC073389.1","WDR53","VSIG10L","LRRC4","AC095057.3","AC245452.1","TRBC1",NA,NA,NA,NA,"RPL36AL",NA,NA,NA,"LINC01176",NA,"APOC3"
"EFNA2","RBM24","SHLD3","CYP11A1","NRG3","ZNF141","ANKRD24","KDM7A-DT","GNPDA2","FAM107A","AC093673.1",NA,NA,NA,NA,"CHGA",NA,NA,NA,"AC072061.1",NA,"Z97192.3"
"AC005329.1","TRIM38","BDP1","SEMA7A","AL157400.2","UVSSA","ZNF257","GIMAP8","AC096586.1","PRRT1","ARHGEF5",NA,NA,NA,NA,"SERPINA1",NA,NA,NA,"GLI3",NA,"ACSL5"
"AC006538.1","U91328.3","FAM169A","NHLRC4","CYP2C19","CC2D2A","LINC00313","GIMAP4","AASDH","AL445250.1","ATG9B",NA,NA,NA,NA,"SERPINA3",NA,NA,NA,"IKZF1",NA,"AL033527.4"
"AC119403.1","HIST1H3F","LYSMD3","ZG16B","AL157786.1","AC097505.1","AC062037.3","GIMAP2","HOPX","UGT8","AC021097.2",NA,NA,NA,NA,"WDR25",NA,NA,NA,"AC005021.1",NA,"AKR1D1"
"TEX45","HIST1H1B","ADGRV1","SOCS1","DCLRE1A","TBC1D19","AL354811.1","GIMAP1","AC069307.1","AL589765.6","AC093726.2",NA,NA,NA,NA,"DLK1",NA,NA,NA,"AC069294.1",NA,"SERPINA6"
"ZNF763","AL049543.1","RGMB","MYH11","SLC18A2","AC079921.2","ZG16","ZNF596","NPFFR2","AC004067.1","AC005534.1",NA,NA,NA,NA,"HSP90AA1",NA,NA,NA,"GJC3",NA,"HLF"
"KLF1","HLA-F-AS1","SEMA6A-AS1","CDH11","AL139407.1","AC108471.2","C18orf54","AF233439.2","CXCL8","FGR","CLDN23",NA,NA,NA,NA,"CKB",NA,NA,NA,"ACHE",NA,"AL022162.1"
"ANKLE1","HCG17","RAPGEF6","WFDC1","BTBD16","RHOH","AC024560.1","AC100861.1","FAM47E","YBX2","NPM2",NA,NA,NA,NA,"SERF2",NA,NA,NA,"SLC26A4-AS1",NA,"GK"
"RGS9BP","HCP5","SLC22A4","CRISPLD2","LINC01219","USP46","SOD2-OT1","DOCK5","SCD5","TMIGD3","PTK2B",NA,NA,NA,NA,"B2M",NA,NA,NA,"SLC26A4",NA,"DPP4"
"ZNF829","SAPCD1-AS1","CDKL3","FOXC2","CHRNA10","KIT","LINC02166","ESCO2","LIN54","BTBD19","PBK",NA,NA,NA,NA,"DUOX2",NA,NA,NA,"HYAL4",NA,"FETUB"
"AC010271.2","HLA-DQA2","NME5","CLEC10A","TRIM21","AC110611.2","AC009088.1","BRF2","ARHGAP24","LINC01197","AC026979.2",NA,NA,NA,NA,"GATM",NA,NA,NA,"AC018638.7",NA,"SLC25A42"
"CYP2B6","HLA-DMA","AC010378.2","MFAP4","TRIM6","SPINK2","AC107081.2","TOX","FAM13A","SLC10A5","RBPMS-AS1",NA,NA,NA,NA,"TEX9",NA,NA,NA,"AC009275.1",NA,"PKLR"
"LYPD3","PACSIN1","PCDHA1","SEZ6","AC091053.1","NPFFR2","LPAR1","AC103760.1","AC019131.2","DPEP2","AC067838.1",NA,NA,NA,NA,"RPL4",NA,NA,NA,"TTC26",NA,"U91324.1"
