"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"TMCC1-AS1","MAPT","FAM131A","C20orf204","GOLGA4","LCP2","LRRC23","DUSP5",NA,NA,"AC100826.1","AC091043.1"
"NCK1","AC004477.3","VPS8","AC020656.2","CX3CR1","STK10","AP000704.1","AC027097.1",NA,NA,"RHCG","RNF125"
"SLC9A9","CEP76","TMEM44","GTF2H2","GASK1A","UBTD2","RGS19","GLCCI1",NA,NA,"BRICD5","LINC01905"
"SUCNR1","C18orf54","LSG1","MTF1","PTH1R","AC008443.1","AC012360.2","GNAO1",NA,NA,"GP2","PARD6G"
"ARHGEF26","AC119403.1","CTBP1-DT","ZNF16","CCDC51","GMDS-DT","AC097468.3","SPRY4",NA,NA,"REXO5","CHAF1A"
"AC084036.1","ZNF709","AC016773.1","SERPINA12","PFKFB4","BLOC1S5","HSPA12A","PIGZ",NA,NA,"ASPHD1","TUBB4A"
"PPM1L","IL27RA","AC093323.1","POU5F1","PHF7","SLC17A3","TMEM234","RAD54L",NA,NA,"SULT1A3","ZNF844"
"SPTSSB","LINC00663","BLOC1S4","DDHD2","SEMA3G","HIST1H3E","ZNF253","LRR1",NA,NA,"LINC02128","HAPLN4"
"KCNMB3","ZNF431","CNGA1","LINC00470","CCDC66","BTN3A2","TRIM71","NR2F1-AS1",NA,NA,"ABHD15","AC008738.3"
"MFN1","ZNF257","OCIAD2","DNASE1","CADPS","AL513548.1","TRAM1L1",NA,NA,NA,"AC005562.1","KIAA0355"
"AC092953.2","AC020910.5","PPAT","CCER2","ATXN7","HIST1H4I","HAUS8",NA,NA,NA,"RND2","CNFN"
"ZNF721","AC092295.2","PARM1","AC015871.4","FRMD4B","ZNF165","PCP4",NA,NA,NA,"ENDOV","ZNF404"
"NOP14","ZNF230","WDFY3","IL18R1","MTRNR2L12","PGBD1","IL2RG",NA,NA,NA,"DLGAP1-AS1","AC006213.3"
"RGS12","ZNF473","C4orf36","DYRK2","BBX","DDR1","NDE1",NA,NA,NA,"MAPK4","ZNF836"
"ABLIM2","ADAM33","KLHL8","LINC01948","CD200","MICB","TCTEX1D2",NA,NA,NA,"MRO","BRSK1"
"SH3TC1","AL035461.2","SEC24D","TBC1D10C","CCDC80","LTB","ACOT9",NA,NA,NA,"DSEL","ZSCAN22"
"TRMT44","NANP","MAD2L1","RPP25","HCLS1","HLA-DRB5","AL354824.1",NA,NA,NA,"ANKRD24","DNMT3B"
"RAB28","AL162458.1","SPATA5","RFLNB","PAQR9-AS1","KIFC1","THAP2",NA,NA,NA,"VMAC","AL117382.1"
"NCAPG","CU638689.5","SCLT1","F2RL1","SIAH2-AS1","BAK1","OMA1",NA,NA,NA,"AC073534.2","BCAS1"
"ADGRA3","CR381653.1","RAB33B","LENG9","LXN","TBC1D22B","PRH1",NA,NA,NA,"ZNF570","MIR548XHG"
"SEPSECS-AS1","AP001065.4","AC112236.3","AC004803.1","MECOM","FOXP4-AS1","UCKL1-AS1",NA,NA,NA,"LRFN1","MIS18A"
"SCFD2","HDHD5-AS1","SMAD1","LINC00313","EPHB3","USP49","SGMS1-AS1",NA,NA,NA,"AC011445.2","URB1-AS1"
"LNX1","LINC01637","CTSO","AC008060.4","SLC51A","TBCC","MSANTD2",NA,NA,NA,"SPTBN4","AIFM3"
"CHIC2","AC253536.6","PDGFC","SPAG8","LINC02600","BICRAL","BBS10",NA,NA,NA,"CCDC97","MED14OS"
"EXOC1","EMID1","LINC02363","SRGAP1","HTRA3","FAM135A","FAM92A",NA,NA,NA,"CD33","ZNF182"
"CENPC","GALR3","TRIP13","ZNF213-AS1","LDB2","IRAK1BP1","ANKS6",NA,NA,NA,"VSTM2L","ZNF711"
"LINC02499","LINC01560","LPCAT1","SCGB1B2P","SEL1L3","LCA5","SLC10A5",NA,NA,NA,"PI3","FAM133A"
"BMP2K","Z83843.1","FASTKD3","SOCS3","UCHL1","ANKRD6","ZNF556",NA,NA,NA,"RBM38","F8A3"
"HERC6","ATP7A","PURPL","TMEM61","KIT","CRYBG1","FAM214B",NA,NA,NA,"AL121832.2","AL603839.3"
"CXXC4","E2F2","MRPS30-DT","PNPLA7","CEP135","FIG4","AC012467.2",NA,NA,NA,"SIK1B","RBM45"
