"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"NUP210",NA,"CCT4",NA,"MMP9","EXTL2",NA,NA,NA,NA,"IKBKG","KIAA0895"
"GPBP1",NA,"PURB",NA,"TIAM1","PRRC2B",NA,NA,NA,NA,"SAA2","TERF1"
"ELP3",NA,"WDR6",NA,"WDPCP","IFI30",NA,NA,NA,NA,"PCIF1","KCNK10"
"FILIP1L",NA,"AC009237.14",NA,"EPHA1-AS1","TDO2",NA,NA,NA,NA,"UPP2","ENOX2"
"LYN",NA,"THOC1",NA,"ZNF708","RAB3GAP2",NA,NA,NA,NA,"MED25","OSBPL3"
"C6orf141",NA,"SLC25A25-AS1",NA,"MTMR14","APBB3",NA,NA,NA,NA,"GPATCH8","APRT"
"PRKG1",NA,"ZBTB20",NA,"FLCN","TMEM222",NA,NA,NA,NA,"ZNF181","TPT1"
"MFSD5",NA,"TECPR1",NA,"PABPC1","FAM50A",NA,NA,NA,NA,"SEC31B","NDFIP2"
"MESP2",NA,"RDH11",NA,"COL15A1","SGF29",NA,NA,NA,NA,"HAT1","KCNG1"
"OTUD5",NA,"MANBA",NA,"KCTD2","MAN2B2",NA,NA,NA,NA,"TRIM25","MRPL53"
"HOOK1",NA,"PPP1R37",NA,"BBS10","SNHG32",NA,NA,NA,NA,"CD2","B3GLCT"
"ZNF217",NA,"GXYLT1",NA,"ZNF213","LINC01980",NA,NA,NA,NA,"ITGAE","CPT1B"
"SLC25A12",NA,"ING5",NA,"SLC66A3","MYCL",NA,NA,NA,NA,"CDK5R1","PPOX"
"PDXP",NA,"TPGS2",NA,"ZNF749","PGAP2",NA,NA,NA,NA,"RCN1","CDON"
"RNF11",NA,"CNTF",NA,"KYNU","SLC26A10",NA,NA,NA,NA,"WDR92","RPS15"
"NTAN1",NA,"INTS8",NA,"AC021851.1","AC079148.1",NA,NA,NA,NA,"CHMP7","AC114271.1"
"SMC3",NA,"CKS1B",NA,"CYFIP2","POMT1",NA,NA,NA,NA,"ODF2","RPL8"
"VPS9D1",NA,"MCF2L-AS1",NA,"ADAL","UBE2C",NA,NA,NA,NA,"TMED2-DT","PIK3R3"
"COQ3",NA,"CLUH",NA,"CGA","JMJD7",NA,NA,NA,NA,"SH2D3A","TRIQK"
"LGALS1",NA,"ZNF768",NA,"ZNF43","TYW1",NA,NA,NA,NA,"PPP1R2","AC118549.1"
"WASHC5",NA,"MPRIP",NA,"STX5","VASN",NA,NA,NA,NA,"FGL1","SLC35A3"
"CAPN5",NA,"TXN2",NA,"SEMA3E","SPATC1L",NA,NA,NA,NA,"CACNB1","RPSA"
"AC092720.1",NA,"FAM199X",NA,"RPS12","GNLY",NA,NA,NA,NA,"ITFG1","HAX1"
"STK16",NA,"GNPAT",NA,"ZSCAN29","GLYR1",NA,NA,NA,NA,"LAG3","RPS3"
"PPP1R12A",NA,"AL109613.1",NA,"COL4A1","TMEM182",NA,NA,NA,NA,"THBS4","ITFG2"
"BAZ2B",NA,"AP001330.4",NA,"NEURL1B","MFSD10",NA,NA,NA,NA,"SDCBP2","CYB561D1"
"KLC1",NA,"MAGT1",NA,"ZNF670","ZNF839",NA,NA,NA,NA,"FRS3","ROR1"
"CDC42BPB",NA,"PTPMT1",NA,"GCKR","MAT2B",NA,NA,NA,NA,"PCBD2","SCGN"
"TMPO",NA,"RAB11A",NA,"MCM3AP-AS1","MRPL24",NA,NA,NA,NA,"STIM1","RPL10"
"ARID1A",NA,"YIPF5",NA,"DIXDC1","XYLB",NA,NA,NA,NA,"MAGEC2","WDR74"
"PLAC9",NA,"R3HCC1",NA,"MPHOSPH6","WHAMM",NA,NA,NA,NA,"CPOX","RPL18A"
"KRI1",NA,"PPP1R10",NA,"STX11","ANPEP",NA,NA,NA,NA,"TMEM179B","RPL35A"
"SLC47A1",NA,"NUGGC",NA,"NFKBIE","AL034417.3",NA,NA,NA,NA,"PCDHB11","KIF22"
"BTD",NA,"CYHR1",NA,"PNPLA3","AC087294.1",NA,NA,NA,NA,"POLDIP2","DUSP22"
"ABI2",NA,"L2HGDH",NA,"PDE5A","TNK2",NA,NA,NA,NA,"GSTA1","MKI67"
"SSNA1",NA,"VPS16",NA,"PLEKHN1","KAT5",NA,NA,NA,NA,"FLYWCH2","AL132712.2"
"IPPK",NA,"SCO1",NA,"FZD2","PHF5A",NA,NA,NA,NA,"WWC3","ANO7"
"S100A4",NA,"TRABD",NA,"TMEM273","ARGLU1",NA,NA,NA,NA,"SGK2","TACO1"
"GSAP",NA,"WRAP73",NA,"KCNMB4","AAMDC",NA,NA,NA,NA,"APOL1","RPL7"
"PDCD11",NA,"MFGE8",NA,"DAAM2","AKT1",NA,NA,NA,NA,"THRB","MAPK6"
"SAP30BP",NA,"CENPF",NA,"ATP5MGL","NUP205",NA,NA,NA,NA,"C12orf4","TCAP"
"NR5A2",NA,"ARIH1",NA,"RNF24","GLIPR1L2",NA,NA,NA,NA,"ITGA9","LINC01224"
"ZCCHC9",NA,"RB1CC1",NA,"FFAR4","CDON",NA,NA,NA,NA,"FAAP100","CHCHD4"
"MCOLN3",NA,"TGFBR2",NA,"CR1","ZNF91",NA,NA,NA,NA,"ZNF865","TRAPPC8"
"Z98752.4",NA,"TIMM10B",NA,"WAKMAR2","DUT",NA,NA,NA,NA,"XRCC4","SEC13"
"HRC",NA,"CSPP1",NA,"ATM","FADD",NA,NA,NA,NA,"TBX10","HMOX2"
"MED23",NA,"PPL",NA,"MMP24OS","C5orf51",NA,NA,NA,NA,"CCR2","ZDHHC20"
"AC233723.1",NA,"ATP5F1C",NA,"GGACT","AC009407.1",NA,NA,NA,NA,"CDH6","RPL27A"
"KLHL24",NA,"SLC25A39",NA,"ADAMTS6","LINC01232",NA,NA,NA,NA,"TYW1B","RPLP1"
"EPRS",NA,"HNRNPA0",NA,"ASB6","POLR2H",NA,NA,NA,NA,"CARD11","DHRS11"
"ZNF771",NA,"AHCY",NA,"LINC01356","STAP1",NA,NA,NA,NA,"ATPAF1","MFAP3L"
"FRS3",NA,"SLC35F2",NA,"CLCN6","PTGES2",NA,NA,NA,NA,"AC007996.1","ZNF223"
"MTCH1",NA,"LINC01793",NA,"ERBB3","CEP57",NA,NA,NA,NA,"CARD8","OSER1-DT"
"KIFC3",NA,"SLC25A10",NA,"CSMD1","BTN2A1",NA,NA,NA,NA,"PLPP1","LMBR1"
"SLC25A25-AS1",NA,"AC004076.2",NA,"ZNF566","NAGS",NA,NA,NA,NA,"NCF1","MAST4"
"ARRDC3",NA,"ZNF512B",NA,"PIK3R3","CYREN",NA,NA,NA,NA,"MX1","RAB2B"
"RALGAPA2",NA,"MAGEF1",NA,"HMGB1","CEBPZ",NA,NA,NA,NA,"RBP2","CIDEB"
"CTAGE4",NA,"SDC3",NA,"NEK10","AC009054.2",NA,NA,NA,NA,"POLE2","BLNK"
"AC107032.2",NA,"ATP9B",NA,"GDAP2","PHF14",NA,NA,NA,NA,"TMEM150B","CDCA7L"
"VAV2",NA,"PROC",NA,"SPECC1","SUPT7L",NA,NA,NA,NA,"TMEM147","ZNF34"
"PKP3",NA,"TMEM147-AS1",NA,"ERCC8","IQGAP2",NA,NA,NA,NA,"HSD11B1-AS1","ANKH"
"TMEM203",NA,"ZNF426",NA,"THBS3","RCCD1",NA,NA,NA,NA,"AC016710.1","WNT5B"
"ANKRD65",NA,"C19orf25",NA,"IFT52","IGKC",NA,NA,NA,NA,"MTHFR","TBC1D12"
"PIKFYVE",NA,"XK",NA,"IFT57","NCKAP5",NA,NA,NA,NA,"THAP7-AS1","CEBPA-DT"
"TUT4",NA,"TP63",NA,"NCOA7","RBM17",NA,NA,NA,NA,"NACC1","TMEM202-AS1"
"RNPEP",NA,"MRFAP1L1",NA,"FNBP4","TARSL2",NA,NA,NA,NA,"OAS3","KANK1"
"ARHGEF40",NA,"DPY19L1",NA,"MAML2","SELENOH",NA,NA,NA,NA,"CRNKL1","SMG8"
"RELCH",NA,"ZNF853",NA,"AP5B1","AMACR",NA,NA,NA,NA,"FABP6","ZNF131"
"MYBBP1A",NA,"WDR45B",NA,"PAPSS1","RIOK2",NA,NA,NA,NA,"SNX20","PHYKPL"
"SLC22A24",NA,"FZD5",NA,"CDC42SE1","COMMD3",NA,NA,NA,NA,"GALNT3","KBTBD6"
"CKS2",NA,"GOLGA8O",NA,"RPS28","ECPAS",NA,NA,NA,NA,"LINC00944","CGRRF1"
"CISH",NA,"HMGN5",NA,"ATP1B3","MED29",NA,NA,NA,NA,"C2orf74","CLEC7A"
"DIO1",NA,"NDST2",NA,"SGSH","ITSN2",NA,NA,NA,NA,"TLL1","STRN"
"AL121974.1",NA,"AC007405.1",NA,"UGT2B15","DENND2D",NA,NA,NA,NA,"CASTOR3","TANC1"
"TBRG4",NA,"AS3MT",NA,"SMNDC1","HSD11B1-AS1",NA,NA,NA,NA,"UBQLN2","NHSL1"
"RIOX1",NA,"ACBD4",NA,"FEM1C","OCA2",NA,NA,NA,NA,"MAFG-DT","GPATCH1"
"KDSR",NA,"PPIL2",NA,"GCGR","PHF6",NA,NA,NA,NA,"NUMBL","BAD"
"RBMS1",NA,"NABP2",NA,"STXBP5","ZNF335",NA,NA,NA,NA,"ACSL1","PPT1"
"TIMM23",NA,"AC006449.3",NA,"UPF3B","GOSR2",NA,NA,NA,NA,"TMEM241","MTRR"
"MAPK14",NA,"ZNF503",NA,"HNRNPA1P48","SNRNP25",NA,NA,NA,NA,"CCDC163","AFMID"
"ENSA",NA,"SNHG1",NA,"LINC02615","VTCN1",NA,NA,NA,NA,"TBRG1","VTA1"
"IRF6",NA,"IL4R",NA,"CARD18","EPS8",NA,NA,NA,NA,"ABL2","GPR143"
"RCOR1",NA,"AC024933.1",NA,"USP30","HINT1",NA,NA,NA,NA,"KCNK6","AC104461.1"
"NT5C3B",NA,"TRAPPC9",NA,"TAGLN","TMEM106B",NA,NA,NA,NA,"INSIG1","LRRC31"
"ALDH18A1",NA,"TBC1D32",NA,"ZNF471","RASSF7",NA,NA,NA,NA,"ILF3-DT","RORA"
"SSC4D",NA,"BLMH",NA,"TUBD1","C1QTNF6",NA,NA,NA,NA,"SCCPDH","SLC7A9"
"KIF1C",NA,"NEPRO",NA,"AC129507.1","CSNK2A2",NA,NA,NA,NA,"TLCD2","GCLM"
"SDF2",NA,"ESYT1",NA,"C2orf49","FOS",NA,NA,NA,NA,"MYRF","USP39"
"ATG16L2",NA,"HMGCL",NA,"BOD1L1","PARP14",NA,NA,NA,NA,"SCN1B","MAL2"
"GCFC2",NA,"CCT2",NA,"SYT12","PSMG2",NA,NA,NA,NA,"TPST1","DPY19L3"
"CPLX1",NA,"FAM20B",NA,"ASPSCR1","ANKHD1",NA,NA,NA,NA,"PHF2","RPS27A"
"RET",NA,"TINF2",NA,"MOB3C","RCAN3",NA,NA,NA,NA,"NKX1-2","ATP6V0A2"
"PTER",NA,"POGZ",NA,"AP1AR","MEIG1",NA,NA,NA,NA,"ZNF425","GIN1"
"OPRL1",NA,"LMO7",NA,"ARHGAP18","NRM",NA,NA,NA,NA,"ZNF785","PRKACB"
"ANAPC5",NA,"C8orf33",NA,"RBAK","PIK3C3",NA,NA,NA,NA,"PLEKHO2","ATP5MPL"
"AC005332.6",NA,"BCL7C",NA,"PAXIP1-AS2","SP8",NA,NA,NA,NA,"LINC01184","TRIM8"
"ACSS2",NA,"SLC38A9",NA,"HOOK2","IPO8",NA,NA,NA,NA,"ECHS1","RHOBTB2"
"ARHGAP1",NA,"NPIPA9",NA,"KANSL1","UBE2G1",NA,NA,NA,NA,"NOP14-AS1","NDUFA12"
"ANXA3",NA,"TRAPPC2",NA,"ZNF254","AL033397.2",NA,NA,NA,NA,"TACO1","MAP3K20"
"C8A",NA,"TFAM",NA,"AC145207.5","TIGIT",NA,NA,NA,NA,"PPP1R8","RPL4"
"BDH2",NA,"TOMM40L",NA,"CCDC170","SHISA5",NA,NA,NA,NA,"AGPAT5","ERMP1"
"PICALM",NA,"YIPF6",NA,"TBCCD1","GMPR2",NA,NA,NA,NA,"SORL1","RPLP2"
"CPT1A",NA,"SHOC2",NA,"ADCY4","DYNLRB1",NA,NA,NA,NA,"C17orf75","TMEM69"
"ARHGEF10L",NA,"IGFBP2",NA,"EGFL7","NOX4",NA,NA,NA,NA,"FAM149B1","TBP"
"PKP4",NA,"NDUFB11",NA,"FABP1","CBS",NA,NA,NA,NA,"CYP2B6","SDF2"
"DGAT1",NA,"LINC02323",NA,"ERFE","PIGQ",NA,NA,NA,NA,"RRAGA","AGO3"
"AC026740.3",NA,"STOML2",NA,"DEPDC1","OR2B6",NA,NA,NA,NA,"POLD3","STX16"
"TPGS1",NA,"LINC02246",NA,"ZBTB22","CSRP1",NA,NA,NA,NA,"F11","OMA1"
"WNT5A-AS1",NA,"DENND1B",NA,"LINC01176","BAG4",NA,NA,NA,NA,"DNAJC7","HAUS8"
"SPATA6",NA,"PXMP2",NA,"NR1H2","DENND6A-DT",NA,NA,NA,NA,"DNAH11","ZNF736"
"RPRD1A",NA,"SEPTIN2",NA,"QTRT2","DGCR8",NA,NA,NA,NA,"AL080317.2","PLD2"
"MLF2",NA,"SAMD4B",NA,"PHACTR2","S100A9",NA,NA,NA,NA,"BRCC3","AC016405.3"
"PARP4",NA,"TMUB1",NA,"PCDHB7","ACSL3",NA,NA,NA,NA,"TEKT3","CCT7"
"AL445647.1",NA,"CDK2AP1",NA,"ORC2","PES1",NA,NA,NA,NA,"GSTA2","NAA38"
"ZNF524",NA,"PPP2R5E",NA,"SAMHD1","UROC1",NA,NA,NA,NA,"PLCG2","PAICS"
"UQCC1",NA,"ZNF318",NA,"BACE1-AS","KIF15",NA,NA,NA,NA,"TMPO-AS1","ASRGL1"
"SNHG1",NA,"SND1",NA,"BAHD1","AL009178.3",NA,NA,NA,NA,"LIN52","CLASP1"
"GGNBP2",NA,"RAB11FIP1",NA,"ZSCAN21","AC090844.2",NA,NA,NA,NA,"OSGIN2","USO1"
"UBA5",NA,"PLD1",NA,"GAPVD1","TBC1D15",NA,NA,NA,NA,"EMP1","AC008608.2"
"THUMPD3",NA,"LITAF",NA,"RPL36","POP5",NA,NA,NA,NA,"ZNF559","TLCD1"
"AL117339.4",NA,"TM4SF19-AS1",NA,"ESCO1","CYBC1",NA,NA,NA,NA,"AC093425.1","CENPI"
"CASP7",NA,"EVA1B",NA,"HSPH1","LINGO1-AS1",NA,NA,NA,NA,"IFI16","SKI"
"NBN",NA,"XPO6",NA,"HELB","ACBD4",NA,NA,NA,NA,"AREL1","VRK2"
"ATP2A2",NA,"SLC25A4",NA,"CHD3","TRA2A",NA,NA,NA,NA,"TLE4","AC002553.2"
"SPINK13",NA,"PCP4L1",NA,"RSPRY1","FABP6",NA,NA,NA,NA,"AADAC","TRIM55"
"AP002851.1",NA,"AIDA",NA,"RPGR","PNMA6A",NA,NA,NA,NA,"HSD11B1L","PNKP"
"DUSP22",NA,"HMGCR",NA,"LINC00861","ZNF765",NA,NA,NA,NA,"AC023509.3","NFYC"
"BAAT",NA,"SCAF11",NA,"TSHZ2","FAM168B",NA,NA,NA,NA,"TMEM59","SPTLC3"
"TMEM115",NA,"TTC19",NA,"C19orf73","LMAN1",NA,NA,NA,NA,"CASP1","NSUN4"
"KIFAP3",NA,"PCDH7",NA,"ARPC2","MRPS28",NA,NA,NA,NA,"CCDC77","TMEM88"
"MCF2L2",NA,"PICK1",NA,"FAM13B","AP2A1",NA,NA,NA,NA,"TMEM35B","GLTP"
"BCL2L1",NA,"CARHSP1",NA,"ANKRD13B","TK2",NA,NA,NA,NA,"TRNT1","LRRC75B"
"COMMD9",NA,"AL132639.3",NA,"CALM1","PCBD1",NA,NA,NA,NA,"DPH6","AL023284.4"
"YTHDF1",NA,"RRP1",NA,"PRKAB1","TDRKH-AS1",NA,NA,NA,NA,"AP003469.4","TSPO2"
"MMS19",NA,"BSDC1",NA,"NAA25","TAP2",NA,NA,NA,NA,"S1PR1","PFDN5"
"RCHY1",NA,"MCOLN1",NA,"NPEPPS","AC022973.3",NA,NA,NA,NA,"MARCH9","CACTIN"
"MRPS16",NA,"ARL3",NA,"HSPB8","ZFAND2B",NA,NA,NA,NA,"PDE3A","AP002387.2"
"PPP2R2A",NA,"RNF185",NA,"ADPGK","PCOTH",NA,NA,NA,NA,"HLF","TRMT2B"
"LINC01621",NA,"FURIN",NA,"ZMYM1","EAPP",NA,NA,NA,NA,"ICAM4","AC127024.5"
"SPNS1",NA,"RAB13",NA,"AL513534.2","EHD4",NA,NA,NA,NA,"TUFT1","NME6"
"MARC1",NA,"THEMIS",NA,"FAM185A","ETFRF1",NA,NA,NA,NA,"EDEM2","EPS15"
"WRNIP1",NA,"SLC16A11",NA,"TAX1BP3","HEXB",NA,NA,NA,NA,"LINC01119","HARS2"
"AL451064.1",NA,"EMC3",NA,"RGP1","PCNX4",NA,NA,NA,NA,"SLC2A8","IGDCC3"
"UCKL1",NA,"GOLGA8B",NA,"FO704657.1","ZNF713",NA,NA,NA,NA,"AC002467.1","DNAJB5"
"BGLAP",NA,"CRLS1",NA,"VEZF1","XAF1",NA,NA,NA,NA,"TMEM191B","NQO1"
"DNPH1",NA,"BTBD6",NA,"AC105219.1","VMO1",NA,NA,NA,NA,"ISCA2","AL513318.2"
"PRKRA",NA,"IL1R2",NA,"ZSCAN9","AC011043.1",NA,NA,NA,NA,"OPA1","ERCC4"
"TRIM56",NA,"PRRG2",NA,"VASH1","STK4-AS1",NA,NA,NA,NA,"SAMSN1","NECTIN3"
"SDF2L1",NA,"MRPS6",NA,"CGN","VAMP4",NA,NA,NA,NA,"MTLN","NT5E"
"SLC7A2",NA,"PLPP5",NA,"CAVIN2","CHM",NA,NA,NA,NA,"THAP2","STMN3"
"P3H2",NA,"DBT",NA,"CEP152","AL928970.1",NA,NA,NA,NA,"CHAD","MRPL49"
"NUP88",NA,"ALG1",NA,"NFKBIA","NMRAL1",NA,NA,NA,NA,"PON1","NEURL4"
"AL359513.1",NA,"NPC1",NA,"KCNK6","MPG",NA,NA,NA,NA,"MNAT1","MTERF3"
"CERNA1",NA,"DHX30",NA,"DSP","RNF26",NA,NA,NA,NA,"CYB5R4","E2F3"
"MPZL3",NA,"BORCS7",NA,"AC068205.2","TECPR2",NA,NA,NA,NA,"MED9","XPNPEP3"
"TRPM7",NA,"DCAF10",NA,"GNG12","AUXG01000058.1",NA,NA,NA,NA,"GPC1","CETN2"
"TRAPPC9",NA,"AC091057.6",NA,"LAPTM5","TNFRSF10A",NA,NA,NA,NA,"APRT","DNAJC10"
"BCL11B",NA,"AP002490.1",NA,"TMCC1","BTC",NA,NA,NA,NA,"COASY","STPG3-AS1"
"PTCHD4",NA,"DIO3OS",NA,"RBM39","RAB8A",NA,NA,NA,NA,"KIDINS220","DLG3"
"EGFR",NA,"PKIG",NA,"LINC00992","SSC4D",NA,NA,NA,NA,"ARSD","EPO"
"TOB2",NA,"NPLOC4",NA,"SGK3","RNF185",NA,NA,NA,NA,"GNB5","ASPDH"
"HAUS5",NA,"TIMM10",NA,"PTGES3","AC009318.4",NA,NA,NA,NA,"TANGO6","BISPR"
"CENPU",NA,"ATP9A",NA,"LINC00574","LTN1",NA,NA,NA,NA,"AC108488.1","DHRS2"
"LINC01219",NA,"PAK6",NA,"AL157392.4","SHISA3",NA,NA,NA,NA,"IBA57","AC013553.4"
"PBX2",NA,"ARMCX3",NA,"GPR155","PLSCR2",NA,NA,NA,NA,"SLC29A1","AC111000.4"
"U2SURP",NA,"AC084756.1",NA,"CDC42BPA","LRTOMT",NA,NA,NA,NA,"ARHGEF5","AP003469.4"
"BPNT1",NA,"NBR1",NA,"AC097448.1","UPK3A",NA,NA,NA,NA,"AC097376.3","DCAF17"
"UBE2Q2L",NA,"IPPK",NA,"SH2D6","PRMT1",NA,NA,NA,NA,"ZNF441","AL096701.4"
"SLC25A37",NA,"BBIP1",NA,"ZNF677","PROSER2",NA,NA,NA,NA,"SOX7","FZD7"
"IPO8",NA,"CLPP",NA,"DEPDC7","POLR3GL",NA,NA,NA,NA,"PDHX","MTRF1L"
"FAM245A",NA,"FRAT2",NA,"AL158163.2","GTF2F1",NA,NA,NA,NA,"VAT1","CENPH"
"SLC43A1",NA,"ITGA8",NA,"GAR1","IFT27",NA,NA,NA,NA,"FKBP7","LRRC42"
"CHPT1",NA,"NGLY1",NA,"FOXN3","C12orf29",NA,NA,NA,NA,"AC005041.3","DDHD2"
"CD163",NA,"RANBP3",NA,"ARHGEF28","RAD23A",NA,NA,NA,NA,"SMAD3","KLHL9"
"WDR70",NA,"PDCD6IP",NA,"IFT46","TMEM189",NA,NA,NA,NA,"SDHB","POC1B"
"MARK4",NA,"ZFP30",NA,"GLCCI1","DNAJC4",NA,NA,NA,NA,"AC022201.2","KLHL15"
"CALCOCO1",NA,"AC010136.1",NA,"CTSW","TP53INP1",NA,NA,NA,NA,"GABARAPL1","APBB1"
"DCP2",NA,"NDUFA9",NA,"CDH19","F8A1",NA,NA,NA,NA,"SMIM29","NOA1"
"TMTC4",NA,"TBC1D14",NA,"CDR2L","LINC01752",NA,NA,NA,NA,"CCDC9","LDHC"
"AC243829.1",NA,"MAGI1",NA,"AL110114.1","AC010615.2",NA,NA,NA,NA,"SLCO1B3","AC116913.1"
"RABL6",NA,"AC015983.2",NA,"HBA1","MMP24",NA,NA,NA,NA,"UQCRQ","SPDL1"
"AL035661.1",NA,"TXNL4A",NA,"FAT1","TARS2",NA,NA,NA,NA,"VAX2","UBR4"
"C1orf226",NA,"RBM12",NA,"KCNN3","FAM133B",NA,NA,NA,NA,"HOXB3","METTL3"
"PROX1",NA,"VIM-AS1",NA,"PLEC","AL157762.1",NA,NA,NA,NA,"UFD1","B3GNT5"
"NUDT8",NA,"TMED7",NA,"NFIC","B4GALNT1",NA,NA,NA,NA,"FH","SNHG30"
"CDS2",NA,"AC104971.1",NA,"ROCK1","ARMH4",NA,NA,NA,NA,"SNX10","CLDN2"
"FLAD1",NA,"USP47",NA,"APTX","LGALS2",NA,NA,NA,NA,"MEIS1","PRKCH"
"LIG1",NA,"PRKAR2A-AS1",NA,"YJU2","RSPH10B",NA,NA,NA,NA,"TEX13C","VPS52"
"FARSA",NA,"AMH",NA,"IGHM","ZXDC",NA,NA,NA,NA,"LINC01006","ADH1A"
"FLOT2",NA,"EMD",NA,"KIF7","FUOM",NA,NA,NA,NA,"RBM28","SETD4"
"ZFP36",NA,"DGCR2",NA,"IL10","SLC35F6",NA,NA,NA,NA,"UTP15","RPS12"
"COL18A1",NA,"CHAMP1",NA,"SGK1","RNF7",NA,NA,NA,NA,"TTC13","HAS3"
"EIF4EBP1",NA,"THAP4",NA,"RSBN1L","LINC01714",NA,NA,NA,NA,"SEC61A2","AKR7A2"
"BEST4",NA,"C1orf53",NA,"ADAMTS9","NSMCE3",NA,NA,NA,NA,"ARF3","TEX2"
"TXNDC9",NA,"LINC02708",NA,"PPARG","BDH2",NA,NA,NA,NA,"ALDH1A1","CRNDE"
"CHI3L2",NA,"C2CD2",NA,"ATF5","SIVA1",NA,NA,NA,NA,"SLC12A7","ARHGAP19"
"GOLPH3",NA,"AP001505.1",NA,"FER1L5","BCAM",NA,NA,NA,NA,"TCP11","ANKEF1"
"NRIP1",NA,"MMAB",NA,"ZNF331","RAF1",NA,NA,NA,NA,"SLC39A10","ESD"
"WDR36",NA,"AC021086.1",NA,"BNIP1","AL512590.3",NA,NA,NA,NA,"ALKBH1","MHENCR"
"AC011511.5",NA,"SNAPC5",NA,"LPAR2","AC022706.1",NA,NA,NA,NA,"HIGD1A","CFAP65"
"GCDH",NA,"KCNF1",NA,"FICD","GLIS2-AS1",NA,NA,NA,NA,"VEZT","AC083862.2"
"WTAP",NA,"DMKN",NA,"VTA1","DCAF13",NA,NA,NA,NA,"COL15A1","ARAP2"
"C2orf66",NA,"DNAJA2",NA,"SRFBP1","ABHD11",NA,NA,NA,NA,"MT2A","APAF1"
"AQP4",NA,"MIEN1",NA,"RPL18A","FBXW11",NA,NA,NA,NA,"PAAF1","PABPC4"
"BIK",NA,"REEP5",NA,"FBXL19","PARVA",NA,NA,NA,NA,"GAREM1","SMIM17"
"TMEM14B",NA,"RABL6",NA,"AL137230.1","TDG",NA,NA,NA,NA,"COQ4","TMEM8A"
"PHLPP1",NA,"RAPH1",NA,"RABGAP1","RARA",NA,NA,NA,NA,"LINC00672","C12orf76"
"U73166.1",NA,"DOK7",NA,"APLF","KRT23",NA,NA,NA,NA,"PRR12","PSMD10"
"TMEM121",NA,"MCOLN2",NA,"BAG5","TMX1",NA,NA,NA,NA,"AC131009.3","ATPAF1"
"TAF11",NA,"ERGIC3",NA,"VNN2","KANTR",NA,NA,NA,NA,"TRAPPC6B","ZNF611"
"RALA",NA,"PRKAB2",NA,"GOLGA5","INTS6",NA,NA,NA,NA,"HORMAD2-AS1","SYT17"
"UBL7",NA,"NHLRC2",NA,"MAPRE2","DDX49",NA,NA,NA,NA,"CDIP1","SFRP5"
"AL356356.1",NA,"WDR34",NA,"ZNF541","DEXI",NA,NA,NA,NA,"ASPA","TMEM204"
"TCIRG1",NA,"EGFR",NA,"RPL41","CTBS",NA,NA,NA,NA,"AL355574.1","C9orf72"
"SLC25A30-AS1",NA,"TESK2",NA,"ZBTB47","IQCD",NA,NA,NA,NA,"CNDP2","SCGB2A1"
"USO1",NA,"ERCC5",NA,"KCNH3","AC018362.1",NA,NA,NA,NA,"GIMAP4","ZNF714"
"GOLGA2",NA,"RNF5",NA,"KIAA0040","AFTPH",NA,NA,NA,NA,"IFIT3","PITHD1"
"GRB14",NA,"FXYD5",NA,"ADAT1","NDST1",NA,NA,NA,NA,"MIEF1","ZFP14"
"LILRA2",NA,"SLU7",NA,"CD74","GABRD",NA,NA,NA,NA,"HGF","CHCHD5"
"DYNC1LI2",NA,"RAD54B",NA,"PDGFB","PIN4",NA,NA,NA,NA,"FASTKD1","CRYZ"
"ST5",NA,"BOD1",NA,"SOS1-IT1","TTN-AS1",NA,NA,NA,NA,"FBXO38","N6AMT1"
"UCK2",NA,"LIN37",NA,"TRIM8","SAP30BP",NA,NA,NA,NA,"FAM110B","PCBP2"
"EEF1AKMT3",NA,"BIRC6",NA,"WDFY4","AC010973.2",NA,NA,NA,NA,"TP53INP2","THEM4"
"U2AF1L4",NA,"NELFB",NA,"GTF2IRD2","NDUFS2",NA,NA,NA,NA,"TMEM191C","GSDMB"
"LINC02021",NA,"SCLY",NA,"LINC01510","SIX5",NA,NA,NA,NA,"UBXN2B","ZNF837"
"BRPF3",NA,"ARSG",NA,"PLAGL2","DDX18",NA,NA,NA,NA,"EPDR1","CPNE1"
"AC018926.3",NA,"ADAMTSL5",NA,"PPP2R3A","SHANK3",NA,NA,NA,NA,"UBA7","PHF11"
"KAT7",NA,"SLC16A12",NA,"SMS","ALAS1",NA,NA,NA,NA,"SPAG7","MZT2A"
"SPG7",NA,"ANO8",NA,"GPR160","TMEM225B",NA,NA,NA,NA,"AL033527.4","LINC01234"
"USP33",NA,"ZNF22",NA,"EFHC1","INTS6-AS1",NA,NA,NA,NA,"SLIRP","ATP6V1E2"
"NOL3",NA,"FAM32A",NA,"TMC6","TAF1C",NA,NA,NA,NA,"AKAP12","CDIP1"
"ZBED3",NA,"AL137026.1",NA,"GAPDH","WFDC2",NA,NA,NA,NA,"CLDN15","RBM7"
"HIGD2A",NA,"TOP2A",NA,"ABCB11","RALY",NA,NA,NA,NA,"PCDHB12","C2orf49"
"FAM222A",NA,"AC092687.3",NA,"EMP1","SH3BP1",NA,NA,NA,NA,"CEACAM1","BBS1"
