"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9"
"MTRNR2L8","A1BG","BCAS1",NA,NA,NA,"AC060766.4","ADAMTSL1","MN1"
"LINC01186","APCDD1L","TFAP2C",NA,NA,NA,"TBC1D3D","KIF24","IYD"
"SERPINB2","FAM92B","SYCP2",NA,NA,NA,"GSDMA","DNAJB5","KLHDC7A"
"FLVCR1-DT","GC","EEF1A2",NA,NA,NA,"AC073508.3","GLIPR2","DET1"
"HYAL3","ADRB2","AP000253.1",NA,NA,NA,"RND2","MAMDC2","BX088651.4"
"AC090877.2","CCDC71","MRAP",NA,NA,NA,"MAP3K14-AS1","AGTPBP1","CELF6"
"RGS4","PROSER3","KCNJ15",NA,NA,NA,"SP2-AS1","LPAR1","MAP3K2-DT"
"TMEM236","CEP152","SEC14L6",NA,NA,NA,"PPM1E","AL596244.1","H1FX-AS1"
"CACNB2","FGL1","DUSP18",NA,NA,NA,"LINC01152","MEIG1","AC068631.1"
"GTPBP8","ZNF629","GPR143",NA,NA,NA,"CBX8","PRTFDC1","KCNT2"
"HESX1","CREB5","SHROOM2",NA,NA,NA,"AC087741.2","AL590068.4","BANK1"
"SLC9A5","CEP78","ACE2",NA,NA,NA,"GAPLINC","ARHGAP22","TEC"
"AL023284.4","MT-CO2","BEX5",NA,NA,NA,"CEP76","DKK1","GIN1"
"ZNF250","SYNGAP1","NXF3",NA,NA,NA,"AC015819.1","RTKN2","BEX1"
"MBLAC2","LINC01018","TGFA",NA,NA,NA,"AC005264.1","EGR2","GPR174"
"FAM169A","SERPINA4","DTHD1",NA,NA,NA,"TNFSF9","AL133551.1","TNFSF11"
"ACTL10","AL161669.3","C6orf141",NA,NA,NA,"AC011511.5","LDB3","PART1"
"GCK","SCNN1B","TCN1",NA,NA,NA,"LINC01764","CH25H","ANGPT1"
"LINC00685","MT1G","LYPD6",NA,NA,NA,"ZNF253","NKX2-3","TRAF3IP1"
"LINC01515","ITIH4","C6orf132",NA,NA,NA,"ZNF726","AL353719.1","GOLGA6L4"
"POLR2J2","MSANTD2","SAMD12",NA,NA,NA,"AC007773.1","AFAP1L2","KIF26B"
"ZNF510","GPD1L","AC011330.2",NA,NA,NA,"CHST8","GRK5","NUDT19"
"AL162595.1","MT-ND1","AC027796.4",NA,NA,NA,"ZNF420","INPP5F","CHRNA5"
"RANBP17","F9","B3GNT3",NA,NA,NA,"ZNF571","DPYSL4","AC016747.1"
"PKIB","ZBED4","TSPAN12",NA,NA,NA,"TMEM145","IFITM1","WNT3"
"FAM241B","ACSM2A","SCNN1A",NA,NA,NA,"ZNF233","SCT","AP002026.1"
"AGBL3","SERPINA11","GPR160",NA,NA,NA,"DM1-AS","AMPD3","EFNA3"
"AL109628.2","AMY2A","DUOXA2",NA,NA,NA,"AC093503.2","GALNT18","AL109613.1"
"ZNF19","CCDC196","SYT13",NA,NA,NA,"PLA2G4C-AS1","KIF18A","LGR5"
"USP32","CNDP1","AC004264.1",NA,NA,NA,"DHDH","MPPED2","CLEC1A"
"TMEM117","ABCB4","FAM3D",NA,NA,NA,"CCDC155","FJX1","RAD54B"
"ZNF678","ANKRD42","CNR1",NA,NA,NA,"PTOV1-AS1","AGBL2","STARD9"
"PRND","USHBP1","KCNE3",NA,NA,NA,"ZNF473","MS4A6E","AC027307.2"
"SKA3","MASP1","AL136295.6",NA,NA,NA,"KLK2","TMEM216","ZNF836"
"LINC02762","ACSM2B","AL592295.5",NA,NA,NA,"ZNF600","CATSPER1","GPHN"
"F8A1","CYP8B1","GEMIN7-AS1",NA,NA,NA,"NCR1","CNIH2","PPM1H"
"AC009318.1","AL359921.2","SLC5A1",NA,NA,NA,"COX6B2","CABP4","SHH"
"PIP5K1B","LILRA2","SGO1",NA,NA,NA,"ZNF17","P4HA3","AC008915.2"
"AC068722.2","DTWD2","ROR1",NA,NA,NA,"ZNF417","WNT11","AL512306.2"
"CARD6","SERPINA6","HS3ST1",NA,NA,NA,"ZNF324B","AP002360.1","CCDC77"
"RPGR","POLQ","SEZ6L2",NA,NA,NA,"AL110114.1","NOX4","AC103706.1"
"MSI1","CES2","RBBP8NL",NA,NA,NA,"SDCBP2-AS1","POU2AF1","ZNF626"
"OSR2","BPIFB2","DUSP19",NA,NA,NA,"AL117335.1","LAYN","ZNF841"
"HIST1H2BK","ZFHX2","KRBOX1",NA,NA,NA,"SLC4A11","SCN4B","FAM184A"
"HIST1H1C","RIPOR3","DCST2",NA,NA,NA,"MROH8","CXCR5","NAP1L5"
"ADORA2B","MYH3","NME5",NA,NA,NA,"ARHGAP40","CLMP","C1orf112"
