"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9"
"KIAA0232","NDUFS7",NA,NA,NA,NA,"AGAP1-IT1","C12orf74",NA
"NOL12","GSTO1",NA,NA,NA,NA,"TLE4","BBIP1",NA
"FAM83F","BLK",NA,NA,NA,NA,"MAMLD1","NID2",NA
"TRMT6","PAQR7",NA,NA,NA,NA,"CTXND1","CACNA2D1",NA
"SCRN3","ABCC2",NA,NA,NA,NA,"TLCD1","AP001505.1",NA
"SMAD3","APCS",NA,NA,NA,NA,"SETDB1","DNM3OS",NA
"FLJ45513","ZNHIT6",NA,NA,NA,NA,"AC036176.1","ANKRD44",NA
"COG3","PNKP",NA,NA,NA,NA,"IMMP2L","LGALS3",NA
"ATP6V0D2","EBF4",NA,NA,NA,NA,"IL17RC","CCDC66",NA
"URB2","ZNF446",NA,NA,NA,NA,"PARP4","SLC22A5",NA
"DAP3","CALHM5",NA,NA,NA,NA,"DSG2","LTBP1",NA
"KCTD2","RPL3",NA,NA,NA,NA,"LAG3","AL356055.1",NA
"COL4A6","ADPRM",NA,NA,NA,NA,"HES6","CLSPN",NA
"NCAPG","U2AF1L4",NA,NA,NA,NA,"C15orf48","QPCT",NA
"AC084824.4","SLC27A4",NA,NA,NA,NA,"MTA3","FAM117B",NA
"AC007325.4","CD46",NA,NA,NA,NA,"NIPSNAP3A","LINC01943",NA
"C2CD3","CCL28",NA,NA,NA,NA,"FKBP15","C3orf70",NA
"CNTNAP2","RENBP",NA,NA,NA,NA,"CTTNBP2NL","CYTL1",NA
"NMRK1","GPS2",NA,NA,NA,NA,"RNF125","AP001372.2",NA
"COX6A2","GNAO1",NA,NA,NA,NA,"WSB2","HACD1",NA
"AC002401.3","LINC01137",NA,NA,NA,NA,"AL021328.1","GLT8D2",NA
"DDI2","MAP4K3",NA,NA,NA,NA,"ALMS1","SLC22A15",NA
"RASSF8","AKR1D1",NA,NA,NA,NA,"COIL","AC159540.2",NA
"RMI2","WDR24",NA,NA,NA,NA,"KIF20A","NFKB1",NA
"PARD6G","AEBP1",NA,NA,NA,NA,"CNIH4","TAGLN",NA
"SLC26A5","NFAM1",NA,NA,NA,NA,"CPOX","NFATC2",NA
"ZNF503","GPANK1",NA,NA,NA,NA,"RHBDL1","RNASET2",NA
"TBPL1","AC108134.3",NA,NA,NA,NA,"CENPV","PIK3CD",NA
"POC5","PSPN",NA,NA,NA,NA,"SGK2","KIRREL1",NA
"NCAPD2","DOCK2",NA,NA,NA,NA,"PCBP3","FCRL1",NA
"MYO7B","AL139246.5",NA,NA,NA,NA,"CLASP1","EAF1-AS1",NA
"CXorf56","AL109936.2",NA,NA,NA,NA,"TNRC6B","IFT57",NA
"ME1","LRGUK",NA,NA,NA,NA,"USP14","AC111182.1",NA
"CLSPN","TLN2",NA,NA,NA,NA,"METTL25","CHD9",NA
"RFX3","SCAND1",NA,NA,NA,NA,"AMBN","ARHGAP15",NA
"AC026803.3","C14orf180",NA,NA,NA,NA,"RPL26L1","DMC1",NA
"NPTX2","SMCR8",NA,NA,NA,NA,"KIAA1324L","APBA1",NA
"RHOT1","KCNQ1",NA,NA,NA,NA,"AC239800.2","ZNF502",NA
"AC092490.1","HSD17B11",NA,NA,NA,NA,"RICTOR","DNASE1L2",NA
"SOX2-OT","SCD",NA,NA,NA,NA,"TIGD6","CRYAB",NA
"AC145207.2","ATOH8",NA,NA,NA,NA,"TXNL4B","S1PR5",NA
"SNX4","SLC66A2",NA,NA,NA,NA,"PSD3","PCSK1N",NA
"ARSB","AC022098.1",NA,NA,NA,NA,"SLC25A30","ALOX5AP",NA
"SIKE1","ZRSR2",NA,NA,NA,NA,"DLL1","TNRC6C-AS1",NA
"AC092069.1","TGFBRAP1",NA,NA,NA,NA,"NCAPG","GYPC",NA
"DLG5","MYSM1",NA,NA,NA,NA,"SLC30A5","AC024060.2",NA
"TUSC8","NTNG2",NA,NA,NA,NA,"FADS6","NR2F2",NA
"AC011445.2","NAGLU",NA,NA,NA,NA,"ERLIN1","THEMIS2",NA
"SLC41A1","CASP10",NA,NA,NA,NA,"LRRK1","CALHM2",NA
"PYCARD-AS1","IGFBP2",NA,NA,NA,NA,"MOB1B","MTA1",NA
"A2M-AS1","AC004233.2",NA,NA,NA,NA,"MEIS1","EIF1AY",NA
"HNF1A-AS1","HPGD",NA,NA,NA,NA,"AQP11","MFSD6L",NA
"PLAAT2","NFIA",NA,NA,NA,NA,"CARMIL3","AC093512.1",NA
"DDO","TMEM246",NA,NA,NA,NA,"ANKRD49","OLFML2B",NA
"TMEM256","ADCY1",NA,NA,NA,NA,"GXYLT2","ADCY7",NA
"ZNF563","KISS1",NA,NA,NA,NA,"SMIM8","ZNF512",NA
"VIRMA","METTL4",NA,NA,NA,NA,"PREP","ATF6B",NA
"NARS2","KMO",NA,NA,NA,NA,"FAM20B","DEF6",NA
"SLC35F6","PIK3C2G",NA,NA,NA,NA,"RARA-AS1","RAB3A",NA
"IDH1-AS1","STRN3",NA,NA,NA,NA,"CHDH","LINC01011",NA
"FMC1","MYOM1",NA,NA,NA,NA,"ZBTB34","SLIT2",NA
"COPRS","TRAPPC9",NA,NA,NA,NA,"KCTD17","ANXA2R",NA
"DOLPP1","KRT8",NA,NA,NA,NA,"LPAR6","MYOZ1",NA
"ADPRHL1","NTHL1",NA,NA,NA,NA,"RCCD1","AC044893.1",NA
"KIF3A","LY6E",NA,NA,NA,NA,"TTC39A","CSTF2",NA
"RPTOR","ASS1",NA,NA,NA,NA,"FBXO21","AC009244.2",NA
"PCDHB10","KRT18",NA,NA,NA,NA,"PRR26","NOD2",NA
"C17orf75","CNBD2",NA,NA,NA,NA,"MAML3","MGAT3",NA
"ARFGEF2","FIS1",NA,NA,NA,NA,"MRM3","NUDT18",NA
"RRP8","MGMT",NA,NA,NA,NA,"KDM6A","SLC8B1",NA
"TPRN","DENND5B",NA,NA,NA,NA,"GMPS","TNS2",NA
"AL591848.4","CKMT2-AS1",NA,NA,NA,NA,"MAP3K1","HEIH",NA
"C1QL1","PHPT1",NA,NA,NA,NA,"TTC12","SETD3",NA
"OPHN1","CPED1",NA,NA,NA,NA,"AP4S1","CCL2",NA
"CLCF1","GLT1D1",NA,NA,NA,NA,"USP31","GDF11",NA
"TIPARP-AS1","HAUS8",NA,NA,NA,NA,"GNB3","ADGRG3",NA
"FMN1","SLC43A1",NA,NA,NA,NA,"TREH","STIM2-AS1",NA
"ZNRD1","FASTK",NA,NA,NA,NA,"FBXO17","NAV3",NA
"PLXNA1","PRSS27",NA,NA,NA,NA,"CXADR","AC120036.4",NA
"NELFCD","AP000254.2",NA,NA,NA,NA,"BCAT1","ZNF821",NA
"RPS6KA3","TMEM150C",NA,NA,NA,NA,"ABHD16A","GRIK1-AS1",NA
"AC024909.1","SPATA6L",NA,NA,NA,NA,"MECR","FCER1A",NA
"AKR1C2","EEF1AKMT1",NA,NA,NA,NA,"TBC1D24","AF165147.1",NA
"PEF1","ZNHIT1",NA,NA,NA,NA,"TCTEX1D2","TM4SF18",NA
"ZNF18","LARS2",NA,NA,NA,NA,"MAL2","AC132938.3",NA
"PEX10","ARFGAP1",NA,NA,NA,NA,"C2CD3","AC025171.1",NA
"KLF4","RALGAPB",NA,NA,NA,NA,"OPA1","BRIP1",NA
"ADAT1","LHPP",NA,NA,NA,NA,"PPP3CB-AS1","FAXC",NA
"NSL1","LNX2",NA,NA,NA,NA,"PRKDC","BCL11A",NA
"TOMM40L","TFF3",NA,NA,NA,NA,"ASMTL-AS1","RARG",NA
"PIP4K2C","APBA3",NA,NA,NA,NA,"CSTF3","HERC5",NA
"ZNF821","GOLGA6L9",NA,NA,NA,NA,"DZIP3","METTL6",NA
"SPATA2L","BAZ1B",NA,NA,NA,NA,"OMA1","AL139339.2",NA
"LINC02035","ZNF337",NA,NA,NA,NA,"ACTC1","TBC1D19",NA
"AC007785.3","RPS11",NA,NA,NA,NA,"HRCT1","CD1E",NA
"C3orf85","PAG1",NA,NA,NA,NA,"LIN7B","PRICKLE2",NA
"AL356489.3","ATP6V0A2",NA,NA,NA,NA,"MTMR4","SNPH",NA
"CREG2","HUS1B",NA,NA,NA,NA,"IQCH","AC012236.1",NA
"MICA","ONECUT1",NA,NA,NA,NA,"TBX1","AC022144.1",NA
"IQCE","ESPN",NA,NA,NA,NA,"GSTCD","SFRP5",NA
"SURF2","TFEC",NA,NA,NA,NA,"OPN3","COL8A1",NA
"BRD1","LONRF2",NA,NA,NA,NA,"EAF1","CLIP3",NA
"TAF2","HSD17B4",NA,NA,NA,NA,"CRIPAK","ARL3",NA
"C3orf38","CDK17",NA,NA,NA,NA,"TMEM14B","SLX4IP",NA
"C8orf76","ADIRF",NA,NA,NA,NA,"TRG-AS1","REEP2",NA
"DLGAP1-AS5","ELP1",NA,NA,NA,NA,"ACP6","ZNF438",NA
"RPL22L1","ALG9",NA,NA,NA,NA,"TRIM5","EEA1",NA
"ANKRD46","ZNF200",NA,NA,NA,NA,"GPSM1","AC007906.2",NA
"KCNJ5","EEF1A1",NA,NA,NA,NA,"PFKFB2","LNCTAM34A",NA
"TDRKH","SOD1",NA,NA,NA,NA,"CCDC151","AC107021.2",NA
"OTUD3","TAPT1",NA,NA,NA,NA,"MRPL1","IGF1",NA
"UBXN2A","LCK",NA,NA,NA,NA,"MYO5C","YBX3",NA
"NUP88","LINC01268",NA,NA,NA,NA,"SMIM1","LILRB4",NA
"CA11","SPHK2",NA,NA,NA,NA,"LAGE3","DLEU7",NA
"EIF3E","TMEM79",NA,NA,NA,NA,"WAC-AS1","BCORL1",NA
"ZBED6CL","ULK4",NA,NA,NA,NA,"VIL1","PLD4",NA
"AK4","AL356019.2",NA,NA,NA,NA,"NFIL3","CATIP-AS1",NA
"LINC01275","CPN2",NA,NA,NA,NA,"UTP23","CCM2L",NA
"CASP3","PTGDS",NA,NA,NA,NA,"SLC9A9","RAB38",NA
"FRRS1","TIMM13",NA,NA,NA,NA,"SMIM19","TNFSF13B",NA
"ETV7","MGST1",NA,NA,NA,NA,"RFK","ZDHHC20",NA
"PITPNB","ACTR3C",NA,NA,NA,NA,"FLRT3","IL33",NA
"AC010542.2","CRISPLD1",NA,NA,NA,NA,"BCLAF3","MS4A14",NA
"NPRL3","IGFLR1",NA,NA,NA,NA,"GATA3","STARD8",NA
"AMACR","CPEB2",NA,NA,NA,NA,"VTA1","AC139099.2",NA
"COMMD5","PSD",NA,NA,NA,NA,"HERC3","PLEKHG1",NA
"CERNA1","ZNF141",NA,NA,NA,NA,"PRKCI","AP002387.2",NA
"ZRANB3","HDHD2",NA,NA,NA,NA,"EPB41L4A-AS1","FAP",NA
"NRN1L","FERMT2",NA,NA,NA,NA,"SLC16A1","KRT222",NA
"TIGIT","ANGPTL4",NA,NA,NA,NA,"SUV39H1","GLB1L",NA
"CDKN2C","SSR4",NA,NA,NA,NA,"NAF1","NCR3",NA
"ELMSAN1","SLC4A1",NA,NA,NA,NA,"CD40LG","C19orf38",NA
"DIPK1B","AL033397.1",NA,NA,NA,NA,"PDE3A","AC021097.2",NA
"ZBTB22","SIPA1L2",NA,NA,NA,NA,"TRIM66","ZNF786",NA
"MAPK7","ZNF24",NA,NA,NA,NA,"MRPL49","DOCK9-DT",NA
"MGME1","PPP1R16A",NA,NA,NA,NA,"WIPF3","MFSD8",NA
"IFT88","DDAH1",NA,NA,NA,NA,"ADORA2B","IL17RD",NA
"SLC7A11","RPL18",NA,NA,NA,NA,"TSHZ1","SPON1",NA
"PPP2R5B","CCL21",NA,NA,NA,NA,"CLCN4","CD96",NA
"ABCG2","PDXP",NA,NA,NA,NA,"ALG6","MIR34AHG",NA
"SLC25A33","IFT81",NA,NA,NA,NA,"KIAA1958","WDR47",NA
"CDK2","ELMOD3",NA,NA,NA,NA,"AC244090.1","AC009275.1",NA
"BPHL","CSRP1",NA,NA,NA,NA,"DNAJC2","BHLHE22",NA
"AGMO","NNT",NA,NA,NA,NA,"CSTF2","SKIL",NA
"IKZF4","MAB21L4",NA,NA,NA,NA,"AP002381.2","AFAP1L1",NA
"AL353708.3","PACSIN2",NA,NA,NA,NA,"TFB1M","PPP1R3D",NA
"HSPBP1","ASPDH",NA,NA,NA,NA,"PHF19","CC2D2A",NA
"CYP4A22","RXRA",NA,NA,NA,NA,"AC092069.1","HDAC9",NA
"DOCK10","GPI",NA,NA,NA,NA,"ZNF564","RASGRF2",NA
"SLC25A46","MYL3",NA,NA,NA,NA,"ZMYM5","PDE5A",NA
"GRPEL2","SESN1",NA,NA,NA,NA,"DNAJB9","CDC42SE1",NA
"LYPLAL1","ENPEP",NA,NA,NA,NA,"OGFOD1","PACRGL",NA
"DTNA","PRDX5",NA,NA,NA,NA,"NMT1","COL21A1",NA
"AL118505.1","UBR5-AS1",NA,NA,NA,NA,"NLK","CHST2",NA
"NSUN7","ABCB8",NA,NA,NA,NA,"ANKRD13C","ANGPTL7",NA
"SLCO1B3","CLUH",NA,NA,NA,NA,"FMO4","HLA-DQB1",NA
"POGLUT3","DDX60",NA,NA,NA,NA,"KIF18B","AC129507.1",NA
"SQLE","CCS",NA,NA,NA,NA,"RBMS2","AC108673.3",NA
"ZCCHC9","FOXA3",NA,NA,NA,NA,"ROBO1","FIG4",NA
"PAK1IP1","IGFALS",NA,NA,NA,NA,"GOLGA8N","ETV3",NA
"UBE2O","EFCC1",NA,NA,NA,NA,"TLE2","C11orf96",NA
"AC090844.2","PATJ",NA,NA,NA,NA,"WDR35","PIK3IP1-AS1",NA
"TRIM55","LCN2",NA,NA,NA,NA,"SPIDR","AGAP2",NA
"RTRAF","STOX2",NA,NA,NA,NA,"ZNF746","GZF1",NA
"AC099066.2","LBP",NA,NA,NA,NA,"IRGQ","VEGFB",NA
"AC074117.1","DCLRE1A",NA,NA,NA,NA,"SIRT6","ZNF529-AS1",NA
"GLE1","NDRG2",NA,NA,NA,NA,"MIEF2","RMRP",NA
"TM2D3","SLC25A23",NA,NA,NA,NA,"SOWAHA","PRICKLE1",NA
"FAIM","CFH",NA,NA,NA,NA,"RSPRY1","AC025262.1",NA
"LINC01278","HAAO",NA,NA,NA,NA,"CABLES1","ARHGAP18",NA
"ZNF66","HMGCL",NA,NA,NA,NA,"AL441992.1","AK7",NA
"LINC01287","AL391988.1",NA,NA,NA,NA,"MPV17L2","CAVIN1",NA
"CCDC18","PAOX",NA,NA,NA,NA,"SUGP1","FIBIN",NA
"TRIM16L","BDH1",NA,NA,NA,NA,"VBP1","PLCL2",NA
"ZNF687","TMEM222",NA,NA,NA,NA,"MED10","CCNA2",NA
"BMP2","CXXC1",NA,NA,NA,NA,"EIF4EBP3","PANO1",NA
"LINC02062","LINC01320",NA,NA,NA,NA,"TBC1D22B","GJA1",NA
"PRKAB1","RAPGEF2",NA,NA,NA,NA,"SPIN1","AC002398.2",NA
"MAP3K5","S100A3",NA,NA,NA,NA,"ARL5B","AC006064.5",NA
"TRIM2","TTC38",NA,NA,NA,NA,"ORMDL2","FUT8",NA
"CARNMT1","CNOT10",NA,NA,NA,NA,"SH2D1A","RTL8C",NA
"RMI1","LINC01116",NA,NA,NA,NA,"FBXL8","AIFM3",NA
"DLG5-AS1","CXCL12",NA,NA,NA,NA,"UFSP2","AL590550.1",NA
"ZBTB7A","ATP6V0E2",NA,NA,NA,NA,"GLT8D2","FAHD2B",NA
"F2RL3","AC010680.2",NA,NA,NA,NA,"ZNF331","CLEC2D",NA
"METTL8","AK3",NA,NA,NA,NA,"CHCHD4","PLA2G5",NA
"SPRED3","SYT1",NA,NA,NA,NA,"NAIF1","TCEAL8",NA
"SMCO2","PGAP1",NA,NA,NA,NA,"TMEM44-AS1","NAP1L3",NA
"SUV39H2","GLYCTK",NA,NA,NA,NA,"MTERF3","SPRY1",NA
"GPR153","CHST9",NA,NA,NA,NA,"PIGM","AL137127.1",NA
"ITGA10","ABTB1",NA,NA,NA,NA,"KIF1B","POU6F1",NA
"HSPA14","NCF1",NA,NA,NA,NA,"KANSL1","TPH1",NA
"HSPA14","ZKSCAN5",NA,NA,NA,NA,"HOMER3","AL662844.4",NA
"RBM24","TRIM28",NA,NA,NA,NA,"OSR1","MYEF2",NA
"FSCN2","SNHG14",NA,NA,NA,NA,"SLC35D2","FANK1",NA
"TEF","MDN1",NA,NA,NA,NA,"KCNB1","NEK7",NA
"CLTCL1","ADHFE1",NA,NA,NA,NA,"TATDN1","AL359762.1",NA
"TFCP2","SLC22A10",NA,NA,NA,NA,"HAUS5","RHOJ",NA
"TAS2R14","ZBTB49",NA,NA,NA,NA,"ARID3A","AC127024.5",NA
"RHBDL3","TOP3A",NA,NA,NA,NA,"RABGGTB","AC092279.1",NA
"DCAF13","SLC22A18",NA,NA,NA,NA,"RNF139","CCDC70",NA
"CCNB1IP1","TMOD1",NA,NA,NA,NA,"CDKN2AIP","LINC01481",NA
"RAD51","MAOB",NA,NA,NA,NA,"PARM1","CCDC102B",NA
"ANXA9","GPAA1",NA,NA,NA,NA,"RPUSD4","EAF2",NA
"CCDC82","TIMM23B-AGAP6",NA,NA,NA,NA,"SEPHS1","SHISA8",NA
"AHSA1","AL355816.1",NA,NA,NA,NA,"GEMIN6","AP000240.1",NA
"ZNF138","ORC3",NA,NA,NA,NA,"AC068722.2","IL20RB",NA
"HACL1","GKAP1",NA,NA,NA,NA,"MDC1","LINC01252",NA
"CYSLTR1","AHNAK",NA,NA,NA,NA,"QSOX2","E2F7",NA
"NANS","FITM1",NA,NA,NA,NA,"FTO","ADAMTS15",NA
"STXBP3","OTULINL",NA,NA,NA,NA,"UPF3A","AC011462.5",NA
"NDUFAF7","RNF208",NA,NA,NA,NA,"SLFN13","SKOR1",NA
"ZFAND2A","REC8",NA,NA,NA,NA,"HEPH","SNED1",NA
"JKAMP","FBXO24",NA,NA,NA,NA,"PHKG1","WIPI1",NA
"CORIN","PTPA",NA,NA,NA,NA,"ABHD15","FKBP7",NA
"JCAD","TP53INP1",NA,NA,NA,NA,"MRPL10","HDAC7",NA
"MIR31HG","SLC45A2",NA,NA,NA,NA,"PPP1R26","CAMK4",NA
"PHF14","ITGA5",NA,NA,NA,NA,"RAI14","HSPA12A",NA
"AZI2","DHRS3",NA,NA,NA,NA,"PHLPP2","HAS2",NA
"MTIF2","TMUB2",NA,NA,NA,NA,"TMEM163","CTNND2",NA
"KLHL17","STX1B",NA,NA,NA,NA,"USP42","UBXN10-AS1",NA
"PHAX","C8orf82",NA,NA,NA,NA,"PANX2","RASSF9",NA
"GCLM","TPCN2",NA,NA,NA,NA,"SLC41A1","MYBPC3",NA
"KBTBD7","MFSD12",NA,NA,NA,NA,"TRIM55","TGFB1",NA
"THEM6","CYP21A2",NA,NA,NA,NA,"DUSP11","PRKAR2A-AS1",NA
"SLC35E4","ANKRA2",NA,NA,NA,NA,"FAM241B","ZDHHC15",NA
"INVS","ST6GAL1",NA,NA,NA,NA,"PRMT3","SENCR",NA
"TRMT11","C5orf49",NA,NA,NA,NA,"DIO3OS","CLIC5",NA
"GPAT3","AC005899.6",NA,NA,NA,NA,"RAB11FIP5","LRCH1",NA
"L2HGDH","AQP9",NA,NA,NA,NA,"EEF1AKMT3","FAR1",NA
"DNAJA3","BAIAP2L1",NA,NA,NA,NA,"TOM1L1","AC100861.1",NA
"RCHY1","ECHDC2",NA,NA,NA,NA,"RNF217","POU2F2",NA
"RAB3B","ZNF772",NA,NA,NA,NA,"MAPK12","ATP6V1B1",NA
"CYP4F26P","GATA6",NA,NA,NA,NA,"MICAL3","SAMD13",NA
"CASP8","EPM2A",NA,NA,NA,NA,"LYN","AC079848.1",NA
"FLCN","PARP10",NA,NA,NA,NA,"ZUP1","CD38",NA
"CCDC170","DFFB",NA,NA,NA,NA,"PPA2","GBGT1",NA
"IFT81","ZNF235",NA,NA,NA,NA,"NUP133","FAM126A",NA
"INPP5A","GAB1",NA,NA,NA,NA,"MSH6","BAZ2B",NA
"TTC37","SLC9A3R2",NA,NA,NA,NA,"TCERG1","FNDC1",NA
"XKR8","GPRC5A",NA,NA,NA,NA,"TMEM39A","LDOC1",NA
"FAM89A","MAP11",NA,NA,NA,NA,"VCPIP1","GIHCG",NA
"SEMA6A","ATP6V0C",NA,NA,NA,NA,"CTSE","AC107982.3",NA
"AKAP5","PFKL",NA,NA,NA,NA,"EIF2AK3","DNHD1",NA
"RNASEH2A","KATNA1",NA,NA,NA,NA,"PPP1R37","GPRIN3",NA
"ACHE","AL359715.2",NA,NA,NA,NA,"IL15","LOR",NA
"LY6G5B","INTS1",NA,NA,NA,NA,"TMEM234","AMPD1",NA
"TIMM8A","TMEM97",NA,NA,NA,NA,"CPSF2","ARHGEF2",NA
"ADCY6-DT","RPS5",NA,NA,NA,NA,"ALG13","CARNS1",NA
"AC009974.1","CCDC28A",NA,NA,NA,NA,"PPT2","UBE2L5",NA
"ALKBH4","SRPK2",NA,NA,NA,NA,"UNC119","DHRS9",NA
"SLMAP","SCARB1",NA,NA,NA,NA,"AL137127.1","ATXN7",NA
"MAK","HYI",NA,NA,NA,NA,"RFXAP","MORN5",NA
"AL590226.2","RHOB",NA,NA,NA,NA,"GTF2IRD2B","DNASE1L1",NA
"AC091729.3","TAF3",NA,NA,NA,NA,"RNASEH2B","FOXS1",NA
"KAT5","SELENOO",NA,NA,NA,NA,"PVR","GPR183",NA
"PFAS","SPG11",NA,NA,NA,NA,"CAP2","CNEP1R1",NA
"BCL2L12","SLC22A4",NA,NA,NA,NA,"ZBTB43","DSE",NA
"FAM20B","ZSCAN16",NA,NA,NA,NA,"CTPS2","SLC38A1",NA
"SOCS5","RRBP1",NA,NA,NA,NA,"HCK","GNG8",NA
"YEATS4","AC002550.2",NA,NA,NA,NA,"SLC39A4","AL139260.1",NA
"PTPRK","ZNF302",NA,NA,NA,NA,"FGFR1OP","GRIK2",NA
"BTBD19","CHRNA4",NA,NA,NA,NA,"SLC6A16","MEFV",NA
"TNFAIP8L1","MSTN",NA,NA,NA,NA,"HTATIP2","PIAS3",NA
"AP000880.1","PCTP",NA,NA,NA,NA,"SSH1","PTPN13",NA
"GIMAP8","ZNF839",NA,NA,NA,NA,"MAP2","SIX1",NA
"MARC1","MYO1B",NA,NA,NA,NA,"STK35","PRKD3",NA
"FAM240C","AC011503.2",NA,NA,NA,NA,"CNEP1R1","UST",NA
"SSTR1","MXD4",NA,NA,NA,NA,"GOLPH3L","TLCD5",NA
"MPP7","TPT1",NA,NA,NA,NA,"ORC2","TDRD7",NA
"ATP5MGL","MVB12B",NA,NA,NA,NA,"MAP2K4","ZNF717",NA
"ZNF462","NR6A1",NA,NA,NA,NA,"LRRC61","FGD2",NA
"PRDX3","TM7SF2",NA,NA,NA,NA,"RAP1GAP2","CD3D",NA
"TMEM138","TFIP11",NA,NA,NA,NA,"SMAGP","CCDC69",NA
"AC012673.1","USP6NL",NA,NA,NA,NA,"H2AFY2","SLCO2A1",NA
"CEACAM1","GALK1",NA,NA,NA,NA,"GAS7","RNF122",NA
"SRR","MCRIP1",NA,NA,NA,NA,"SLC17A5","AURKC",NA
"FAM226B","MRPL41",NA,NA,NA,NA,"SRC","FCGR2A",NA
"LRBA","CAHM",NA,NA,NA,NA,"ACD","PLEKHO1",NA
"GPAM","ITGB2-AS1",NA,NA,NA,NA,"ZNF544","MAL",NA
"BEGAIN","AC245060.5",NA,NA,NA,NA,"RANGRF","FAM124B",NA
"ZFYVE28","LRWD1",NA,NA,NA,NA,"STRBP","FGD5",NA
"STAMBP","GPT2",NA,NA,NA,NA,"OGFRP1","TRIM61",NA
"ITGA2","TNFRSF11B",NA,NA,NA,NA,"AC005229.4","LINC00665",NA
NA,"ARL4D",NA,NA,NA,NA,"TRIM21","AC104809.2",NA
NA,"AC109322.1",NA,NA,NA,NA,"JMY","AC005746.2",NA
NA,"SLC37A4",NA,NA,NA,NA,"MROH1","ZNF362",NA
NA,"KDM5D",NA,NA,NA,NA,"MTURN","SLC1A5",NA
NA,"RPP38",NA,NA,NA,NA,"CIRBP-AS1","AC002553.2",NA
NA,"GPM6A",NA,NA,NA,NA,"CKS1B","PLEKHA8",NA
NA,"C4orf19",NA,NA,NA,NA,"ASAP2","RNFT2",NA
NA,"IFIH1",NA,NA,NA,NA,"KLK11","SELL",NA
NA,"RPS18",NA,NA,NA,NA,"PTRH2","PLCE1-AS1",NA
NA,"ZFAND5",NA,NA,NA,NA,"LDLRAD3","TOGARAM1",NA
NA,"ZGPAT",NA,NA,NA,NA,"PDCD2L","LMO2",NA
NA,"ZNF577",NA,NA,NA,NA,"CLASP2","AC090164.3",NA
NA,"RNF123",NA,NA,NA,NA,"AC011317.1","RFLNA",NA
NA,"SMTN",NA,NA,NA,NA,"CHD7","MIR762HG",NA
NA,"EPC2",NA,NA,NA,NA,"PRR15L","TTBK1",NA
NA,"ZNF329",NA,NA,NA,NA,"ZNF789","LINC02798",NA
NA,"CBLC",NA,NA,NA,NA,"SAC3D1","TBCEL",NA
NA,"F5",NA,NA,NA,NA,"COQ10A","MAATS1",NA
NA,"HDLBP",NA,NA,NA,NA,"TMEM164","NPIPB7",NA
NA,"RCL1",NA,NA,NA,NA,"SNX10","ANXA8",NA
NA,"FMO4",NA,NA,NA,NA,"ARHGAP11A","RGCC",NA
NA,"NCAPH2",NA,NA,NA,NA,"UBLCP1","SRGN",NA
NA,"CXCL2",NA,NA,NA,NA,"ERC1","NPR1",NA
NA,"LAMB2",NA,NA,NA,NA,"NEK6","CCAR2",NA
NA,"CCL3",NA,NA,NA,NA,"EPS8L3","AP000704.1",NA
NA,"LYSMD1",NA,NA,NA,NA,"IYD","DENND2A",NA
NA,"WDYHV1",NA,NA,NA,NA,"NUDT21","CR2",NA
NA,"HM13",NA,NA,NA,NA,"NUP50","Z73420.1",NA
NA,"MOSPD2",NA,NA,NA,NA,"HAVCR2","SOX18",NA
NA,"HSPB1",NA,NA,NA,NA,"MEX3C","LRCH3",NA
NA,"FAN1",NA,NA,NA,NA,"AC003102.1","NCAM1",NA
NA,"INSIG1",NA,NA,NA,NA,"PLAA","ZNF514",NA
NA,"TUBB2B",NA,NA,NA,NA,"TES","GPM6A",NA
NA,"STRN4",NA,NA,NA,NA,"SLC38A1","ZNF83",NA
NA,"SLC16A13",NA,NA,NA,NA,"BEX4","OSBPL8",NA
NA,"NR1I3",NA,NA,NA,NA,"MPP6","ZC3H10",NA
NA,"NFIC",NA,NA,NA,NA,"EFNA5","MSH2",NA
NA,"ITGA10",NA,NA,NA,NA,"SIN3A","PLP2",NA
NA,"FBXO4",NA,NA,NA,NA,"CDCA3","ZP3",NA
NA,"CDC25C",NA,NA,NA,NA,"ZDHHC12","CCDC144NL-AS1",NA
NA,"AC084018.2",NA,NA,NA,NA,"CCDC51","GPR68",NA
NA,"MGLL",NA,NA,NA,NA,"LRP5","RTN2",NA
NA,"APOL1",NA,NA,NA,NA,"MRPL16","RFTN2",NA
NA,"SLC25A25",NA,NA,NA,NA,"ADRA2C","FABP5",NA
NA,"AC005089.1",NA,NA,NA,NA,"CCNE2","AC010809.1",NA
NA,"TSPAN33",NA,NA,NA,NA,"POFUT1","HPS6",NA
NA,"LIMD2",NA,NA,NA,NA,"INPP4A","SNX19",NA
NA,"RRNAD1",NA,NA,NA,NA,"ZNF764","S100B",NA
NA,"SPON2",NA,NA,NA,NA,"TMEM184A","SUPT3H",NA
NA,"GSK3B",NA,NA,NA,NA,"TIGD2","MCPH1",NA
NA,"KLHL2",NA,NA,NA,NA,"TRIM37","APOBEC3C",NA
NA,"ZSCAN20",NA,NA,NA,NA,"FRZB","COL14A1",NA
NA,"PDE4B",NA,NA,NA,NA,"LINC02693","HAGHL",NA
NA,"GPR162",NA,NA,NA,NA,"TTLL4","RAMP2",NA
