"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25"
"WASHC2A","ANKRD24","CD27",NA,"AKR1B1","TRIM37","VPS36","MICAL3","CABYR","TCHP","ZC2HC1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E2F1","RBM5","ZNF181"
"TATDN2","SEMA6B","ATN1",NA,"AC083862.2","APPBP2","CCL3","HIRA","AC023043.1","TMEM116","FLVCR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RALY-AS1","PPHLN1","LGI4"
"CCDC28B","HSD11B1L","PTPN6",NA,"WDR91","MAP3K3","GNA11","RTN4R","VPS4B","TRAFD1","ZC3H14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDEM2","FBXO28","SYNE4"
"RPRD2","TNFSF9","AC018653.3",NA,"NUP205","AMZ2","SMARCB1","PPM1F","ZNF236","OAS3","CLMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTPAL","RIT1","TBCB"
"BAZ2A","PNPLA6","MANSC1",NA,"TBXAS1","WIPI1","EOGT","SMARCB1","ABCA7","RBM19","GSKIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCIF1","DLAT","ZNF565"
"SMAD2","QTRT1","DERA",NA,"SLC37A3","RAB37","GRSF1","SLC2A11","C19orf25","MED13L","DIO3OS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TP53RK","TMEM104","AC093227.1"
"TNRC6A","NFIX","C2CD5",NA,"AGK","METTL23","SPRY1","CBY1","TJP3","RFC5","PPP1R13B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL031055.1","PRKCI","DYRK1B"
"LMBR1L","CC2D1A","PPFIBP1",NA,"CASP2","AC111182.2","SUPV3L1","SBF1","SHD","MLXIP","BTBD6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PTK6","RAB5A","B9D2"
"AL356056.2","SLC35E1","CAPRIN2",NA,"ARHGEF35","TMC8","KANSL1","MSL3","PRR22","RSRC2","CRIP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RGS19","MRPL45","ZNF428"
"PLK1","BABAM1","ETFBKMT",NA,"EZH2","BIRC5","FNDC5","TRAPPC2","EVI5L","KNTC1","IGHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSPA13","PLRG1","ZNF224"
"SPATA5L1","PGPEP1","AC087588.2",NA,"ZNF777","AC024361.1","AL355816.2","OFD1","ILF3","ZNF664","AC022613.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CFAP298","MTR","VASP"
"PRKDC","TSHZ3","ZCRB1",NA,"ZNF467","THOC1","PLD6","YY2","CCDC159","DHX37","EIF2AK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SYNJ1","ADM5","EML2"
"U2SURP","ALKBH6","AC008124.1",NA,"ZNF862","ESCO1","GMPPB","CXorf38","JUNB","SLC15A4","CCDC32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MRPS6","CFD","IRF2BP1"
"SELENOW","THAP8","SLC48A1",NA,"RARRES2","ABHD3","LSM5","PRAF2","MAST1","STX2","RPUSD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC37A1","STK19","SLC1A5"
"EMC1","ZNF383","MCRS1",NA,"GIMAP4","ZNF397","PDCD4","GPKOW","NOTCH3","SFSWAP","PLA2G4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSPEAR-AS2","VPS13C","NPAS1"
"ALDH1B1","AC022144.1","ATF1",NA,"NOS3","MALT1","AL136038.5","MAGIX","GTPBP3","DDX51","VPS39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MMP11","NT5C2","AC026803.3"
"CBWD1","FBXO27","ZNF740",NA,"PAXIP1","PIGN","GOLGA2","USP27X","COLGALT1","PGAM5","CAPN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADORA2A-AS1","TTLL12","PLEKHA4"
"HDGFL2","GMFG","AAAS",NA,"PAXIP1-AS1","SERPINB8","ANKRD37","MTRNR2L10","MPV17L2","ZNF268","CDAN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HSCB","LINC01344","SLC6A16"
"MAP1S","PAF1","ITGA5",NA,"AC144652.1","LINC01909","AP006621.3","ARHGEF9","IQCN","PSPC1","TMEM62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CASTOR1","ZNF106","CNOT3"
"POLR2J","EID2","AC009779.2",NA,"SHH","ATP9B","COX15","ZMYM3","KLHL26","MIPEP","CTDSPL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMTN","RND3","LENG1"
"CARS2","PRX","DNAJC14",NA,"AC021218.1","SHC2","CDC16","ABCB7","ARMC6","LHFPL6","PATL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PISD","OPA1","NAT14"
"ARID1B","CCDC61","PYM1",NA,"WDR60","YJU2","PNP","GLA","BORCS8","AKAP11","GABPB1-IT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEPDC5","RNF145","AC005261.1"
"SMARCD2","CYTH2","ZC3H10",NA,"ERICH1","SHD","ZMAT5","ARMCX3","NUDT19","COG3","RORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APOL4","ENC1","TRAPPC2B"
"SF3A1","RCN3","B4GALNT1",NA,"LONRF1","HDGFL2","PTPN4","ZMAT1","ZNF302","NUDT15","CSNK1G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Z73420.1","MAB21L4","AC010642.2"
"C17orf58","MYADM","USP15",NA,"DLC1","EVI5L","PPP1R35","RIPPLY1","FXYD5","DHRS12","PCLAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOL12","AL078612.2","C20orf96"
"BCL9L","TMC4","XPOT",NA,"NAT2","MYO1F","ABT1","NXT2","ZNF567","KCTD12","PLEKHO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBX7","RILP","FASTKD5"
"PLAA","UBE2S","CPM",NA,"DMTN","KRI1","GTF3C6","CXorf56","ZNF420","AL158064.1","PDCD7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TNRC6B","C1orf198","RASSF2"
"SLC25A38","ZNF749","YEATS4",NA,"TNFRSF10D","HOOK2","FAM204A","TMLHE","PAK4","TMTC4","DIS3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A17","RAP1B","NDUFAF5"
"KCTD6","ZNF587B","THAP2",NA,"AC100861.1","FARSA","SOCS5","MT-ND6","MAP3K10","FGF14-AS2","GLCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDPF1","TRADD","PDRG1"
"AC009686.2","ZNF274","TMEM19",NA,"LOXL2","TPM4","SART3","TMEM50A","EGLN2","BIVM","ULK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SBF1","EIF4A3","FITM2"
"PDZD11","ZBTB45","OSBPL8",NA,"ENTPD4","KLF2","CCDC198","PIGV","ZNF428","EFNB2","SCAMP5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RABL2B","SMU1","NCOA5"
"G6PD","CSNK2A1","GALNT4",NA,"NKX3-1","MYO9B","SEC22A","YIPF1","ZNF235","RAB20","SNUPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MSL3","RPL7L1","PREX1"
"AP002387.2","AL035461.2","ELK3",NA,"DPYSL2","USE1","YTHDF3","RAB3GAP1","CLASRP","TEP1","PEAK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCML1","PIGM","ZNFX1"
"ITCH","TASP1","NT5DC3",NA,"AC090150.1","IQCN","EFR3A","COPS8","ERCC1","ARHGEF40","TMED3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RP2","NAGPA","OSBPL2"
"ABCG2","RALGAPA2","APPL2",NA,"TRIM35","ELL","PHF20L1","RMND5B","AC074212.1","RBM23","BCL2A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TBC1D25","REPS2","GMEB2"
"BCL2L13","ZHX3","ACACB",NA,"CLU","TMEM147-AS1","NSRP1","COG5","BBC3","ZFHX2","ZSCAN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMC1A","G6PC","DNAJC5"
"MAX","FITM2","GPN3",NA,"ZNF395","ZNF566","PSMA3-AS1","INTS10","KPTN","SDR39U1","DET1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SPIN4","MAFG","TFF3"
"NSMF","ADA","PPTC7",NA,"EXTL3","FAM98C","AAR2","FAM49B","RRAS","STXBP6","IQGAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STARD8","ABL1","TMPRSS3"
"RHBDD1","PABPC1L","ATXN2",NA,"INTS9","MAP4K1","NECAP1","HDHD3","PRMT1","COCH","FES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL2RG","SRM","RRP1B"
"PGLS","ZNF335","HECTD4",NA,"TTI2","PAK4","VCPIP1","RNLS","VSIG10L","EAPP","HDDC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIN4","HSD17B8","CFAP410"
"TIA1","SLC9A8","AC026765.3",NA,"BRF2","EID2","ZNF84","PIDD1","ZNF766","BAZ1A","UNC45A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC16A2","PRKCZ","LZTR1"
"SOCS4","PTPN1","TRIAP1",NA,"FGFR1","SHKBP1","PNO1","ARCN1","ZNF480","BRMS1L","AC012409.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CSTF2","ZNF219","MMP11"
"ANKS6","PFDN4","BCL7A",NA,"FAM110B","DEDD2","PRMT1","DDIT3","ZNF548","SOS2","CAPN15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLA","STRBP","TTC28-AS1"
"LARGE2","LINC00659","C12orf65",NA,"AC009812.4","CBLC","FOLH1","TTC6","ZNF274","DMAC2L","PKD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A43","AC008267.5","SELENOM"
"LINC00685","SLC17A9","SNRNP35",NA,"SNX16","RELB","HEATR5B","TEPSIN","SOX12","GPR137C","DNASE1L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THOC2","SCML1","LARGE1"
"MS4A6A","EEF1A2","GTF2H3",NA,"RIPK2","DMWD","LINC02716","KRI1","CDC25B","GCH1","CLUAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SASH3","CTBS","ANKRD54"
"CHMP2B","USP25","ZNF605",NA,"OTUD6B","GYS1","ZNF747","SLC6A8","GPCPD1","SYNE2","CREBBP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A14","FAM49B","TAB1"
"EMG1","ADAMTS1","RNF6",NA,"RBM12B","TEAD2","SCAF4","MDM4","ZNF133","HSPA2","LINC01569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RTL8C","LRRC8D","ZBED4"
"CYB5D2","DONSON","USP12",NA,"RAD54B","NOSIP","MDM4","MFF","SEC23B","ZFYVE26","VASN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTM1","ARMC9","MAPK8IP2"
"HOXA3","SLC37A1","KATNAL1",NA,"DEPTOR","FUZ","TAB2","PIGX","CST7","SYNJ2BP","PPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF275","SIDT2","ASB9"
"FABP3","DNMT3L","USPL1",NA,"ZHX2","CLDND2","RBM26","RAD17","ACSS1","DNAL1","IGSF6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CMC4","LRRC58","PDHA1"
"CINP","PRMT2","FRY",NA,"TBC1D31","UBE2S","GFOD2","C6orf226","GGT7","ELMSAN1","DCTN5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC145212.1","DPH2","SH3KBP1"
"CYFIP1","IL17RA","N4BP2L2",NA,"CASC19","ZNF581","SGF29","MAPKAP1","SPAG4","COQ6","AC133552.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC011043.1","ATAD1","DIPK2B"
"CAPN1","YPEL1","PDS5B",NA,"KHDRBS3","ZSCAN22","FUBP1","TRIM22","CNBD2","LTBP2","KIAA0556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EVA1B","GPBP1","LINC01186"
"CXorf56","MORC2","DCLK1",NA,"CHRAC1","SIRPA","IGFBP3","IFFO1","PABPC1L","ACYP1","SULT1A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RGS1","OAS3","AC232271.1"
"IL15","LARGE1","SUPT20H",NA,"DENND3","UBOX5","MFF","MAPKAPK5-AS1","UBE2C","GPATCH2L","ZNF768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC4A1AP","C15orf61","APEX2"
"GARS","CBX6","MRPS31",NA,"JRK","TRMT6","RNF13","ARHGAP17","DDX27","PPP4R3A","AHSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEATR5B","APP","MAGEH1"
"PINK1-AS","MRTFA","RGCC",NA,"ZNF696","MCM8","AL357033.4","ZNF544","PMEPA1","IFI27L1","KIFC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARL5A","DPY19L1","PJA1"
"SREK1","CHADL","VWA8",NA,"ZC3H3","SPTLC3","FN3K","DRAM2","CXADR","IFI27L2","USB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP6V1A","LANCL1","IL2RG"
"ZFYVE21","TEF","DNAJC15",NA,"TONSL","CNBD2","METTL1","MIR29B2CHG","RWDD2B","SLC25A29","RIPOR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RNF14","CHUK","MED12"
"EMD","POLDIP3","GPALPP1",NA,"KIFC2","ZHX3","C1QTNF3","AC096992.2","URB1","TNFAIP2","THAP11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZBED6CL","TRMT1L","Z83843.1"
"MLH3","CDPF1","SETDB2",NA,"LRRC14","ZNFX1","LAS1L","USP32","ESS2","ZBTB42","UTP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BNIP3L","ELOA","ABCB7"
"PSME3","CERK","SPRYD7",NA,"ZNF251","SLC9A8","EEF1AKMT2","LINC00963","IGLC1","ATP10A","COG8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDH16","PAK1","CHM"
"TIMM50","TUBGCP6","THSD1",NA,"DOCK8","NPEPL1","AC007066.2","IMPA2","HPS4","AC022613.1","PDPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEK8","PLGRKT","LAGE3"
"ELOF1","TBL1X","VPS36",NA,"PUM3","PRELID3B","ASCC3","MDM1","RNF185","SCG5","DDX19B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBD2","HACL1","RTKN"
"MAP2K4","CLCN4","CKAP2",NA,"RANBP6","LAMA5-AS1","TENT4A","MAP3K3","EIF4ENIF1","KATNBL1","AC009159.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC012313.1","ARL4D","PARD3B"
"SH3BP5-AS1","TCEANC","PCCA-DT",NA,"IL33","AL357033.4","SGK1","SLC41A2","MRTFA","GOLGA8B","DNAAF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IFFO2","PXMP2","RBM6"
"CD34","AP1S2","GGACT",NA,"AL354707.1","AL117379.1","SMIM27","FBXL3","AL035681.1","AQR","ZDHHC7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VCAM1","GOSR1","NCBP2"
"ELAC2","CTPS2","TEX30",NA,"HAUS6","SOX18","ANKRD13A","LACTB","TOB2","SRP14-AS1","SLC43A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RABEPK","FAAP20","ELMOD2"
"DLAT","SCML2","ERCC5",NA,"CDKN2B","APP","MCM7","IFT88","PHF5A","ZFYVE19","ASPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENPT","AARSD1","BRD9"
"AC048341.2","PHKA2","MYO16",NA,"C9orf72","N6AMT1","FAM160B1","ASNSD1","TCF20","CAPN3","ATP2A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAP2K4","SH2D4A","DAGLB"
"PHF10","PDK3","UPF3A",NA,"BAG1","MIS18A","C8orf76","NME4","TRMU","HAUS2","ARRB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCYT1A","NOC3L","DNAJC1"
"HS1BP3-IT1","CDK16","OSGEP",NA,"AL162231.1","DONSON","SLC1A4","CDC16","PANX2","CATSPER2","SLC25A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MRPS18C","IER2","FN3K"
"MOK","RRAGB","RBM23",NA,"CD72","CLDN14","C14orf119","THADA","SELENOO","EIF3J-DT","RPAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLR1C","TOX4","ALDH16A1"
"ARL2BP","UBQLN2","AJUBA",NA,"ARHGEF39","SH3BGR","DDX28","CHFR","HDAC10","PATL2","ACAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"XPO6","PRPF39","MAPRE1"
"SMIM27","LINC01278","HOMEZ",NA,"TPM2","SLC19A1","RFC5","ZNF84","NCAPH2","DTWD1","ZBTB4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VPS26C","RAB27A","PRELID3B"
"FANCG","LAS1L","NGDN",NA,"RGP1","PCNT","PELI1","STAMBP","CHKB-DT","ARPP19","FXR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A6","AL109615.4","SCNN1D"
"TNPO1","HDAC8","ZFHX2-AS1",NA,"AL133410.1","GP1BB","DAAM1","ZBED6CL","KRBOX4","ONECUT1","WRAP53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLCN5","AGXT2","LMO4"
"MAPKAP1","KLHL13","HEATR5A",NA,"NPR2","RTL10","UGCG","ERBIN","CCDC120","AC018926.2","CNTROB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBPZOS","RGS12","COA6-AS1"
"GAS8","UPF3B","DNAAF2",NA,"TMEM8B","TANGO2","LAMTOR3","MAP1LC3B","TSPYL2","TLN2","STX8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUP210","GASK1B","ANKRD17"
"AC048382.6","RBMX2","MAP4K5",NA,"ZBTB5","TRMT2A","SLC43A2","ZNF335","ZXDB","USP3","AC015908.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCMTD1","NUBPL","TM2D2"
"PXMP4","ENOX2","SAV1",NA,"FBXO10","HIC2","MOB3C","ZNF384","TAF9B","SNX22","FLCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLPB","SPNS1","USB1"
"ATG101","IDS","ATG14",NA,"SLC25A51","IGLC2","EDNRB","CENPT","TCEAL4","TRIP4","NT5M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KMT5A","ARHGEF19","CUL4B"
"TMEM74","CD99L2","PSMA3-AS1",NA,"LERFS","SRRD","SPARC","MAP3K10","NKRF","MTFMT","FBXW10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SELENON","RAI14","SLC6A8"
"THAP1","HCFC1","L3HYPDH",NA,"ALDH1A1","CHEK2","C10orf25","PNPLA4","SEPTIN6","SLC24A1","EPN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEC63","ARHGAP17","ENPP4"
"NTMT1","DNASE1L1","SLC38A6",NA,"ANXA1","EMID1","FBXO9","AC233296.1","F9","DENND4A","DHRS7B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R3HDM4","NUS1","TSR3"
"CD2","G6PD","PLEKHG3",NA,"CARNMT1","RNF185","PPP2R2D","MACO1","CD99L2","MAP2K1","UNC119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ETHE1","MRPL35","AMZ2"
"MTRF1L","F8A1","AL359232.1",NA,"GCNT1","LIMK2","HDGFL2","BROX","TMEM187","ZWILCH","SPAG5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OCRL","PDP2","TBC1D23"
"NCOR2","VAMP7","GPHN",NA,"GNA14","APOBEC3F","RUSC1","CRYZL1","MECP2","FAM219B","TAOK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UBE4B","DIAPH2","ZNF580"
"AC007406.3","AC011043.1","ZC3H14",NA,"AGTPBP1","TAB1","DDX46","SH3TC1","BRCC3","C15orf39","AC005562.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KALRN","CTSK","VMA21"
"ARGLU1","NET1","RIN3",NA,"NOL8","XPNPEP3","UTP14A","SPTY2D1","TMLHE","PTPN9","CRLF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C8orf76","HNRNPUL1","TRA2B"
"RNF111","SVIL","CCNK",NA,"FANCC","PRR5","FEM1B","HES1","TAL1","SNUPN","TEFM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLK","STAMBP","TFCP2"
"ARMCX5-GPRASP2","SLK","CYP46A1",NA,"TBC1D2","GRAMD4","CHMP4C","C1orf50","DAP3","RAMAC","RAB11FIP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC37A4","INSR","NAGPA"
"WDR43","LMNTD2","SLC25A29",NA,"INVS","CHKB-DT","GEMIN4","HSD17B7","SFT2D2","TM6SF1","CCL18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C15orf61","CARM1","CHD6"
"DFFB","MAGOHB","DIO3OS",NA,"SMC2","PRPS2","KIFC3","USP16","KLHL12","ADAMTSL3","CCL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PWWP3A","TTC17","ZNF691"
"CTNNBIP1","LINC00426","IGHA1",NA,"INIP","ZRSR2","NUDT6","ENPEP","DARS-AS1","ISG20","CCL4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TFRC","IFIT5","SFT2D3"
"HSD17B14","ATG2B","IGHM",NA,"SNX30","AP1S2","CRIP2","SAMM50","ATP2B2","PEX11A","EPOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H2AFZ","KLHL2","TBC1D19"
"FAAH","DNAJC8","RPAP1",NA,"AMBP","TXLNG","PDCD2","MRPL49","AZI2","CRTC3","PLXDC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTC33","TPP2","FNIP2"
"HDAC6","EBAG9","SPG11",NA,"KIF12","USP11","PCCA","SOWAHA","SMARCC1","VPS33B","WNK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIMK1","SMIM20","COMMD10"
"HOOK3","SCN8A","TRPM7",NA,"WHRN","CCDC22","RPAP2","COASY","QARS","WDR90","DHX8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM67","WDR12","RTCA"
"CA2","ACVRL1","AC016044.1",NA,"TNFSF15","FAM120C","POLG","UCHL3","NDUFB5","TMEM204","DUSP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VAMP7","SMS","LINC01018"
"RDH14","GIT2","AC018926.2",NA,"TRIM32","ZMYM3","PIM1","SLX1A","C5orf51","ERVK13-1","G6PC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HLA-DRB5","AC008610.1","NSL1"
"DOCK10","DUSP14","AC103740.2",NA,"PHF19","PBDC1","OLFM2","HBB","VNN1","AC004233.2","GPATCH8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAS","ARMC7","OGFOD2"
"SLC25A39","TBCD","USP3-AS1",NA,"NIBAN2","TCEAL1","TBC1D14","GM2A","PPP1R3B","ZNF205","CCDC43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LCP1","RPE","EIF4EBP1"
"UBE3A","N6AMT1","FBXL22",NA,"STXBP1","RIPPLY1","N4BP2L1","POLRMT","TACC2","CLUAP1","MAP3K14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIPA1L1","XYLT2","METAP2"
"AGER","AGTRAP","PLEKHO2",NA,"ODF2","PSMD10","UBE2D4","RBM6","TOLLIP-AS1","ADCY9","TBX21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRIP6","TCF12","IFT88"
"ULK1","STRADB","PDCD7",NA,"AIF1L","NXT2","UQCC3","ZNF574","SPRYD3","CORO7","CBX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ULK2","DUSP16","WDR27"
"ARAP1","KLHL20","AAGAB",NA,"POMT1","SERTM2","SELENOI","ARAP2","MZT1","MGRN1","SNX11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METTL5","EIF2AK1","TCFL5"
"LRRC75A","RND3","IQCH-AS1",NA,"GTF3C4","RNF113A","EPOP","SPTLC3","RBBP6","MIR193BHG","ABI3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MRPL35","SNRNP25","DMXL1"
"GOSR1","MTRES1","GLCE",NA,"SPACA9","STAG2","SFT2D2","LSM14A","SLX1A","IGSF6","ZNF652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMARCB1","GLI4","RFC5"
"DCAKD","BRAT1","UACA",NA,"RALGDS","UTP14A","RPAP3","ARHGEF18","SETD6","AC133552.5","CHAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UCK2","RAB40B","SCAF4"
"SLC39A8","PFAS","NEO1",NA,"SLC2A6","MIR503HG","CLPB","NIF3L1","PLCG2","AC145285.2","C17orf67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLI1","DCTD","SRSF4"
"TICAM1","SYAP1","PPCDC",NA,"BRD3","MOSPD1","CDK9","SP100","SP2","ATXN2L","COIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARFGEF2","GNAQ","MGME1"
"PCGF5","JMJD4","PTPN9",NA,"NACC2","G6PD","PITPNM1","RBL2","LRRC59","LAT","CUEDC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZMIZ2","RDH12","AC115619.1"
"CLIP1","AKT3","SCAPER",NA,"DNLZ","INTS7","SPG11","ASCC2","TRIM47","AC009133.1","SEPTIN4-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARHGAP21","ZNF622","TLN2"
"PHLDB3","UPP1","IDH3A",NA,"INPP5E","NBEAL1","LATS1","TRIM24","SLC39A3","ALDOA","RPS6KB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUP37","PIK3R4","MAP11"
