"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25"
"TMEM131","ATRAID","SLC45A3","RELL1","RNPC3","LINC02245","MBD5","MARS2","RASGRP3","SOAT1","MTR","PRRT3","PIGA","LINC01089","MSH2","CYTH4",NA,"LMTK2","LINC02840","AL118506.1","AL121899.1","CENPC","ZNF2","AC018816.1","ASXL2"
"GYPC","GCKR","PFKFB2","NFXL1","PRMT6","ETAA1","NMI","CASP8","PKDCC","XPR1","KMO","HIST1H2BJ","SLC7A6OS","DAPL1","NES","FAM118A",NA,"LINC02840","SOX5","RPS6KC1","LINC00649","HCG18","MTLN","MTMR14","MEMO1"
"GTDC1","PIGF","LINC02608","UBA6","CSF1","MCEE","TTC21B","NOP58","FBXO11","ZNF648","ZNF692","GREB1L","ARHGEF2","SPEGNB","RBM12B","FBLN1",NA,"MREG","MAP3K5",NA,"PITPNC1","ATXN7","BIN1","IRAK2","TTC27"
"TTC21B","SPRED2","COA6-AS1","ARHGAP24","CD53","ELMOD3","METTL8","KLF7","PEX13","ZBTB41","FAM110C","CEP57L1","SLC37A2","GPATCH11","PSTK","TLR8",NA,"ZNF764","DHX57",NA,"ZNF227","PRR3","GPR39","CHCHD4","CYP1B1"
"PPIG","AC007389.5","GNG4","HERC3","CTTNBP2NL","KDM3A","SLC25A12","AC098820.3","SERTAD2","AC096677.1","RSAD2","VASH1","GBP5","HOMER3","LINC00847","MOSPD2",NA,"ITM2A","HAPLN3",NA,"PHTF2","FBXO46","CYTIP","CAPN7","MTA3"
"GPR155","WDR92","ODC1","INTS12","LRIG2","PDCL3","METAP1D","TTLL4","WDR92","NAV1","NOL10","CEP131","CD8B","MUS81","ZNF337-AS1","PIM2",NA,"DHX35","AGK",NA,"RBAK","LINC00649","AC007405.3","EAF1","THADA"
"OSBPL6","APLF","SMC6","BBS7","MAGI3","ZC3H8","TTC30A","WDFY1","EXOC6B","PCAT6","VSNL1","HK1","AL020996.1","ANKRD13C","ZNF37A","C6orf47",NA,"ZNF609","INPP5E",NA,"ARVCF","NDC80","AC074286.1","ANKRD28","TTC7A"
"PLEKHA3","AC010913.1","AC012065.3","LRAT","OLFML3","PTPN4","FAM126B","AC009407.1","WDR54","REN","CGREF1","SYCE3","LINC01503","AC016876.1","ENTPD8","SNAPC2",NA,"PPP2R5B","COTL1",NA,"TOX3","AC004918.1","ASNSD1","TMEM42","FANCL"
"MFSD6","TPRKB","NCOA1","HMGB2","IGSF3","SPOPL","PARD3B","DTYMK","INO80B","TMCC2","FOSL2","NPAT","AL135999.1","FIGNL2","CPNE8","ICE1",NA,"CDCA7L","TRMT5",NA,"LIN52","GPR157","PMS1","CCDC51","REL"
"TRAK2","LBX2-AS1","PTRHD1","LINC01093","TBX15","FASTKD1","AP1S3","ITPR1","HTRA2","NUAK2","GEMIN6","AC105137.2","ZSCAN25","ATXN7","LRTOMT","FLT4",NA,"GPATCH11","SRSF8",NA,"ZNF10","POC1B","NEMP2","P4HTM","PUS10"
"CREB1","REG1A","SLC35F6","LRP2BP","AL592494.2","LINC01124","GIGYF2","ATG7","C2orf68","EIF2D","MTA3","CD27-AS1","FUT6","ZNF227","MRI1","QRSL1",NA,"SPIN2B","S100A4",NA,"NRM","TIGD5","HECW2","DALRD3","AC016727.1"
"KANSL1L","USP39","AGBL5-AS1","DNAH5","AC245407.2","DCAF17","NR1D2","PPARG","BCL2L11","CD46","TTC7A","STK11IP","AP005329.3","SLC38A1","GPR39","AC098487.1",NA,"LINC01558","L2HGDH",NA,"AL355353.1","SETBP1","GTF3C3","MAPKAPK3","FAM161A"
