"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25","Pattern_26","Pattern_27","Pattern_28"
"RPLP2","TRIM46","AC137936.1","TBC1D8-AS1","MYO3B","LINC00607","TIMP4","NPHP3-AS1","DUSP2","DRD3","AC019129.2","LINC01963","SHOX2","PABPC4L","SLC7A14-AS1","AC008105.3","RBM20","CATSPER3","FRMD6-AS1","C11orf97","EFEMP1","AC102953.2","AC010168.2","AC005550.2","AC080013.4","AC007823.1","LINC02018","AC140725.1"
"HBB","AC234582.1","KBTBD8","LINC01127","FSIP2","TRPM8","ZCWPW2","ESYT3","AC021188.1","ZBTB20-AS1","PRKCE","PLCD4","AC080013.3","OSGEPL1-AS1","AC010904.2","FAM155A","AC007952.6","AL162632.3","BX323046.2","AC009879.4","CNRIP1","AC004540.2","HOXC4","TEX11","MECOM","AC087273.2","LNP1","AL121974.1"
"RPL27A","PAQR6","AC114401.1","IL18R1","AC010983.1","AC112721.1","DCLK3","SPSB4","ITPRIPL1","EFCC1","EPCAM-DT","AC053503.5","C3orf80","LINC02605","AC138150.1","AC079907.1","AL391497.1","ACBD3-AS1","AC005586.2","AL031651.2","TRABD2A","BMPER","LINC02389","FCRL6","LRRC31","AL022322.1","C3orf85","C9orf24"
"MTRNR2L8","AL365181.2","AC097634.1","AC079753.2","AC068544.2","PRRT3","C3orf35","LINC01214","AC013270.1","EPHB1","AC012368.1","SLC16A14","LRRC31","AC025171.1","AC004477.3","SNTG2-AS1","PCDHB6","AC007390.2","AP001267.3","BDKRB1","CD8B","INHBA-AS1","AC012464.2","NUDT11","MCF2L2","AL358472.3","AC108673.3","C2CD4C"
"SERPING1","CRABP2","LINC00879","PAX8-AS1","SATB2-AS1","AC083855.2","VILL","PTX3","CHST10","AC108751.4","AC022201.2","LRRN1","CAMK2N2","LINC02744","AC006249.1","ZCCHC18","PRDM7","ST6GALNAC5","AC022182.1","AC026462.5","AC133644.2","NPC1L1","AC007546.1","DNAJB13","AC112907.3","PPP1R36","AC072039.2","AC124798.1"
"FTH1","SPTA1","POLQ","AC010976.2","AC012668.3","NEK10","DLEC1","SPTSSB","LINC01918","MECOM","AC007878.1","BHLHE40-AS1","UTS2B","AC007620.3","AC110015.1","AC083837.1","AC099778.1","AC023449.2","AC022966.2","AC023762.1","MAL","IGFBP3","PLA2G1B","PCDHA3","AC072022.2","HTRA4","ERICH6-AS1","PGM5P3-AS1"
"NEAT1","AL590560.3","AC026304.1","AC012306.3","AC093382.1","ACVR2B-AS1","TTC21A","AC124893.1","ECRG4","LINC02068","AC005041.5","LINC00852","AC046143.1","LINC01675","GPA33","FAM9B","AL139260.1","AL589745.1","PRCD","LURAP1","ANKRD36C","CYP3A5","LINC00598","LINC02763","STX18-AS1","AL442125.1","P2RY14","LINC01285"
"MALAT1","AL139011.1","LINC00880","AC092620.1","AC098820.3","ZNF620","CX3CR1","AC078795.3","FAM138B","MAP6D1","CCDC142","SLC4A7","NRROS","AC132938.2","GRIN2D","AL049840.4","AP002490.1","ZNF460-AS1","ADAMTSL5","LINC02848","SULT1C4","CYP3A43","AL157813.2","AC004593.3","TLR6","LINC02487","LEKR1","FSCN3"
"APOA1","USP21","AC080013.3","UPP2","TIGD1","CCR3","ZNF852","AC026355.3","AC104653.1","AC107464.3","LRRTM1","AC099329.2","AC024560.3","SLC16A13","Z95331.1","AL513534.2","PPP1R12A-AS1","LINC01361","Z73429.1","AL136295.17","IL1B","EPO","AL157813.1","AL356776.2","AC069307.1","CCDC38","AC026355.3","GRPR"
"AC006064.5","AL359962.2","LINC02015","CCDC148","GPR35","PFKFB4","ZNF660","LPP-AS1","LINC02572","AC093898.1","TRABD2A","AC104187.1","AC139887.1","AC016831.7","AL731569.1","SMC1B","MCCD1","FAM122C","CACNA2D2","GTF2H2C","SCTR","MUC3A","SERPINE3","AL158063.1","CSN2","AP001065.3","EVC2","ZNF165"
"RPL41","ADCY10","LINC01014","AC009961.1","SNED1","CACNA1D","AMIGO3","AC069213.1","ARHGAP15","KIT","AC009309.1","CDCP1","CCDC96","AC068587.4","AC025162.2","AC098479.1","AC012409.1","LYPLAL1-DT","ZNF665","AC027702.1","GLI2","AKR1D1","AL132639.2","BEAN1","AF213884.3","AC007497.1","AC005674.2","AC007952.3"
"LYZ","TBX19","AC092953.2","ERICH2","AC131097.1","ARL13B","TRAIP","NAT8L","CYTIP","SMR3B","AC016738.1","CCR5","PACRGL","SFTPD-AS1","PRDM5","Z92544.1","AL035446.2","SAMD3","AMIGO3","LINC01309","AC017033.1","TRPV6","AL122125.1","AL118558.3","SPOCK3","LINC01684","LINC01258","WARS2-AS1"
"PEBP1","AL021026.1","AC007920.2","PPP1R1C","SRGAP3-AS4","AC021660.4","GNAT1","MSX1","GALNT3","HPSE","IL1RL2","AC099778.1","AC093791.1","AC133919.2","AC139100.2","CDH10","AL354950.1","AC005520.5","TMIGD3","AP000879.1","CCDC74A","TCAF2","AC004846.2","ATP1B2","LINC02363","AC100803.4","AC024243.1","AL353708.3"
"RPLP0","C1orf105","AC016773.1","AC006460.2","CPNE9","AC069222.1","LSMEM2","STK32B","SCN1A-AS1","SNCA","AC108868.2","PFKFB4","TLR1","AC007179.2","PPM1H","SRRM2-AS1","CCL3L1","AC244517.1","AC007381.1","LINC00487","LYPD6B","EBF2","CKMT1A","AC006064.4","LINC02362","AC107294.2","AC068620.2","CIRBP-AS1"
"TPT1","FASLG","AC105345.1","RFTN2","AC034198.2","LINC00882","PPM1M","HMX1","AC104088.1","UNC5C","AC017002.3","CCDC36","UGDH-AS1","AL353150.1","LINC01606","TG","AL118558.4","AC008764.6","RETN","RABGAP1L-DT","TNFAIP6","ADRA1A","HEXA-AS1","FZD4-DT","C5orf49","AC010333.3","AC009570.1","U2AF1"
"AL355075.4","RASAL2-AS1","AC024230.1","CPO","KCNH8","AC026329.1","ERC2","LINC01182","TTN","AC096711.1","AL078621.4","PHF7","AC021148.2","GLP1R","SLC25A21","LINC01374","FGF12","ADD2","AL049539.1","SH2D5","PLA2R1","IDO2","RGMA","AC022007.1","AC091965.4","ZNF132","ADAMTS3","DHH"
"ARHGAP5","LINC01344","TBC1D19","AC083900.1","OSBPL10","EAF2","AC135507.1","AC097515.1","AC097717.1","PCDH18","CFAP221","WNT5A-AS1","DCAF4L1","AC107953.2","C8orf88","AC008622.2","PAGE2B","AC022819.1","NPHP3-AS1","CTSE","ITGB6","COLEC10","AC009065.8","AC092017.4","DNAH5","AP006284.1","EREG","AL590705.1"
"RPS29","RGSL1","TEC","MREG","TMPPE","SLC12A8","EBLN2","AC239584.1","ICOS","AC131956.2","AC073257.2","NXPE3","CXCL3","HMGCLL1","AC024361.1","AC090948.2","VIP","AC137936.1","CASC9","AL135999.3","FAP","LYPD2","LINC01290","EXOC3-AS1","PDZD2","LCA5L","AC079160.1","AC016394.2"
"AL627171.2","SMG7-AS1","RASL11B","AC021016.3","AC126118.1","PPP2R3A","PDZRN3","C4orf36","LINC01857","AC112236.2","AC068282.2","TRAT1","AC025244.1","KLHL11","P2RX6","ZNF474","AL355490.1","AC090948.4","AL022068.1","KCTD8","SCN7A","DMRTA1","AC136443.3","Z82206.1","AC027329.1","SERINC4","SNCA","LRRC36"
"SERPINA1","INAVA","AC096564.2","AC097662.1","AC092053.4","AC117382.2","CRYBG3","AC112250.2","ERBB4","RNF175","GPR39","ALDH1L1-AS2","PLAC8","SLC5A12","FNDC9","AL359715.2","AC114812.2","HOXC-AS1","EXTL1","FGF17","LINC01934","ENHO","AC009133.4","Z95331.1","AC025175.1","LINC02422","CXXC4","CSRNP3"
"SERF2","ASCL5","AC093752.3","AC106876.1","SNRK-AS1","SOX14","IMPG2","AC097460.1","WNT10A","LINC02269","AC092652.1","TMCC1-AS1","AC093866.1","SLC9A2","SLC29A2","AC114947.2","LINC01140","AL049828.1","KLK7","AL445645.1","PDE1A","ANKRD18A","AC129507.1","AC002550.2","AC008972.1","EREG","ZGRF1","MKRN3"
"B2M","IGFN1","AC015631.1","MROH2A","CLEC3B","TM4SF1-AS1","EAF2","AC004069.1","DES","VEGFC","AC009951.6","AC007159.1","MMRN1","LINC02208","CYP2S1","AL133355.1","SYNGAP1-AS1","LINC02694","AC005224.3","AL844892.2","COL3A1","FAM27C","AC135726.1","AL160272.1","PDE8B","AC005523.1","RNF150","AC126773.4"
"AQP9","AC104463.2","NPY5R","AGAP1-IT1","KIF9-AS1","AC092954.1","ACKR4","LEF1-AS1","SP140","AC026740.1","AC009961.4","DZIP1L","TMEM154","TPM1-AS","PAXBP1-AS1","GALNT5","AC004938.2","AL121906.2","RYR3","AC036214.2","RUFY4","SLC28A3","LINC00974","SLC45A1","MIR583HG","IRAK1BP1","LINC02432","AC022296.4"
"RPLP1","REN","AC105285.1","RBM44","SEMA3B-AS1","NAALADL2","AC022296.4","PITX2","AC017104.1","AC012640.4","AC009299.3","TRPC1","FHDC1","AP001066.1","PTX3","LINC01625","ICAM5","SLC16A13","UNC80","AC022306.2","CXCR2","NTRK2","TTC25","HOXA3","AC010275.1","AC064807.4","AC093788.1","SLC16A6"
"HBA2","SERTAD4","SLC45A2","LINC01107","HESX1","AC131235.2","IGSF10","AC093766.1","PDCD1","AC025171.5","AC106900.1","LINC02066","AC099343.2","EREG","CDKL3","PSD","Z97192.3","ANKDD1A","AC005332.1","STK24-AS1","GPBAR1","HEMGN","AC091152.2","ZG16B","GDF9","AL035681.1","CLDN22","AC025754.2"
"HBA1","AL445423.1","AC114947.2","CHL1-AS2","AC012557.2","C3orf70","STRIT1","DCHS2","EFHB","AC008937.3","EVX2","P2RY1","ZDHHC11B","AC007406.3","ABCB9","MEPE","HSPA1L","AC007663.2","AC130343.1","SUCLA2-AS1","FAM124B","LHX2","MAP3K14-AS1","UTS2B","AC104109.2","AL158212.5","TLR3","AC110048.2"
"NPIPB5","SUSD4","AC074132.1","SSUH2","CNTN3","TP63","ACTRT3","TENM3","LINC02084","SNCAIP","AC021851.1","LINC00886","TERT","AC009054.2","AL360007.1","AC110015.1","BMP10","AC012442.1","TSPAN10","AL359220.1","COL4A4","C9orf50","LINC00470","PAQR9-AS1","DND1","AC233263.6","AC091978.1","GHRL"
"EIF3C","DNAH14","SPRY4-AS1","AC026191.1","ABI3BP","PLAAT1","GPR160","AC107214.1","EOMES","PCDHGA11","ANKAR","LRRC34","ADCY2","LINC02109","CMYA5","AC087239.1","EPHA1-AS1","C1QTNF4","AL359397.2","AC098484.4","ARL4C","ADAMTS13","LINC02565","CD1E","PCDHGA1","AC002059.1","AC091946.2","BFSP1"
"AC007614.1","OBSCN-AS1","LINC01844","AC018809.1","CD200R1","AC233280.1","SOX2","F11-AS1","MOBP","LINC02202","AC013468.1","AC078795.2","AC016575.2","IL18RAP","FMO2","ALDH1A2","U91319.1","AC107027.1","AC025465.1","LINC02336","AC018816.1","DBH","C18orf65","PARD6G-AS1","PCDHGB4","CFAP221","NPR3","BX322234.2"
"CES1","OBSCN","NDST1-AS1","ATP2B2","GRAMD1C","ZDHHC19","AC092953.2","AC016575.1","ZNF502","LINC01863","AC068544.2","AC068759.1","AC025449.2","PACSIN1","HIPK1-AS1","BRINP3","CD1C","AC233280.1","AC087672.2","RGPD8","GRM7","FCN2","AC008543.1","RASSF6","AC008676.1","AC034231.1","AC008945.2","KRT20"
"HP","KMO","CCNJL","AC061958.1","CCDC191","TM4SF19-AS1","VWA5B2","AC026741.1","CXCR6","COL23A1","CCDC150","SOX2-OT","MRPS30-DT","ZFHX2","AC008897.3","RGS20","CYP1B1-AS1","AL161729.1","NBEA","AC007613.1","FBLN2","GDF2","AC005759.1","NDRG4","AC011365.1","SLITRK2","AC025171.2","TLCD3B"
"RPL13","AL591848.4","N4BP3","THRB","LINC02614","LINC02600","AC068631.1","LINC02119","TLR9","ZFP2","AC005037.1","AC131235.3","AC022126.1","AC027601.4","AF129408.1",NA,"AL603840.1","C3orf14","AC010273.2","LINC01135","GALNT15","ANK3","ZNF233","AL049840.3","AL590004.3","FAM71E1","AC114947.2","NUP62CL"
"SLC16A13","RNASEH1-AS1","AL359643.2","AC097639.1","ESYT3","NKX3-2","CLDN16","AC010457.1","SPATA12","ZNF879","AC098820.1","MELTF-AS1","LINC02198","MYCBP2-AS1","AP005271.1",NA,"AC106771.1","AL078604.2","AC106707.1","AC018362.1","LINC02084","LINC02671","AC011481.1","AC058791.1","AL031775.2","BMP6","CCNO","ZNF501"
"UBB","RSAD2","C6orf52","AC092053.4","LNCSRLR","AC116651.1","OSTN-AS1","HCN1","FAM3D","FOXF2","AP1S3","AC147067.1","AC113404.1","AC004832.5","ESR1",NA,"AL158212.5","AC021723.2","AC137932.3","LINC02699","XCR1","OIT3","LRRC4B","AP003327.2","ZFP57","MYL4","AC008522.1","DBF4B"
"CCDC144A","ID2-AS1","ZNF311","AC006059.1","TM4SF1-AS1","SLC34A2","CEP19","AC010478.1","TAFA1","NRN1","COL4A3","MSANTD1","ARRDC3-AS1","CAPN11","DRAXIN",NA,"AC010207.1","SCN1A","B3GAT1","ACSBG1","CCR2","CYP26A1","AC018755.4","RNU6ATAC35P","AL645929.2","AC002451.1","TMEM232","CDKL1"
"SPECC1","AC073195.1","C6orf15","RTP3","KCNAB1","LINC02484","AC024560.1","CDC20B","AC097634.1","SPDEF","SLC19A3","AFAP1-AS1","AC034236.2","AP005233.2","ACOT11",NA,"SMIM5","AC023302.1","AC004449.1","DLX6","CCR5","CYP2C18","LINC01431","AC011468.5","LINC02569","FAM83C","TIFAB","ZFP69B"
"RPL23A","AC007240.3","POU5F1","TMIE","LINC01014","SLC10A4","AC253576.2","CCNO","LINC00877","LRRC73","UGT1A7","NKX3-2","MARCH3","AC025244.1","AC022167.3",NA,"SSX2B","CDH10","NXPH4","AC098818.2","EIF4E3","CYP2C8","FAM209B","GLP1R","LTA","AL391121.1","MALINC1","FIRRE"
"RPL19","ATP6V1C2","TTBK1","AC141002.1","AC090425.2","AC027271.1","AC097382.2","IL31RA","MYH15","AL021368.3","UGT1A4","KLF3-AS1","ADAMTS19","LURAP1","AC009318.2",NA,"LRRC39","LINC00930","AL589182.1","HORMAD2","LINC00960","TLL2","AL121827.1","ZNF786","AL136131.3","AC010997.4","AC011346.1","LINC02147"
"APOH","KCNF1","AL355353.1","CCDC71","KLHL6","FDCSP","AC110790.1","ELOVL7","BTLA","KHDC1","ESPNL","TLR6","CATSPER3","SYNGAP1-AS1",NA,NA,"AC138904.3","AC092171.5","SLC47A2","C1QL1","VGLL3","SFRP5","CRYBB1","HCG17","AL359715.2","AC027601.4","AC116312.1","LINC01684"
"P4HB","MIR3681HG","TINAG","SLC38A3","AC131235.2","PRDM8","AC110611.1","LINC02056","SIDT1","AL359715.1","ANO7","AC096586.2","AC109439.2","AC024337.2",NA,NA,"TMEM92-AS1","AL049795.1","LINC02246","AK7","EPHA3","HABP2","AL031186.1","AC010677.2","USP45","AL162431.1","LINC02159","AP000240.1"
"AC021504.1","GDF7","ZNF451-AS1","SUCLG2-AS1","LINC01063","AC124016.2","AC068620.1","ANKRD31","TIGIT","SIM1","CHL1-AS2","TXK","REEP2","PMFBP1",NA,NA,"AL590101.1","PRR16","TEX38","TG","COL8A1","FGFR2","Z82243.1","AL390242.1","VNN3","AC084082.1","DRD1","SLC28A2"
"RPL36","CCDC121","AL132875.3","AC026341.1","AC128709.1","PTPN13","AC069307.1","PCSK1","PARP15","AL390208.1","LMCD1-AS1","LINC02499","PCDHA7","LINC01465",NA,NA,"KLHL32","CSMD2","SEL1L2","AL355334.2","ABI3BP","CRACR2B","AL732314.4","FAM163A","ZC3H12D","AC113139.1","AC139795.2","CALY"
"C3","GALNT14","KLHL32","AC112503.1","AC024560.3","AC112250.2","ADAMTS3","LIX1","BFSP2","CALHM5","SRGAP3","LINC02562","SPINK5","AC062029.1",NA,NA,"ZNF99","AL022069.3","AC006435.3","CYP24A1","CCDC80","FAM99A","GPR143",NA,"ULBP2","AC009093.5","ZNF354C","ADAMTS18"
"RPS28","STON1","TRAF3IP2-AS1","ROPN1B","AC055764.2","AC019077.1","PARM1","LINC01170","CHST2","RSPH4A","CPNE9","AC093827.4","MIR3142HG","AC092681.3",NA,NA,"LINC01883","AC104454.2","AL391987.4","B3GNT4","SIDT1","AC132217.1","ADGRG2",NA,"AL035530.2","AC124067.4","SCGB3A1","SLC10A5"
"CALR","AC009975.1","LINC02541","AC010210.1","ZFYVE28","LRIT3","AC079160.1","ADAMTS19","LINC02046","LINC01013","PRRT3","AC019131.2","AL031963.1","AC005280.2",NA,NA,"RPRML","AC004528.2","LINC01215","AC012313.7","ZBTB20-AS1","SYT7","DCX",NA,"DLL1","GTF2H2C","GMPR","AC004012.1"
"APOE","CCDC85A","LINC00271","LINC02004","C1QTNF7","AC109347.1","C4orf36","AC109439.2","AC090425.3","MYB","AC090948.1","AC109361.1","TFAP2A","CSMD2",NA,NA,NA,"AC025265.1","AP000919.3","AL109628.2","GAP43","AP001462.1","RAP2C-AS1",NA,"AC147651.1","TCEANC","HDGFL1","TAF7L"
"APOC1","AC132153.1","AL035446.2","PAQR9-AS1","CCDC149","UGT8","HPGDS","AC008438.1","LAMP3","ULBP2","AC097359.3","AC107071.1","HIST1H4D","LINC02814",NA,NA,NA,"ATP2A1-AS1","PCDHB9","AL049840.3","CD80","PLEKHB1","PRRG3",NA,"AC004982.1","ZNF879","HIST1H2BG","LINC01287"
"APOC2","KIAA1841","AL357075.4","SIAH2-AS1","KLF3-AS1","IL21-AS1","C4orf54","PCDHA5","AC072022.2","LINC01615","ITGA9-AS1","LINC02466","GPX5","AC002454.1",NA,NA,NA,"AC137056.1","HSPA1L","AP000866.6","FSTL1","KLHL35","AC104463.2",NA,"ABCB5","AL732509.1","ZNF165","HAR1A"
"FTL","AC016727.1","ZDHHC14","LINC01322","USP46-AS1","AC021205.3","DDIT4L","PCDHB9","LRRC15","AC147651.4","AC099329.2","TIGD4","HCG14","AL121655.1",NA,NA,NA,"AC135279.4","PLEKHS1","MEFV","ACKR4","WNT11","KIAA1211L",NA,"NACAD","C16orf71","AL645940.1","HRH4"
"RPL13A","OTX1","PDE10A","TERC","LINC01618","LINC01091","TRPC3","PCDHB10","TM4SF19","ZNF853","ZNF35","AC084740.1","ZBTB12","DNMBP-AS1",NA,NA,NA,"BTBD16","KCNJ12","AL357033.4","CPA3","DLG2","SPTSSB",NA,"STX1A","AF129408.1","PGC","RADX"
"AC022150.4","LINC01828","AL022069.3","MAP6D1","CSN2","REELD1","LINC01091","AC005753.1","AC147067.1","AC073072.1","CDCP1","AC078881.1","AL354740.1","ERVMER61-1",NA,NA,NA,"RHOXF1","PROB1","AC024909.1","GPR171","ZBTB16","AC093627.7",NA,"AC002454.1","LINC02614","LRRC73","MMP24"
"RPL28","APLF","RADIL","FETUB","CXCL1","AC097375.3","FSTL5","GABRB2","NSG1","AC004951.1","LRRC2-AS1","SLC9A3","KCNK17","NCR3",NA,NA,NA,"AC131011.1","LGALS8-AS1","AC010273.2","MLF1","APOC3","KRTAP5-10",NA,"GJC3","CCDC26","AL121974.1","AL589745.1"
"AL121894.2","TGFA","AC005083.1","LINC02028","NAA11","FHDC1","AC099343.2","AC113414.1","JAKMIP1","TFPI2","CELSR3","ROPN1L","CAPN11","C11orf91",NA,NA,NA,"GJB3","AC009269.5","AC005261.2","LXN","TTC36","GABRQ",NA,"AC018638.6","AP006333.1","LINC01611","AC103810.2"
"MIF","CTNNA2","C7orf31","SLC51A","AC093827.4","AC080188.1","ZDHHC11","LINC01366","CLNK","AC079781.5","AC137630.2","AC114977.2","LINC01621","KRT31",NA,NA,NA,"AL359697.1","C1orf189","BARX2","AC108734.4","AC026369.3","AK7",NA,"AOC1","TEX45","EPHA7","LRRC8C-DT"
"RPL3","SH2D6","JAZF1-AS1","PDE6B","SLC9B1","AC099343.4","AC010491.1","AC011407.1","FAM184B","AC105446.1","AC097637.3","C5orf34","AL133338.1","AC133550.3",NA,NA,NA,"AL645728.1","NIM1K","AC026402.2","HTR3C","PLEKHG6","AC010538.1",NA,"MNX1-AS1","F10-AS1","GPR63","AL162726.4"
"RPS4X","GNLY","AC005009.1","LINC02447","RRH","AC097652.1","AC114316.1","LINC01622","LGI2","FAM71F1","TNNC1","AC010273.3","TUBE1","ZNF426-DT",NA,NA,NA,"AC027271.1","AC004263.1","AC090164.3","EPHB3","SCNN1A","USH2A",NA,"AC083964.1","FP565260.3","PLN","AC023483.1"
"RPL39","CD8A","AC073842.1","AC005699.1","FABP2","OSMR-AS1","TSLP","FOXQ1","TLR10","CCDC136","AC092059.1","AC008581.1","NKAIN2","BICDL2",NA,NA,NA,"AC025627.1","CDX2","AC079630.1","IGF2BP2","AC005840.4","AC093817.2",NA,"KBTBD11","AL354861.3","AL078590.2","ASCL1"
"RPL10","EIF2AK3-DT","MUC12","AC024230.1","SNHG27","HCN1","AC010226.1","AL590004.3","TMEM156","AUXG01000058.1","LINC00870","XRCC4","PDE7B","TMEM252",NA,NA,NA,"AC113361.1","AL691447.2","SYTL3","MB21D2","CLEC1B","CDC14A",NA,"PDGFRL","LINC02596","ARFGEF3","AC007846.1"
"MT-ND1","AC092835.1","AC015987.1","AC110790.1","INPP4B","SHLD3","AC119150.1","AL022068.1","RHOH","EPHA1-AS1","ARL6","SLCO6A1","AL592429.2","TFAP2A-AS1",NA,NA,NA,"AC027682.4","GPR83","AC072039.2","MELTF","AC007535.1","FMO1",NA,"AC124067.4","AC016831.1","AL355596.1","AC005041.3"
"MT-ND2","ADRA2B","ZNF425","TECRL","MIR4453HG","AC099522.2","AC004775.1","HDGFL1","BEND4","AC004908.2","MYH15","AC010255.1","RAET1E-AS1","KCNRG",NA,NA,NA,"AC022001.3","AC009107.2","KLRC1","STK32B","RND1","LINC02029",NA,"AP006545.1","KCNK9","AL355337.1","AC145285.6"
"MT-CO1","CNNM4","WDR86","LINC02835","AC099343.3","AC012636.1","AC010378.2","AL121936.1","STAP1","AC027117.1","C3orf52","PRDM6","AC093627.4","SLC12A3",NA,NA,NA,"AC009509.4","AL136162.1","LINC01637","EVC2","AC025162.2","TMEM71",NA,"AC009630.1","BACH1-IT2","CCDC170","MIAT"
"MT-CO2","FAHD2B","ZNF596","OPRPN","C4orf47","AC114971.1","PCDHB3","HIST1H4I","CXCL13","LPL","GCSAM","AC010240.3","AC007036.3","LINC01587",NA,NA,NA,"AC132938.3","LEF1-AS1","LINC02614","SORCS2","GLS2","LDLRAD3",NA,"OPRK1","AL031667.3","FBXO5","AC005730.2"
"MT-ATP8","ST6GAL2","AC022784.6","ENAM","SLC6A19","AC008592.4","PCDHB7","OR2B6","PRDM8","GFRA2","AC078785.1","PCDHA3","LINC01448","AL049838.1",NA,NA,NA,"U47924.3","ZNF716","ASIP","HTRA3","INHBE","LGALSL-DT",NA,"DNAJC5B","STX18-AS1","PRKN","AP005205.2"
"MT-ATP6","LINC01106","FAM86B1","AC009570.2","LINC01019","LIX1","PCDHGA2","LY6G6C","BMP3","AC037459.2","MAATS1","PCDHB12","AC011294.1","MORC2-AS1",NA,NA,NA,"RB1-DT","AL035420.3","AC012181.2","BST1","LINC02388","PROM1",NA,"SLC10A5","ESPNL","AC010991.1","AATK"
"MT-CO3","BUB1","IDO2","LINC02499","AC034229.4","LINC02163","PCDHGA5","AL136304.1","PRKG2","STC1","C3orf22","ARSI","ZNF117","AC005041.3",NA,NA,NA,"SDK2","GRIN2A","PRMT5-AS1","PROM1","AVPR1A","CCDC87",NA,"AC104211.1","AC005476.2","LINC02587",NA
"MT-ND3","TMEM163","LINC01301","HERC6","AC012640.2","EPB41L4A","HK3","SNAP91","PLAC8","AC104232.3","PODXL2","AC011374.2","TYW1B","AC021491.4",NA,NA,NA,"AC012063.1","KCNJ3","WNT2B","SLIT2","IFNG","LINC02018",NA,"TG","RNFT2","CRPPA",NA
"MT-ND4L","DARS-AS1","AC068389.1","METTL14-DT","CENPK","AC034236.3","AC136604.3","AL590814.1","ADH7","AC083837.1","IGSF10","AC008393.1","SSC4D","AC087623.2",NA,NA,NA,"OTUD7A","AP003327.2","LINC002481","SOD3","HAL","DLX6-AS1",NA,"AC087045.2","AL031600.2","AC080068.1",NA
"MT-ND4","AC016682.1","CLVS1","AC093817.2","AC008897.3","GDF9","AL133351.1","EPHA7","DAPP1","AC023632.2","PTX3","TFAP2A-AS2","PPP1R9A","AC107959.1",NA,NA,NA,"CEND1","AL590560.2","INKA2-AS1","SLC34A2","STAB2","AL390066.1",NA,"SLURP2","REELD1","SNHG26",NA
"MT-ND5","RPRM","AC011632.1","WWC2-AS2","ZBED3-AS1","AC106791.1","AL359643.2","LINC02523","BANK1","AC012213.3","TRIM59","U91328.3","AC004522.5","AL162231.2",NA,NA,NA,"AL451085.1","LMCD1-AS1","HTRA4","SEL1L3","SDS","AC004263.1",NA,"AC109322.2","LINC01431","AC004080.1",NA
"MT-ND6","LY75","LINC01419","LINC01093","AC008467.1","MZB1","AL008729.2","AL121933.2","ANK2","AC027031.2","AC069224.1","AL021807.1","FBXO24","N4BP2L2-IT2",NA,NA,NA,"AC106820.3","LINC01358","AL117329.1","PCDH7","MSI1","AL139353.2",NA,"PTPRD-AS1","FCRL6","AC005089.1",NA
"MT-CYB","DLX1","AC087752.4","LINC01019","KCNN2","PCDHGA2","AL033539.2","SUMO4","NDST3","AC023590.1","LINC00578","HCG9","SLC12A9-AS1",NA,NA,NA,NA,"AGAP2","TMEM71","AC104809.2","UCHL1","GLT1D1","AP001062.1",NA,"AL391834.2","AC008554.1","CFAP69",NA
"RPL15","LINC01116","AC139019.1","AC022424.1","AC010255.3","AC005740.4","HIST1H2BH","LINC02538","TMEM155","AC100803.3","PEX5L","C4A","ACHE",NA,NA,NA,NA,"RTP5","PRDM5","LINC00598","SHISA3","FREM2","AC132938.3",NA,"C9orf24","DIABLO","AC078846.1",NA
"GSTA1","AC017071.1","TMEM249","AC091946.2","MIR3936HG","SH3RF2","TRIM31","LINC02544","IL21","ADGRB1","MUC4","AL354740.1","NAT16",NA,NA,NA,NA,"AC016907.2","CYP24A1","AC093388.1","SPATA18","DACH1","ADIG",NA,"ANKRD20A1","LINC01616","SLC13A4",NA
"CLU","FAM171B","GLDC","PDZD2","CCNI2","AC091982.3","PSORS1C1","RBAKDN","AC116563.1","RHPN1-AS1","LYAR","LHFPL5","LINC01393",NA,NA,NA,NA,"GNRH2","SMIM2",NA,"PDGFRA","SLC15A1","GPRASP1",NA,"AL589843.1","ODF3L2","DGKI",NA
"TTPA","PLCL1","AL159169.3","AC025178.1","AC113410.4","IL12B","AL662884.1","STK31","ZNF827","MAPK15","EVC","MDGA1","PRSS1",NA,NA,NA,NA,"ZNF883","AC026462.5",NA,"HOPX","AL121820.2","SPOCK3",NA,"STX17-AS1","LINC01594","KDM7A-DT",NA
"SOD1","AC096772.1","AL355377.4","AC026801.2","AC008667.1","FBLL1","SYNGAP1","AC011294.1","LINC02273","AF235103.3","FGFBP2","C6orf141","TMEM139",NA,NA,NA,NA,"AC021148.2","AL450306.1",NA,"CXCL6","LINC01146","AC005041.3",NA,"MIR600HG","SSPO","AC093673.1",NA
"Z93241.1","PLEKHM3","TMEM252","AC016596.1","DND1","AC008429.1","PACSIN1","ZNF713","TMEM154","AL451123.1","TAPT1-AS1","HMGCLL1","FAM167A",NA,NA,NA,NA,"CFAP161","AL592295.5",NA,"ANXA3","AL135818.2","CT69",NA,"AL162586.1","GATA2","XRCC2",NA
