"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24"
"WNT10A","TMEM150A","RALYL","TFEC","MXD1","PAX8-AS1","C2orf49","SRRM3","SELE","CBARP","FA2H",NA,"AL360169.3","PAQR5","GAL3ST1","PKDCC","TMEM177","SCML4","SLC1A4","DIS3L2","HK2","PUS10","STAMBP","BOLA1"
"KCNE4","ZNF514","C8orf88","WDR60","DUSP11","MBD5","AC079922.2","LINC02762","LCMT2","LINC00863","ATP2C2",NA,"GNB1L","NSUN7","ZNF396","THADA","POLR2D","C1RL-AS1","PNO1","HDAC4-AS1","TMEM182","TMEM17","ACTG2","AC244033.2"
"SP140L","GPAT2","ESRP1","MCPH1","WDR54","ARL6IP6","GPR39","AC074032.1","ZNF418","CHEK2","AC005696.4",NA,"DPH6","KCNK17","EDRF1-DT","LGALSL","R3HDM1","AL118506.1","HTRA2","ITPR1","BUB1","AC092155.1","ELMOD3","PRPF3"
"PDE6D","RABL2A","CTHRC1","HMBOX1","AC159540.2","METAP1D","GTDC1","OVOL1","NR4A2","ZNF440","GGT6",NA,"AL445426.1","LINC01127","PRSS22","SMYD5","DARS-AS1","SYT11","DOK1","FBLN2","CCDC74A","ETAA1","ST3GAL5","ADAMTSL4-AS1"
"KLHL30","PTPN4","PKHD1L1","DUSP4","TGFBRAP1","FKBP7","EPC2","LINC01315","ZSCAN31","UBE2QL1","AC099811.1",NA,"SPTY2D1OS","GARNL3","PCP4","WDR54","ZEB2-AS1","MDGA1","GNLY","XPC","C2orf27A","CNRIP1","AC009309.1","SETDB1"
"DTYMK","MYO7B","RNF139-AS1","CSPP1","SH3RF3","CWC22","GCA","LINC01914","CLDN4","MOV10L1","PSMC3IP",NA,NA,"PPM1N","ARMC2","LBX2-AS1","ACVR2A","KCNJ15","GPAT2","ITGA9-AS1","AC009951.6","ARHGAP25","MRPL35","OAZ3"
"CNTN4","HS6ST1","CDKN2B-AS1","GDAP1","RABL2A","PDE1A","TTC21B","RNF144A","ZNF736","COLEC12","EVPL",NA,NA,"CELSR2","CLIC6","PCGF1","EPC2","RFXAP","UNC50","ZNF197","TEX41","PRADC1","LINC00342","TCHH"
"TRNT1","ZRANB3","FANCG","AC009812.1","CLASP1","COL5A2","PDK1","HCN3","HIST3H2A","TFAP4","AC111182.1",NA,NA,"KLHL13","CCDC170","C2orf68","FIGN","HECTD2","IL1R2","ZNF589","AC019197.1","AC005034.4","CHST10","IL6R-AS1"
"IRAK2","ORC4","AL935212.1","AC104958.2","SCN9A","WDR75","LINC01116","AL163051.1","ZFYVE28","ADAL","AC011139.1",NA,NA,"CACNB1","SIGLEC11","BCL2L11","CCDC141","ZNF234","FHL2","USP19","PHOSPHO2","KANSL3","LINC01831","ASH1L-AS1"
"NKIRAS1","AC007364.1","MAMDC2","DENND4C","ERICH2","CASP8","RBM45","PLAG1","AC068338.2",NA,"MISP",NA,NA,"ZNF334","FCGBP","ANAPC1","C2orf88","AC016682.1","NPHP1","PPM1M","DNAH7","TXNDC9","C2orf49","MSTO1"
