"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24"
"COPS4","MAP3K2",NA,"GPR65","YIPF5","ARHGAP30","EVI5",NA,NA,NA,NA,NA,NA,NA,NA,"CLDN7","CHD8",NA,"UTP6","CDH19","SULT1A3","NBDY","ZXDB","NAV3"
"MRS2","SIRT5",NA,"WARS2","IK","MEGF6","MUTYH",NA,NA,NA,NA,NA,NA,NA,NA,"LXN","TMEM94",NA,"RREB1","PYROXD2","CHGB","MOAP1","LANCL1","METTL25"
"HSPA6","CBLL1",NA,"SLC25A24","LINC02362","MIEF1","ANKRD13A",NA,NA,NA,NA,NA,NA,NA,NA,"WDR55","TBC1D22B",NA,"SMNDC1","CD8B","ZNF610","TUBGCP6","WDR66","AC024909.1"
"ABCC1","CDKN2B",NA,"MCF2L-AS1","GTF2A1","IKZF3","BIVM",NA,NA,NA,NA,NA,NA,NA,NA,"SEC14L1","AUH",NA,"ECI1","RNF138","NIPSNAP2","GPR157","PANX1","POC1B-AS1"
"MIOS","BTBD6",NA,"HOXB5","POP4","KCNAB2","DUSP2",NA,NA,NA,NA,NA,NA,NA,NA,"PODN","PRKAR1B",NA,"LINC01625","C14orf132","CYP1B1","BBIP1","GNAI3","CEP83"
"CMTR2","ERAP2",NA,"ULK2","PALM","KRIT1","CX3CL1",NA,NA,NA,NA,NA,NA,NA,NA,"NCSTN","OMA1",NA,"BRD8","STK24","ARV1","NPIPB15","SSBP2","TMPO-AS1"
"DNAJC5B","COA8",NA,"BACH1-IT2","DPH2","SLC38A6","RNF168",NA,NA,NA,NA,NA,NA,NA,NA,"MAGED1","RRM2B",NA,"MBTD1","TNS2","CNFN","ASB3","SEPTIN6","IKBIP"
"CCDC50","TRIM2",NA,"USP53","GBP5","TRAPPC8","HEG1",NA,NA,NA,NA,NA,NA,NA,NA,"RAB35","HEMK1",NA,"NECAP1","C12orf49","HSPA12A","LINC00294","RICTOR","NT5DC3"
"LINC01184","VGLL3",NA,"ZFP92","LOXL1","CYTOR","TOPORS",NA,NA,NA,NA,NA,NA,NA,NA,"MYCT1","WDR59",NA,"ABHD5","MANBA","DNAJC27-AS1","PDZD11","FAM133B","HCFC2"
"ABT1","RIOK1",NA,"CFB","DFFA","SNTB2","PARP8",NA,NA,NA,NA,NA,NA,NA,NA,"PHACTR1","GET1",NA,"TASOR2","APBA3","FBXL7","ZDHHC4","RAB3IP","NUAK1"
"MFSD3","KCTD21",NA,"AL162231.2","CD7","SLC35B4","WNT11",NA,NA,NA,NA,NA,NA,NA,NA,"LCP1","PDS5B",NA,"ANGPTL8","PRKD2","PSCA","DGKQ","PLRG1","POLR3B"
"LARP1","COX10",NA,"PGR","RALGAPB","CRYM","RORA",NA,NA,NA,NA,NA,NA,NA,NA,"DNAJC9","PTBP2",NA,"SSX2IP","PREP","TTC39A","RNF216","MECR","BTBD11"
"U2AF2","STK32C",NA,"LIPT1","PMVK","CREB3","APIP",NA,NA,NA,NA,NA,NA,NA,NA,"HERC3","STXBP3",NA,"ARRDC4","DNAJA4","KCTD9","GIMAP2","PTPN7","USP30-AS1"
"TRPV1","MDP1",NA,"ZNF619","DOCK8","ITGAE","CCNJL",NA,NA,NA,NA,NA,NA,NA,NA,"TMEM74B","SMARCA4",NA,"CFAP46","GPN2","CERCAM","SMTN","SLC20A1","FAM216A"
"TYW3","INTS3",NA,"RNF170","CHD3","MS4A4A","ATG4C",NA,NA,NA,NA,NA,NA,NA,NA,"TASOR2","PRRG1",NA,"WDR66","PPP1R16B","TMTC1","SNRNP40","CCS","FBXW8"
"ZFYVE1","CXXC1",NA,"CWC27","ANKRD17","PACSIN2","ICE2",NA,NA,NA,NA,NA,NA,NA,NA,"ASAP2","ZNF746",NA,"CNDP1","EIF2D","MOB3B","LDB2","PIAS3","RFC5"
"NOL3","DSP",NA,"A1CF","FBXW7","MCRIP1","TRIM15",NA,NA,NA,NA,NA,NA,NA,NA,"TUBG1","METTL2B",NA,"ANKIB1","EXOSC1","SPART","IMMP2L","ITPKC","SUDS3"
"CLDN15","FAM49A",NA,"CENPQ","SRPK1","ANKIB1","TTPA",NA,NA,NA,NA,NA,NA,NA,NA,"RAPGEF2","SHANK3",NA,"LRRC28","WDR48","MIF-AS1","ZNF717","VPS13A","CIT"
"SCOC","TBC1D22A",NA,"FBXO16","GALC","KMT5A","NENF",NA,NA,NA,NA,NA,NA,NA,NA,"PGM3","ATP11B",NA,"CNOT8","ZNF33B","UTP23","TNFRSF21","CEP170","PXN-AS1"
"AC067852.2","POMGNT1",NA,"IL7","ZSWIM7","SYF2","EXOSC4",NA,NA,NA,NA,NA,NA,NA,NA,"PAIP1","RBBP9",NA,"GPX7","WDR20","MYLPF","AL135905.1","PIK3R4","LINC01089"
"GAB1","MTOR",NA,"CYB5R2","SGMS1","AL512638.3","BAHD1",NA,NA,NA,NA,NA,NA,NA,NA,"WIZ","GPN2",NA,"TRIM2","CSNK1G2","KPNA5","TANC1","ELP1","AC048338.2"
"ATP6AP1","ANAPC15",NA,"C12orf81","FCGR1A","FCMR","ABCG1",NA,NA,NA,NA,NA,NA,NA,NA,"SLC22A10","UBE3B",NA,"GTPBP2","LRRC75A","FBXO32","CBWD5","SLC35B3","PITPNM2"
"SLC35A3","C14orf132",NA,"DESI2","KIZ","NLRC5","NFRKB",NA,NA,NA,NA,NA,NA,NA,NA,"LONP1","STRADA",NA,"PDHA1","VCAN","DNM3","UTP15","ALMS1","ADGRD1"
"TTL","CD40",NA,"DENND4A","NPRL3","GOLT1B","RASSF8",NA,NA,NA,NA,NA,NA,NA,NA,"MALT1","EEF2KMT",NA,"ALS2CL","FBXO33","TPM2","DNMBP","SLF2","AC131009.3"
"CDK4","CCDC88A",NA,"MYL4","POLE3","IFITM1","LINC01128",NA,NA,NA,NA,NA,NA,NA,NA,"CRYM","AKAP17A",NA,"TM9SF1","ARHGAP25","SPTBN4","CHID1","LYST","SACS"
"THUMPD1","ZC2HC1C",NA,"ASAP1","STK17A","NSMCE2","SPOUT1",NA,NA,NA,NA,NA,NA,NA,NA,"FOXA1","KCNIP3",NA,"COX15","PDE12","LINC01561","ZSWIM7","FAM234B","TNFRSF19"
"DYNC1LI1","KLHL6",NA,"ARHGEF26-AS1","ST6GALNAC3","AL109628.2","ENO3",NA,NA,NA,NA,NA,NA,NA,NA,"CTDSPL2","NUP107",NA,"ERG","TMTC1","CD36","MDN1","NUTM2B-AS1","LINC00365"
"PWWP3B","RAB9A",NA,"PKP2","IMPACT","VPS52","MRPS23",NA,NA,NA,NA,NA,NA,NA,NA,"WDR11","FOSL1",NA,"SMCR8","RUFY1","FAM155B","VPS53","DYM","KATNAL1"
"ACOT8","SLC16A11",NA,"ANKRD16","SLC12A2","ATF1","MANBAL",NA,NA,NA,NA,NA,NA,NA,NA,"BAHCC1","CENPT",NA,"ANKRD54","USP12","SESN3","ZSWIM6","AC091729.2","LINC00426"
"WSCD1","SMLR1",NA,"CYP2C9","CD6","S100A4","TRMT1L",NA,NA,NA,NA,NA,NA,NA,NA,"NDUFS3","HACL1",NA,"DHX40","CCL21","AP000547.3","SRRM2","MRPL10","SMAD9"
"ARGLU1","ARID4A",NA,"ZNF608","DNAJC1","STK38","MGAT5",NA,NA,NA,NA,NA,NA,NA,NA,"SIRT6","TCEAL3",NA,"SEPTIN8","COPB2","ZNF253","HAGHL","BCL2L2","FREM2"
"CCT8","EBF4",NA,"FAM47E","MAP3K2-DT","MTR","GPANK1",NA,NA,NA,NA,NA,NA,NA,NA,"NTN1","HDGFL2",NA,"APBB1","GSAP","SLC22A12","LARGE1","PIGU","KBTBD7"
"DHRS4-AS1","ATG2B",NA,"ATP6V1FNB","GDAP2","EMCN","TMEM25",NA,NA,NA,NA,NA,NA,NA,NA,"ACTL6A","FAM234B",NA,"MAP3K8","APIP","HTR2A","OXR1","PIAS4","SERP2"
"AC097468.3","TMEM263",NA,"RPL32","ATG7","INPP5D","LINC01348",NA,NA,NA,NA,NA,NA,NA,NA,"AC015982.2","BRAF",NA,"ZNF263","CDK14","LPO","TRIM13","AC007325.4","TUSC8"
"P2RX4","TIMM21",NA,"TFDP2","CYB5R4","RPS10","AGO2",NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A45","NRDC",NA,"FCHO2","STXBP3","NTS","TBC1D23","CLEC1B","CPB2"
"TMEM150C","RBM15",NA,"MKI67","ATOH8","IFT27","FAM160B1",NA,NA,NA,NA,NA,NA,NA,NA,"MARCH9","MRPS34",NA,"PIGX","ZNF480","ME1","TWIST1","PLN","RUBCNL"
"LINC01348","MAP4K2",NA,"BACH2","SLC25A17","TTC7A","FAM110C",NA,NA,NA,NA,NA,NA,NA,NA,"SH3RF3-AS1","TTC28-AS1",NA,"SNAP47","ADAM9","FOXC1","ARHGAP42","NRF1","DACH1"
"GASAL1","CYBB",NA,"TSPAN13","EXD3","IL10RA","GABPB1-AS1",NA,NA,NA,NA,NA,NA,NA,NA,"AC245407.2","UBE2E2",NA,"SERTAD1","VPS50","CEP85L","ZC3H4","TAF12","AL354811.1"
"MAP9","MZF1",NA,"ACTB","PPT1","ZEB1","TRIM33",NA,NA,NA,NA,NA,NA,NA,NA,"C8orf33","IRAK3",NA,"ENPP7","ZNF226","PRKAA2","PIGT","HARS","UGGT2"
"MCAT","ZC3HAV1",NA,"SYTL2","ARHGDIB","NISCH","CDK19",NA,NA,NA,NA,NA,NA,NA,NA,"WDR47","CTNNBL1",NA,"LYNX1","SWAP70","POLD3","TRAPPC1","MIR22HG","SLC15A1"
"ZNF101","ASB3",NA,"ATP2B2","FBXO34","FBRSL1","IRAK2",NA,NA,NA,NA,NA,NA,NA,NA,"DOT1L","HSD17B14",NA,"PLEKHF1","PDS5B","IP6K3","CUL9","MAP2K7","UBAC2-AS1"
"MBD1","TSR2",NA,"AP000547.3","ABCG1","C1orf174","C1orf53",NA,NA,NA,NA,NA,NA,NA,NA,"BOLA3","SNRNP25",NA,"PREP","NCOR2","CDH13","THBS3","IMPA2","NALCN"
"HSPA1B","PEX10",NA,"ORM2","NLRC5","CEBPZ","PIP5K1A",NA,NA,NA,NA,NA,NA,NA,NA,"AAAS","MBTD1",NA,"NOTCH1","EVI2B","AC093249.6","INTS4","AGPAT1","TNFSF13B"
"ZNF3","WDR47",NA,"RPL10","KLRD1","RAE1","ZXDB",NA,NA,NA,NA,NA,NA,NA,NA,"ACVR1B","TGFBR1",NA,"SETD1A","KIAA0100","CCNB2","CLPTM1L","NUP210","MYO16"
"LINC00339","UBFD1",NA,"GPX3","CIITA","CCZ1B","AL034376.1",NA,NA,NA,NA,NA,NA,NA,NA,"CYP3A43","NSUN2",NA,"CCM2","CYTIP","SNHG30","TTC14","ACD","AL139384.1"
"ST8SIA4","RWDD2B",NA,"AC002451.1","GAR1","CMTM4","RCC2",NA,NA,NA,NA,NA,NA,NA,NA,"C18orf54","CNOT2",NA,"LAT","ATPAF2","COX7A1","PIR","CRYBG1","MCF2L"
"SOX6","ATP10D",NA,"C11orf95","LRCH1","MMP2","CIAPIN1",NA,NA,NA,NA,NA,NA,NA,NA,"ACD","FOXO6",NA,"IFIH1","MUSTN1","NQO1","RBM15B","PLXDC2","TMCO3"
"TGS1","C5AR1",NA,"JRK","ANKRD46","CD93","ST3GAL5",NA,NA,NA,NA,NA,NA,NA,NA,"ARGLU1","ABCA6",NA,"NR2C2","LTB","NDRG4","AIFM2","SLC6A13","AL161668.4"
"GCLC","AKAP10",NA,"ITIH4","ANKRD13A","PRR14L","AC104794.3",NA,NA,NA,NA,NA,NA,NA,NA,"FARP2","NBPF1",NA,"ATP6V0D1","IFITM1","AC083862.2","UBR7","EPS8","C14orf93"
"RAB28","MID1",NA,"CYP2E1","CIZ1","MAPK3","PLP2",NA,NA,NA,NA,NA,NA,NA,NA,"COL6A3","TMEM87A",NA,"DNALI1","GIGYF2","PNMA6F","AC110792.3","TMED7","HOMEZ"
"GXYLT1","NTPCR",NA,"SAMD9","COL1A1","FAF2","TP53I3",NA,NA,NA,NA,NA,NA,NA,NA,"POM121C","KMT2B",NA,"VPS41","INTS7","BNC2","OSBPL6","ATF7IP","EFS"
"CPLX1","WDR48",NA,"DKC1","SPATA2L","CAMSAP2","BCL10",NA,NA,NA,NA,NA,NA,NA,NA,"BCAS4","QSOX2",NA,"PTGIS","CLSTN2","FANCG","ZNF496","PHACTR1","ZFHX2-AS1"
"PUM2","AC118549.1",NA,"HBM","SLC39A4","U91324.1","SLC39A4",NA,NA,NA,NA,NA,NA,NA,NA,"FAM200A","CCDC159",NA,"VEZF1","PRR5","KCTD11","BTBD7","BMP1","AL135999.1"
"EXD3","BYSL",NA,"BTBD8","SMG6","TTC28","KIAA0232",NA,NA,NA,NA,NA,NA,NA,NA,"CENPC","MEGF9",NA,"PAWR","DDX10","IL10","RUSC1","RCN2","DHRS2"
"RASD1","AMIGO1",NA,"MAFG","DSE","MFSD14C","PLEKHA5",NA,NA,NA,NA,NA,NA,NA,NA,"KANK1","AK4",NA,"FTX","PMEPA1","TTLL7","MYO1F","RPRD1B","DHRS4"
"CELF6","MAFF",NA,"NUDT12","TMEM184C","PIK3IP1","INPP5D",NA,NA,NA,NA,NA,NA,NA,NA,"BRMS1","SMIM19",NA,"LINC00924","PLPPR2","FGD6","TYW1","RLF","CARMIL3"
"MICA","SNX17",NA,"SH3D19","PHETA1","CXCL8","SH3RF1",NA,NA,NA,NA,NA,NA,NA,NA,"WASF3","TYMS",NA,"ZXDC","MAEA","HAUS1","TMEM161B-AS1","NFYC","ADCY4"
"TANC1","CNOT11",NA,"DUXAP8","ZBTB7B","SGPL1","PAAF1",NA,NA,NA,NA,NA,NA,NA,NA,"RNPEPL1","WSB2",NA,"INO80C","KCTD5","VANGL1","DNAAF2","TBC1D4","CBLN3"
"TAF8","CCDC68",NA,"C4orf19","STK38","FAM104A","MTPAP",NA,NA,NA,NA,NA,NA,NA,NA,"GATAD2B","GSTZ1",NA,"GPER1","PPHLN1","MTHFD2","SDCBP2-AS1","CAPRIN2","GZMB"
"AC239868.1","HACL1",NA,"SHPK","NLRP1","BLMH","RWDD4",NA,NA,NA,NA,NA,NA,NA,NA,"ISCA2","PSMB6",NA,"SMG6","POLE","ZNF778","YIF1B","RIN3","NUBPL"
"CLIP4","AL360013.3",NA,"AC007220.1","STAT1","DDX60","SNX15",NA,NA,NA,NA,NA,NA,NA,NA,"NGLY1","LUC7L",NA,"KLHDC4","RAB11FIP5","GPR150","PM20D2","KRBA1","AKAP6"
"LUC7L2","C7orf26",NA,"AL353796.1","FN3KRP","GIMAP6","SLC1A2",NA,NA,NA,NA,NA,NA,NA,NA,"ELP3","PCNP",NA,"DAPK1","ADAMTS1","ZNF16","COMMD10","RNF4","POLE2"
"KIAA1522","COMMD5",NA,"PDK4","MPP1","MYCBP2","FBXL18",NA,NA,NA,NA,NA,NA,NA,NA,"NECAP1","DNAJA4",NA,"SYNJ1","CRTC1","AL445426.1","GGT7","BMP6","LINC01588"
"EPB41L1","FLOT1",NA,"SCFD1","LMNB2","PODN","HECA",NA,NA,NA,NA,NA,NA,NA,NA,"CD84","FAM99A",NA,"C1orf50","EPB41L4A-AS1","PCAT6","KLHL9","CRBN","TMEM260"
"SMAD5-AS1","LRRC20",NA,"IGFBP1","MRE11","STX10","ZFC3H1",NA,NA,NA,NA,NA,NA,NA,NA,"SNRNP27","WWTR1",NA,"S100A1","GNPDA1","CEP55","DCUN1D5","TEN1","ARMH4"
"SHOC2","WIPI2",NA,"TMLHE","MIEN1","TAF12","Z93930.2",NA,NA,NA,NA,NA,NA,NA,NA,"BECN1","WDR11",NA,"CD2AP","SDCCAG8","LDAH","EXOC4","ADNP2","RTN1"
"RING1","MOCS3",NA,"NSMCE1-DT","PLRG1","POM121","ASAP2",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF616","SPATA2",NA,"UNG","NR2F2","SH3PXD2B","ASH2L","DOCK10","TRMT5"
"SGF29","EMCN",NA,"NOA1","SVIP","FYB1","ZBED3",NA,NA,NA,NA,NA,NA,NA,NA,"LSS","PRSS8",NA,"CDC42EP2","SNRNP40","GNGT2","PIGC","MGAT5","GPX2"
"KRIT1","ATXN2",NA,"ZNF554","SGPL1","PTPRC","GRK5",NA,NA,NA,NA,NA,NA,NA,NA,"SLC14A1","SLC35B4",NA,"ENTPD8","UPF3A","PARD6G-AS1","PCBP1-AS1","ASB9","CCDC196"
"GYG1","CTDSPL2",NA,"AC002467.1","PLA2G7","GEMIN5","PRR14L",NA,NA,NA,NA,NA,NA,NA,NA,"CCDC174","PIKFYVE",NA,"TUBE1","QSOX2","CCDC43","PHTF2","RHOBTB2","PIGH"
"CTBP2","SLC31A2",NA,"TMEM102","AL360013.3","RPS6KA3","SELENOI",NA,NA,NA,NA,NA,NA,NA,NA,"COPB2","CYB5D2",NA,"PPP1R10","ANKRD39","ZNF177","ANKRD54","LSM6","RDH12"
"TXNDC12","ELN",NA,"PROCR","GNPDA1","DNMT1","RNF125",NA,NA,NA,NA,NA,NA,NA,NA,"LRRC45","MPI",NA,"CPT1B","ARHGAP4","PLIN4","POLR3H","TNIP2","AL121820.2"
"AC019131.2","AP1M1",NA,"GLCE","NUTM2B-AS1","N4BP1","ZNF276",NA,NA,NA,NA,NA,NA,NA,NA,"INKA1","ZDHHC23",NA,"POLR3E","CD44","TTF2","SPPL2B","TMEM143","DPF3"
"ACSM1","LDB2",NA,"PRRC2C","ALG2","PPP2R5D","ZNF749",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF717","CYP3A5",NA,"TTI1","RABGAP1","INPP4B","TCF25","ABCA1","ACYP1"
"GGPS1","CCDC125",NA,"NNT-AS1","TRIM15","STK4","SFXN3",NA,NA,NA,NA,NA,NA,NA,NA,"RHOT1","ALG1",NA,"RAPGEF4","ALDH18A1","DGCR11","FN3KRP","IKBKE","BATF"
"EIF2D","MFSD12",NA,"AC009061.2","PCNX4","PIEZO1","LINC02716",NA,NA,NA,NA,NA,NA,NA,NA,"SFI1","ZNF410",NA,"VPS28","HLA-DQB1","AC073263.1","FAM133B","NDUFA8","VASH1-AS1"
"CXCL16","NOL3",NA,"TACC1","DENND6A","WDR44","LENG8",NA,NA,NA,NA,NA,NA,NA,NA,"REXO1","MEX3C",NA,"ZDHHC8","CD52","BOLA3","TMEM161A","ANTKMT","LINC02289"
"VPS26B","IL16",NA,"RNF43","TTC39B","SNX27","LRP6",NA,NA,NA,NA,NA,NA,NA,NA,"GTF2IRD2","APBB3",NA,"THOC7","CD99","GPR34","SLC16A2","SP1","GPR65"
"ZNF609","EMP2",NA,"TAF3","TOR1AIP1","PITRM1","CRYZ",NA,NA,NA,NA,NA,NA,NA,NA,"WAPL","SIVA1",NA,"HES4","CCDC125","MAP1A","FAM222B","WDR70","FOXN3-AS1"
"LINC01503","CDC42-AS1",NA,"EXOSC10-AS1","CFDP1","KIF21B","CDK2AP1",NA,NA,NA,NA,NA,NA,NA,NA,"AL135999.1","AGO2",NA,"KAT2B","FAM184A","GSTP1","C1GALT1C1","SLCO4A1","AL137230.1"
"NFATC2IP","LTBR",NA,"SND1-IT1","GON4L","PIP4K2A","SPATA13",NA,NA,NA,NA,NA,NA,NA,NA,"NAE1","SLC35A1",NA,"AGK","TP53TG1","SETD3","WDR45B","PLS1","EFCAB11"
"AKT1S1","ZNF639",NA,"BORCS5","PLP2","STIM2","TM7SF3",NA,NA,NA,NA,NA,NA,NA,NA,"TBK1","CCNQ",NA,"SPINT2","JAG1","ZNF718","GTF3C5","EXOSC4","RPS6KA5"
"TNFRSF17","CYP21A2",NA,"RAB3GAP2","FRMD6","HES4","KPNA3",NA,NA,NA,NA,NA,NA,NA,NA,"PFKM","YBEY",NA,"RPL26L1","BBS9","CADM3","LTB4R","S100Z","CPSF2"
"SPATC1L","CD5L",NA,"LIMS1","CNR1","BLOC1S4","RNF10",NA,NA,NA,NA,NA,NA,NA,NA,"IAH1","LRP1B",NA,"APBB1IP","ATF2","ZNF827","TSLP","METTL23","GON7"
"PXMP4","NABP2",NA,"FZD3","PUS3","CYTH4","CHN1",NA,NA,NA,NA,NA,NA,NA,NA,"STRN","CUL4A",NA,"ITK","FAN1","RERGL","DNAJC30","SLC48A1","DICER1-AS1"
"SLC31A2","F2RL1",NA,"CYP2C8","ZNF12","EPB41L4A-AS1","RTL8A",NA,NA,NA,NA,NA,NA,NA,NA,"DHRS1","VDAC2",NA,"SDCCAG8","STK10","RIOX1","METTL1","RCBTB1","SETD3"
"AL591686.1","APPBP2",NA,"APBA2","NSMCE2","CLEC2D","PLA2G15",NA,NA,NA,NA,NA,NA,NA,NA,"VARS2","COPS3",NA,"SPRY1","GOSR1","TSPAN10","EID2","CIZ1","HHIPL1"
"XYLB","ANAPC5",NA,"MINK1","ZNF740","PIK3CD","BRD3",NA,NA,NA,NA,NA,NA,NA,NA,"DHX30","CAMSAP1",NA,"CSTA","EEF1E1","AL359643.3","ATF7IP","SAT2","MEG3"
"YBEY","ORC5",NA,"SNHG22","TTC7A","PIGU","RAB37",NA,NA,NA,NA,NA,NA,NA,NA,"SSR3","ATP2C1",NA,"SOX13","HDAC7","C5orf51","IRAK3","MFSD14C","AL355096.1"
"SFXN3","SFXN3",NA,"RPL13","CCND1","TMEM51","FAM177A1",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF219","DCTN5",NA,"SELENON","RNF144B","ZNF2","ANO10","AC015982.2","DIO3"
"PTGIR","PYCARD",NA,"ANKIB1","NR2C1","IL2RG","RAE1",NA,NA,NA,NA,NA,NA,NA,NA,"DCAKD","ZNF428",NA,"MIB1","TTC14","ZNF696","IPO13","RELN","TECPR2"
"ISG20L2","CPB2-AS1",NA,"RBM26-AS1","JMJD4","MSL2","RSRC1",NA,NA,NA,NA,NA,NA,NA,NA,"FBXO17","ZMYM3",NA,"NES","INPP5D","DLX4","ARMT1","RNF31","EXOC3L4"
"DOCK7","KDELR1",NA,"FP565260.3","HILPDA","CEL","GTF2A2",NA,NA,NA,NA,NA,NA,NA,NA,"UBAP1","VRK3",NA,"ACOX3","PKN1","AP003119.2","ELMOD2","SLC29A2","CLBA1"
"BCL2L2","LMAN2L",NA,"LINC02328","KLF2","SLC35E3","AGRN",NA,NA,NA,NA,NA,NA,NA,NA,"ENTPD8","TTLL7",NA,"PRKCA","CD8A","LCMT2","L3MBTL2","ZNF691","TMEM121"
"VPS72","FBXO2",NA,"TMEM217","HAGHL","GIMAP4","PHACTR4",NA,NA,NA,NA,NA,NA,NA,NA,"GTPBP4","PALM3",NA,"AP1S3","CDK12","AC060780.1","USP22","VRK3","LINC02352"
"RGS12","AL034376.1",NA,"TMOD2","WDR92","MUSTN1","PGAM5",NA,NA,NA,NA,NA,NA,NA,NA,"TMCC3","COX6A2",NA,"NSRP1","KBTBD2","IQCG","EIPR1","HIF1AN","GOLGA8N"
"GORASP1","SIN3A",NA,"SETX","PLA2G5","PDCD10","TBL1X",NA,NA,NA,NA,NA,NA,NA,NA,"UBE2E1","VPS37B",NA,"ENPEP","GPR89B","GPRC5B","FBXO22","PPP1R18","DPH6"
"TSC22D2","TPRN",NA,"ROCK1","MPV17","SLCO5A1","LMNB2",NA,NA,NA,NA,NA,NA,NA,NA,"SCRN2","SLC39A3",NA,"AKAP8L","PSMD10","ATP8A2","UBE2D2","JAM3","SRP14-AS1"
"NFIX","MRPL10",NA,"POLN","BIN1","PHF2","SUZ12",NA,NA,NA,NA,NA,NA,NA,NA,"PEX26","TMEM150C",NA,"EXOSC10","NFASC","LIPE","AL121929.3","GJA1","CHST14"
"FAM104A","TMEM143",NA,"MED11","PNMA1","PYROXD1","H2AFV",NA,NA,NA,NA,NA,NA,NA,NA,"IGBP1","DHCR7",NA,"CLN6","GPR153","AC010136.1","SIN3A","TTI1","KNL1"
"CRADD","DEF8",NA,"CYP3A4","RGS5","MRPL33","KIAA0355",NA,NA,NA,NA,NA,NA,NA,NA,"RAB32","CFI",NA,"SCAF1","WNT6","PRKAR2B","SNED1","PHKG2","DLL4"
"RAB17","AASS",NA,"AC009961.1","UPF3B","FARP2","SIGLEC9",NA,NA,NA,NA,NA,NA,NA,NA,"TBC1D9B","EAF1",NA,"PLA2G5","CCBE1","SLC22A4","CIITA","GTF2E1","INO80"
"ARHGEF40","GASK1B",NA,"TTPA","LINC00174","PCED1B-AS1","STAM2",NA,NA,NA,NA,NA,NA,NA,NA,"CSF1R","ZBTB33",NA,"WNT3","IL2RG","ASTN2","LYAR","ULK1","MAPKBP1"
"NFATC4","NPIPB15",NA,"SRP14-AS1","SPRED1","LUZP1","GOSR1",NA,NA,NA,NA,NA,NA,NA,NA,"FAM120B","PYROXD2",NA,"SLC15A1","KIF21B","FANCD2","RAB29","ST6GALNAC3","AC020659.1"
"RCOR1","JAM3",NA,"CCDC154","LINC01348","SP3","AL080248.1",NA,NA,NA,NA,NA,NA,NA,NA,"SPTBN5","RNF34",NA,"NUP153","CSNK2A2","FOXJ2","CLK4","TCTN1","STARD9"
"IFI6","NUTF2",NA,"WAKMAR2","TMIGD3","OPN3","MIR22HG",NA,NA,NA,NA,NA,NA,NA,NA,"LAMA5-AS1","DYRK1B",NA,"ZER1","FERMT3","HAP1","DDX27","TRIM39","LCMT2"
"ZNF33A","DFFA",NA,"NFIX","NTAN1","LIMD2","RBMS1",NA,NA,NA,NA,NA,NA,NA,NA,"KLHL2","RARG",NA,"RASIP1","KIAA2026","ZSWIM9","RUNDC3B","KLRD1","ADAL"
"HERPUD2","VPS72",NA,"PMS1","SGSM2","EXOSC3","STRN",NA,NA,NA,NA,NA,NA,NA,NA,"THRSP","NABP2",NA,"TBC1D14","PXMP4","PCYT1B","MLH1","HILPDA","PPIP5K1"
"BMP6","FGR",NA,"AC245297.3","KIF12","ZNF655","MTMR6",NA,NA,NA,NA,NA,NA,NA,NA,"HYAL1","GGT7",NA,"AL360013.3","SNAPIN","CDK8","KIZ","AKAP10","STRC"
"PIK3C2A","NMT2",NA,"AZGP1","HDDC3","TAS1R3","GDF15",NA,NA,NA,NA,NA,NA,NA,NA,"MAU2","DYRK1A",NA,"IGHG3","ERAL1","FBXO48","SIAH1","WWC1","CATSPER2"
"SGK1","FOXO3",NA,"CD3EAP","DCTN6","RAC2","EEF2KMT",NA,NA,NA,NA,NA,NA,NA,NA,"AKAP12","MRPL50",NA,"NGEF","PAG1","RPS6KA6","HGF","GOLGA8A","HYPK"
"MTHFR","SPTBN2",NA,"AC012368.1","ATG4C","REXO1","RAB11FIP5",NA,NA,NA,NA,NA,NA,NA,NA,"NGFR","CANX",NA,"TRIP11","ANKRD50","AC138207.4","KIF16B","BCL7A","WDR76"
"COG1","TRIM69",NA,"AHSG","SF3B4","CEPT1","PHF14",NA,NA,NA,NA,NA,NA,NA,NA,"VARS","DNAJC14",NA,"ERCC3","BTF3L4","TBX2","IFRD2","SAMM50","TERB2"
"HIST1H2BC","CNTLN",NA,"SERPING1","TMEM126A","RNF213","UBXN6",NA,NA,NA,NA,NA,NA,NA,NA,"TFB2M","PRKCI",NA,"TRIM13","PTPRB","MICB","ICE1","PRRT3","C15orf48"
"DAPL1","TSPAN17",NA,"ACVR2B-AS1","LRRC75A","ZNF408","AC083841.1",NA,NA,NA,NA,NA,NA,NA,NA,"BX255925.3","EIF3A",NA,"NBDY","MRPL21","TBC1D2","SMC6","ZMPSTE24","SLC30A4"
