"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
NA,"UROD","CHMP4B",NA,"SIPA1L3","TENT4B","LRRC8C",NA,NA,NA,"AKTIP"
NA,"NBPF11","ZEB1",NA,"CIITA","DENND5B","PAK1",NA,NA,NA,"TMEM231"
NA,"TFB2M","FAM135A",NA,"MUS81","PRKACA","PPP3R1",NA,NA,NA,"LAGE3"
NA,"MBD5","IRAK3",NA,"KDM5B","EIF4E3","NELL2",NA,NA,NA,"AC009996.1"
NA,"NOTCH4","DCAF10",NA,"KLC1","LRP5","TNIK",NA,NA,NA,"SDAD1"
NA,"TDRD7","ABR",NA,"FTO","CAPN3","BEX2",NA,NA,NA,"FAM27C"
NA,"C10orf105","HAVCR2",NA,"ELF2","ABCB1","PHYHIPL",NA,NA,NA,"NCAM1"
NA,"P2RX3","ZNF777",NA,"FARSA","ANKS1A","RFX7",NA,NA,NA,"C20orf194"
NA,"AC005052.2","ANP32B",NA,"PIK3CD","MRPL58","CAPN7",NA,NA,NA,"PAQR7"
NA,"FKBP1B","ZNF841",NA,"PIAS2","PARVA","SCG3",NA,NA,NA,"DCTN3"
NA,"GALNT15","REV3L",NA,"ACBD3","BMPR1A","SOAT1",NA,NA,NA,"TMEM120B"
NA,"LINC02614","ATP2B1",NA,"SACS","MSTO1","FAM110A",NA,NA,NA,"NPRL3"
NA,"GSTCD","SNRNP27",NA,"AKNA","PAF1","EP400",NA,NA,NA,"SLAMF7"
NA,"SERINC5","PCDHGA10",NA,"CLN3","MLYCD","EIF1AD",NA,NA,NA,"ZNF780A"
NA,"CDC37L1","ZNF862",NA,"MTHFSD","GCHFR","MRTFA",NA,NA,NA,"TP73"
NA,"MEX3B","ZNF618",NA,"GRAP","GARS-DT","MTSS2",NA,NA,NA,"PAK1"
NA,"PHLDB3","LINC01503",NA,"PIK3CG","MTX1","PANK4",NA,NA,NA,"LINC00115"
NA,"ELFN2","TIGD7",NA,"DFFA","TMEM126B","ZNF493",NA,NA,NA,"RBMS2"
NA,"APOBEC3H","NUDT3",NA,"DPAGT1","TAB3","ZNF446",NA,NA,NA,"GEMIN4"
NA,"AL121992.3","ATP7A",NA,"ARL1","EMC9","NIPAL3",NA,NA,NA,"FCRL1"
NA,"PHAX","USE1",NA,"FMNL1","GJB2","TMEM170A",NA,NA,NA,"FANCM"
NA,"GCLC","EFCAB11",NA,"FLI1","KPNA6","RGS2",NA,NA,NA,"SEPTIN4"
NA,"KIAA1586","DZIP3",NA,"DPP8","STK19","PDZK1IP1",NA,NA,NA,"FBXO41"
NA,"MDN1","XAF1",NA,"CHFR","RAI14","CDKN2D",NA,NA,NA,"ZNF761"
NA,"NOM1","LINC00963",NA,"MINK1","HAT1","RNF40",NA,NA,NA,"TSNARE1"
NA,"AC100803.4","AP3B1",NA,"TRMU","SLAIN2","MTA2",NA,NA,NA,"TMTC4"
NA,"SLC25A30","PROSER3",NA,"PHTF2","HAL","UCHL3",NA,NA,NA,"NEB"
NA,"TYW3","PRPF40A",NA,"SIRT7","CHMP5","PDCL",NA,NA,NA,"LAMA2"
NA,"CFHR4","CPM",NA,"FAM199X","OTULIN","AC024940.6",NA,NA,NA,"AFF4"
NA,"SLC10A4","EIF4G3",NA,"MAST3","PSMD10","ZC3H12C",NA,NA,NA,"PYGO1"
NA,"TSLP","NT5C2",NA,"AC108488.1","TXLNA","CD83",NA,NA,NA,"GIPC3"
NA,"FAM149B1","CEP164",NA,"TMC8","HPGD","GIMAP7",NA,NA,NA,"TBC1D7"
NA,"ARRDC5","KNOP1",NA,"NT5DC1","SLC31A1","EDEM3",NA,NA,NA,"TP53BP1"
NA,"ERLIN2","ZCRB1",NA,"CORO1A","FTSJ1","AL356417.3",NA,NA,NA,"IGLV3-10"
NA,"RTN1","SND1-IT1",NA,"DOT1L","NDFIP2","NRAV",NA,NA,NA,"SH2B2"
NA,"ECM1","ZBED3-AS1",NA,"MIB2","LETMD1","SUSD3",NA,NA,NA,"PLN"
NA,"NUFIP1","ZNF562",NA,"SNHG3","TNKS2","PLCB4",NA,NA,NA,"MYLPF"
NA,"NQO1","DPH6",NA,"PYCR2","PTPMT1","SHTN1",NA,NA,NA,"CRY1"
NA,"HDAC6","PFAS",NA,"ATXN2","ABCC2","LIPE",NA,NA,NA,"EXD2"
NA,"SFRP5","SLC22A31",NA,"ABI3BP","CZIB","PKN2",NA,NA,NA,"CARMIL1"
NA,"AS3MT","ZNF74",NA,"DCTPP1","GRB14","B3GNT8",NA,NA,NA,"CCDC68"
NA,"LAMA5","BATF2",NA,"ITGAE","TSHZ1","SLC49A3",NA,NA,NA,"RUNX1T1"
NA,"PNMA6A","TCF4",NA,"ZNF790","EPHB4","ATAD3A",NA,NA,NA,"AFDN-DT"
NA,"TRPV4","PRKX",NA,"CD40","TARS","ZFAND2A",NA,NA,NA,"POLD3"
NA,"BX537318.1","COL1A1",NA,"TRAF3IP3","GRB10","CD4",NA,NA,NA,"VIPAS39"
NA,"METTL7B","SAMD9L",NA,"HLA-DOB","SLC43A3","MAMDC4",NA,NA,NA,"TBC1D15"
NA,"NAV3","MTO1",NA,"ATXN7L3","FAM8A1","SLC36A4",NA,NA,NA,"TERF2"
NA,"ZMYND12","B2M",NA,"MCOLN2","HBB","HK3",NA,NA,NA,"SPACA6"
NA,"NTPCR","HERC1",NA,"HMG20B","TYSND1","EXO5",NA,NA,NA,"ZNF583"
NA,"LRIG1","SOX12",NA,"AP3S1","EEFSEC","CASP5",NA,NA,NA,"BBS12"
NA,"CLCN3","PKD2L1",NA,"SAFB","STARD4","SLFN5",NA,NA,NA,"RIOK2"
NA,"TSPOAP1","ACOT11",NA,"OGDH","MRPL21","MTMR6",NA,NA,NA,"ANAPC13"
NA,"CPEB2","RLIM",NA,"DEGS2","STXBP4","THOC7",NA,NA,NA,"PRPF40B"
NA,"ACSF2","CREBRF",NA,"IAH1","VARS","CHML",NA,NA,NA,"FANCI"
NA,"AC020915.2","MAPK8",NA,"BMP2K","SLC25A43","LINC01481",NA,NA,NA,"AGAP2-AS1"
NA,"DPF2","FGF1",NA,"CDK11A","SNW1","DRG2",NA,NA,NA,"AC100803.3"
NA,"VAV3","EPB41L2",NA,"PSTK","GNMT","CDCA8",NA,NA,NA,"PTGIR"
NA,"KCNJ2","PDE4DIP",NA,"NOB1","SLC35C1","ADAP1",NA,NA,NA,"MAPK13"
NA,"TPRN","KLRK1",NA,"ATAD3B","MYO7A","CHCHD6",NA,NA,NA,"PHF5A"
NA,"RAP2A","DLG1",NA,"CYTH4","CLDN5","TTYH3",NA,NA,NA,"AC087239.1"
NA,"LSS","ZBTB11",NA,"THUMPD3-AS1","ANKRD37","CHUK",NA,NA,NA,"MTREX"
NA,"SEMA3F","NOP58",NA,"ZNF451","PTAR1","RBM22",NA,NA,NA,"DUBR"
NA,"SCN1B","BDP1",NA,"SRI","RALGAPA2","SP3",NA,NA,NA,"PRKD3"
NA,"S100A12","CCDC80",NA,"MTMR12","CHSY1","SFR1",NA,NA,NA,"LOXL1"
NA,"AL122035.2","METTL16",NA,"ILKAP","TMEM45B","SPINDOC",NA,NA,NA,"RNF111"
NA,"TANC2","WIPF2",NA,"TNFRSF25","RBM42","GARNL3",NA,NA,NA,"IGLV2-8"
NA,"ZBTB21","SMARCAD1",NA,"CORO1B","MAP4K3-DT","AC011503.2",NA,NA,NA,"SPATA5L1"
NA,"ZKSCAN4","ADPGK",NA,"PDCD2","LEPR","HMOX1",NA,NA,NA,"ZNF213-AS1"
NA,"ATP7B","DEK",NA,"CASC3","MRPL44","NOP16",NA,NA,NA,"MRPL32"
NA,"GLRX5","GPSM2",NA,"TNK2","FAM83H","BBS12",NA,NA,NA,"DPY19L3"
NA,"ABCD3","FBXL18",NA,"HECTD1","C11orf54","LRRC23",NA,NA,NA,"TFCP2"
NA,"GALNT18","ZNF512B",NA,"IFFO1","MARCKSL1","FNDC10",NA,NA,NA,"CDK12"
NA,"DLL4","NFAT5",NA,"LRRK1","B3GALT6","MIEF2",NA,NA,NA,"TRAM2"
NA,"PLS3-AS1","C3AR1",NA,"PGM3","CAPRIN2","ZCCHC14",NA,NA,NA,"LINC00240"
NA,"TCF7L1","NOL10",NA,"LIMD2","SELENON","AC026803.1",NA,NA,NA,"COL10A1"
NA,"SOWAHB","FAM160B2",NA,"IGBP1","OGDHL","LAT2",NA,NA,NA,"RUSC2"
NA,"NHLRC2","PPP2R3B",NA,"DENND4A","MAPK6","DDA1",NA,NA,NA,"USP46-AS1"
NA,"CFL2","ZBTB26",NA,"COX7A1","KLHL5","MTMR3",NA,NA,NA,"EXOSC1"
NA,"COBL","TMEM200B",NA,"CHTOP","DDI2","JAKMIP2",NA,NA,NA,"PIBF1"
NA,"MIR155HG","TMEM255A",NA,"RPS6KA4","ARFIP2","TRMT2A",NA,NA,NA,"KCNQ4"
NA,"N4BP1","FAM114A2",NA,"MED15","KPNA3","ADAT1",NA,NA,NA,"AC100814.1"
NA,"NFYC-AS1","SLC16A3",NA,"MALT1","TUT7","SMIM20",NA,NA,NA,"DHFR2"
NA,"PPP1R13L","ZNRF1",NA,"VDAC2","KIF21A","CASP9",NA,NA,NA,"KIFAP3"
NA,"AC097359.2","CALD1",NA,"LYL1","TRAPPC12","C1QTNF4",NA,NA,NA,"ZDHHC1"
NA,"ERF","USP33",NA,"PM20D2","MRPL35","ABITRAM",NA,NA,NA,"CAMK2D"
NA,"CCDC107","THBS2",NA,"CCL21","TRAF3","CCL17",NA,NA,NA,"RBMS3"
NA,"OR2I1P","LILRB2",NA,"STARD3","VASN","SCIMP",NA,NA,NA,"DEPDC5"
NA,"FAIM","SLC12A5",NA,"TRAF5","PPP2R2D","GOPC",NA,NA,NA,"SPATA1"
NA,"MCM5","LY75",NA,"APAF1","MMAB","CCDC28B",NA,NA,NA,"TATDN1"
NA,"PTDSS1","HACE1",NA,"NPIPB5","GALE","ZNF791",NA,NA,NA,"SPOUT1"
NA,"BBS2","PRKRIP1",NA,"SLC5A6","MRPL13","BANK1",NA,NA,NA,"C9orf85"
NA,"CXCL1","RORA",NA,"AKAP8","TSFM","B3GNT7",NA,NA,NA,"TCL1A"
NA,"CCDC86","AL080317.2",NA,"AOC3","PSMC4","PARP12",NA,NA,NA,"ZNF682"
NA,"NUBP1","KIDINS220",NA,"RBL2","SLC10A1","ZNF771",NA,NA,NA,"TMEM132A"
NA,"AC009093.6","ERC1",NA,"STK16","GALC","HTRA4",NA,NA,NA,"WNT10A"
NA,"EXOSC5","DNAJC21",NA,"CLNS1A","CUL1","SCFD1",NA,NA,NA,"HECW2-AS1"
NA,"MPG","TNC",NA,"SEC23B","SLC17A5","GABPB2",NA,NA,NA,"SASS6"
NA,"MARC1","CCAR1",NA,"KMT2B","PACSIN2","DND1",NA,NA,NA,"MAN1B1-DT"
NA,"NIT2","SHOC2",NA,"SNHG12","DCTN6","PAQR4",NA,NA,NA,"MARK1"
NA,"MYBL1","AL110115.2",NA,"CMKLR1","ANTXR1","IMPACT",NA,NA,NA,"IGF1R"
NA,"DEPDC7","ELMOD2",NA,"STIP1","MRPS11","LRP8",NA,NA,NA,"GPR160"
NA,"HOXC4","CXCL3",NA,"CCDC159","SARDH","CD72",NA,NA,NA,"MUSTN1"
NA,"BTNL8","RBMS1",NA,"DHX30","TCEAL3","AC107464.3",NA,NA,NA,"AL359697.1"
NA,"MANEAL","AL136962.1",NA,"MAP3K6","MTMR4","GNA15",NA,NA,NA,"LRTOMT"
NA,"LINC00865","SIGLEC10",NA,"CAPN10","NUDT9","TIGD1",NA,NA,NA,"SLC7A11"
NA,"ISL2","SLC4A11",NA,"GSK3B","SART1","UST",NA,NA,NA,"WLS"
NA,"ADCYAP1","TM6SF1",NA,"MMP19","BTN2A2","LINC01215",NA,NA,NA,"GADD45A"
NA,"SMIM27","USP46",NA,"SCMH1","AQP3","ATP6V1H",NA,NA,NA,"DALRD3"
NA,"EEF1AKNMT","NCS1",NA,"MBTPS2","EIF2AK2","ZNF808",NA,NA,NA,"UBE2A"
NA,"NCBP1","MAP3K2",NA,"PREX1","SEC23IP","CYFIP2",NA,NA,NA,"CBX1"
NA,"CAMSAP1","CDC40",NA,"BTRC","COMMD4","GAB3",NA,NA,NA,"DEXI"
NA,"MPHOSPH9","IGFL2",NA,"TIMMDC1","IFI35","NBEA",NA,NA,NA,"PRELID2"
NA,"AC002553.1","CCDC120",NA,"TTLL3","FRYL","AF111167.2",NA,NA,NA,"GTPBP4"
NA,"FCF1","FZD3",NA,"CD48","NBDY","KNOP1",NA,NA,NA,"RUVBL1"
NA,"NR1H4","TMEM168",NA,"SF3A2","AKR1B10","GCNA",NA,NA,NA,"VPS9D1"
NA,"TMEM185B","REST",NA,"CD96","GTF2H1","CDK4",NA,NA,NA,"PSPC1"
NA,"SOCS2","HBEGF",NA,"DNAJC7","CYP2B6","PPP2R5A",NA,NA,NA,"ADAMTS2"
NA,"CLMN","ITGB3BP",NA,"MAPK8IP3","ARHGAP5","IGF1R",NA,NA,NA,"TMEM104"
NA,"FAM83F","SFSWAP",NA,"INTS14","NIT1","JDP2",NA,NA,NA,"USP53"
NA,"NAE1","KCNJ5",NA,"TBC1D13","PITPNB","LINC01970",NA,NA,NA,"RAB9A"
NA,"GCDH","BLM",NA,"MAP4K1","PTOV1","POLD3",NA,NA,NA,"MUTYH"
NA,"SIAE","MID1IP1",NA,"RHBDD1","SATB1","ALDH3B1",NA,NA,NA,"NF2"
NA,"GLCE","AFAP1",NA,"TRPM7","ALDOA","CDK2",NA,NA,NA,"RPP25L"
NA,"CELF6","HP",NA,"URGCP","TMEM18","AC080038.1",NA,NA,NA,"FAM181B"
NA,"RAP1GAP","AJAP1",NA,"NECAP2","TMEM135","KCNN4",NA,NA,NA,"CST2"
NA,"BX664727.3","PABPN1",NA,"EPG5","GLYCTK","MIS12",NA,NA,NA,"BICRA"
NA,"TIPARP-AS1","AC110792.3",NA,"CEMIP2","FAM122B","LINC02397",NA,NA,NA,"WNT5B"
NA,"SLC45A3","YTHDC2",NA,"SAMM50","AHCY","LILRA1",NA,NA,NA,"ZNF248"
NA,"PIGZ","TAF2",NA,"ARMT1","PHACTR4","ZNF614",NA,NA,NA,"FUT8"
NA,"EMID1","ZNF609",NA,"NCLN","CMTM8","PBRM1",NA,NA,NA,"TMEM132E"
NA,"TNFRSF10D","FCGR3A",NA,"ZNF606","KIAA1191","CD34",NA,NA,NA,"ITM2A"
NA,"BORCS5","PRPF38B",NA,"IL4R","ARIH1","MMP12",NA,NA,NA,"TMEM178A"
NA,"CCDC183-AS1","CDCP1",NA,"NFKB1","DDRGK1","ZNF275",NA,NA,NA,"CASS4"
NA,"GBE1","WWP2",NA,"TMEM87A","DPP9","ELMOD3",NA,NA,NA,"CASP10"
NA,"LSM14B","ZNF696",NA,"SNHG1","KLHL42","ZNF549",NA,NA,NA,"ATF6B"
NA,"A2M-AS1","SRRD",NA,"POMGNT1","SLC39A8","CEP250",NA,NA,NA,"IKZF2"
NA,"PWRN1","KRCC1",NA,"TBRG1","SNX8","CEP83",NA,NA,NA,"ARMCX4"
NA,"ZBTB1","PLCXD3",NA,"RAB20","SLAMF8","LINC01303",NA,NA,NA,"CXorf21"
NA,"AC105180.2","DPM1",NA,"MAP3K7","OXLD1","FAM200A",NA,NA,NA,"IGLV3-19"
NA,"CINP","AC012368.1",NA,"GPR137","PRKRA","H2AFY2",NA,NA,NA,"PPP1R2"
NA,"MANSC1","AC005332.5",NA,"XPO6","RNF185","BCL2",NA,NA,NA,"DCUN1D2"
NA,"AC009407.1","LPAR2",NA,"NME3","ORAI3","LINC00702",NA,NA,NA,"RTL8A"
NA,"DPP3","LMNTD2",NA,"SRGAP1","SIN3B","LINC02245",NA,NA,NA,"ZDHHC12"
NA,"MMGT1","TTN",NA,"ALG13","ITGAL","INPP5B",NA,NA,NA,"AC009283.1"
NA,"NEIL2","TLR1",NA,"PFDN6","ZC3H14","HECA",NA,NA,NA,"CCDC126"
NA,"CCM2L","UBA6",NA,"RNPEP","ZNF593","EMILIN2",NA,NA,NA,"VPS37A"
NA,"AL049840.5","CAMSAP2",NA,"TMPO","KHSRP","NSUN5",NA,NA,NA,"AGAP1"
NA,"SEPHS1","RNASEH2B",NA,"B4GALT5","MYC","ANKIB1",NA,NA,NA,"DTWD1"
NA,"CHST12","MT-ND2",NA,"CD2BP2","AJUBA","PRXL2C",NA,NA,NA,"IGLV3-21"
NA,"GRAMD1B","AKAP9",NA,"ZNF787","UBE2F","FHDC1",NA,NA,NA,"MOAP1"
NA,"ZSWIM1","SACM1L",NA,"SMIM19","TP53TG1","ZNF432",NA,NA,NA,"IL18R1"
NA,"ATP13A4","FCGR2A",NA,"STRADA","ARMC10","TWF2",NA,NA,NA,"ZNF143"
NA,"HSF2","AC009779.2",NA,"HIPK1","SVIP","NR2C2",NA,NA,NA,"SLC6A16"
NA,"ADH1A","C7orf26",NA,"KLF16","HKDC1","IBA57",NA,NA,NA,"TRIT1"
NA,"MVK","KRT222",NA,"ARL2","TMEM220","NUTF2",NA,NA,NA,"ALOX12-AS1"
NA,"TNS2","DDX46",NA,"TMEM50B","PDCD5","MAD2L1",NA,NA,NA,"HSPB8"
NA,"FRAS1","GIN1",NA,"ASAP1","ATXN1","PPIP5K2",NA,NA,NA,"SLC25A53"
NA,"CLEC4A","WASF2",NA,"COBLL1","PCCB","MAGI2-AS3",NA,NA,NA,"HTRA3"
NA,"KYNU","PPM1K",NA,"ZFP41","FAM162A","AC008074.2",NA,NA,NA,"NYNRIN"
NA,"N4BP2L2-IT2","C1orf216",NA,"MRPS33","RNF135","TP53INP2",NA,NA,NA,"CASP1"
NA,"ERMP1","AC008443.1",NA,"IMP3","ATG2B","AL662844.4",NA,NA,NA,"UBASH3B"
NA,"CA5A","NCF2",NA,"UQCC3","CYP2C18","AC007686.3",NA,NA,NA,"LINC01781"
NA,"GPR143","NOC3L",NA,"NFKBIL1","RNF103","TNFAIP6",NA,NA,NA,"NRARP"
NA,"CD226","ZNF496",NA,"TP53I13","CYP7B1","B4GALT4",NA,NA,NA,"KANK2"
NA,"RPP30","PTPN13",NA,"ACCS","AMPD2","DCK",NA,NA,NA,"CIAO3"
NA,"PEX10","PCSK7",NA,"MAP4K2","LCLAT1","ZNF816",NA,NA,NA,"STX18"
NA,"FLT4","ENO2",NA,"GNL3L","ANP32E","PKD2",NA,NA,NA,"ZNF518B"
NA,"LINC00909","UBR4",NA,"NUDT16L1","OSGIN1","FKBP15",NA,NA,NA,"RNF144A"
NA,"HULC","CALHM5",NA,"AC004477.1","DCAF12","CRACR2A",NA,NA,NA,"EGFL8"
NA,"C16orf91","CWF19L2",NA,"PIKFYVE","TEAD3","ATF7",NA,NA,NA,"NUAK2"
NA,"TMEM184C","AC026471.1",NA,"VASP","CCNG1","ZNF197",NA,NA,NA,"NEK9"
NA,"SPATA24","GPRC5B",NA,"AKIRIN2","CBFA2T2","LOXL4",NA,NA,NA,"MAP4K5"
NA,"AC004847.1","HS3ST2",NA,"ZFAND3","ENPP2","AL034374.1",NA,NA,NA,"ART4"
NA,"MYH7B","AC016747.1",NA,"YAP1","ALDH5A1","TXK",NA,NA,NA,"GPRASP1"
NA,"ONECUT2","AL356356.1",NA,"GLIPR1","AFMID","CCNE1",NA,NA,NA,"AC087752.3"
NA,"PPP1R35","USPL1",NA,"SLC25A25-AS1","BRWD1","C15orf39",NA,NA,NA,"PDE7B"
NA,"UGT2B11","RELL1",NA,"GSS","SLC25A10","HIF1AN",NA,NA,NA,"NRGN"
NA,"SLC38A11","NEXN",NA,"SYNGR2","GPT","MERTK",NA,NA,NA,"SETDB1"
NA,"TIE1","PPP2R5E",NA,"ATR","PAICS","NELFCD",NA,NA,NA,"CRELD1"
NA,"EPHX2","ZNF814",NA,"NMD3","SMPDL3A","CAMK4",NA,NA,NA,"NALCN"
NA,"ZBTB16","AP001042.1",NA,"ST14","PVR","TRIM59",NA,NA,NA,"LAMP5"
NA,"NUP37","KCTD12",NA,"PEX16","COX20","ANKRD13B",NA,NA,NA,"AP001816.1"
NA,"AC016027.1","USP25",NA,"BSCL2","RNF152","ZBTB11",NA,NA,NA,"ENTPD3-AS1"
NA,"AC100786.1","UBXN4",NA,"SPEN","NUDT5","HK2",NA,NA,NA,"BNC2"
NA,"PPP1R1A","HERC5",NA,"ZPR1","COMMD5","CCSER2",NA,NA,NA,"ZNF26"
NA,"C6orf120","SPIN1",NA,"GJC1","ITPKB","S100A9",NA,NA,NA,"OAS2"
NA,"TMEM41B","PAG1",NA,"ENPP4","CNPPD1","LRRC42",NA,NA,NA,"B3GNT9"
NA,"SNHG10","SSX2IP",NA,"EPC1","NDUFV3","RAD51AP1",NA,NA,NA,"ATP6V1E2"
NA,"NAT10","SRPK2",NA,"ADCY7","BCAR1","VPS41",NA,NA,NA,"SAP30"
NA,"MLF1","COQ10B",NA,"CHD1","POLR2H","ZP1",NA,NA,NA,"ARL16"
NA,"EGFR","IL7",NA,"HSH2D","NARF","SERTAD3",NA,NA,NA,"PLPP2"
NA,"PDE8A","RAB22A",NA,"DEF6","SSBP3","VPS37D",NA,NA,NA,"DYRK4"
NA,"PROM2","APLF",NA,"CADPS2","MSL2","KLHL21",NA,NA,NA,"DDHD2"
NA,"FAM149A","RBM15B",NA,"PDS5B","DNTTIP2","SH2D3A",NA,NA,NA,"ZNF692"
NA,"EPB41L4B","SOX4",NA,"MCM7","LBR","ARMCX1",NA,NA,NA,"ALMS1"
NA,"LINC02829","ZNF674-AS1",NA,"LRRC58","MGST2","SIRPG",NA,NA,NA,"C19orf54"
NA,"RILP","KRI1",NA,"TMED3","TSHZ2","SIRPA",NA,NA,NA,"EMCN"
NA,"APOOL","MT-CO1",NA,"EMB","PLEKHA4","MAP1S",NA,NA,NA,"NDN"
NA,"FIZ1","HHIP-AS1",NA,"RAD51C","CUEDC2","OLFM1",NA,NA,NA,"KIAA0040"
NA,"SH3BP5L","TENM4",NA,"NUP210","FBXO21","EFCAB13",NA,NA,NA,"MEIS3"
NA,"PAXBP1-AS1","HOMER3",NA,"CUTC","PIPOX","FAM24B",NA,NA,NA,"MYLIP"
NA,"TBC1D5","THSD4",NA,"MRPL53","KIF13B","MAP6D1",NA,NA,NA,"NELL2"
NA,"AL592494.1","GABBR1",NA,"RESF1","ALDH1B1","SEC16B",NA,NA,NA,"ABRAXAS2"
NA,"AIG1","MAP9",NA,"CLCN7","CCDC14","IGSF8",NA,NA,NA,"ZNF793"
NA,"FGA","PLEKHM1",NA,"MRNIP","PPP1R8","CIAPIN1",NA,NA,NA,"DNAJC18"
NA,"HDC","ALDH3B1",NA,"CCN4","MED26","AMIGO2",NA,NA,NA,"PCDHB15"
NA,"LIN54","PDAP1",NA,"TMF1","RAD51D","SSBP3-AS1",NA,NA,NA,"DMWD"
NA,"RARS2","HMGXB3",NA,"TOMM34","FYTTD1","CYTL1",NA,NA,NA,"KAT2A"
NA,"LINC00885","SYNGAP1",NA,"SGK3","MSRB1","ZNF490",NA,NA,NA,"C1GALT1C1"
NA,"MCMBP","RILPL1",NA,"PIP4K2B","ARRDC1-AS1",NA,NA,NA,NA,"CILP"
NA,"MTG2","LTN1",NA,"ITGA8","PNPLA8",NA,NA,NA,NA,"PHF11"
NA,"ACOX3","RUNX1",NA,"ERCC2","PSPH",NA,NA,NA,NA,"BICDL2"
NA,"SULT1A3","ATM",NA,"PLCG2","TBC1D16",NA,NA,NA,NA,"SSBP2"
NA,"LINC00174","USP8",NA,"AC108134.3","FXR1",NA,NA,NA,NA,"FASTKD3"
NA,"SULT1A2","TPM3",NA,"LMBR1L","SEMA3C",NA,NA,NA,NA,"LMLN"
NA,"TADA3","TTC14",NA,"PSTPIP1","DDIT3",NA,NA,NA,NA,"MIR22HG"
NA,"HHEX","ERICH1",NA,"TAP1","CENPT",NA,NA,NA,NA,"LDLRAD3"
NA,"ALPK2","MNT",NA,"PITHD1","DCUN1D4",NA,NA,NA,NA,"FLRT2"
NA,"AC034102.8","LINC02388",NA,"PFKP","DPY30",NA,NA,NA,NA,"DENND6B"
NA,"NTMT1","NOL8",NA,"CUL3","G6PC3",NA,NA,NA,NA,"ZNF84"
NA,"AC245297.2","MTHFD2",NA,"PTRH2","RAB6A",NA,NA,NA,NA,"ZNF514"
NA,"HMCN2","IL6",NA,"PLEKHM2","ADSL",NA,NA,NA,NA,"TMEM164"
NA,"C12orf29","UNC5C",NA,"TMOD3","RPAP3",NA,NA,NA,NA,"LSM6"
NA,"TRMT61A","HGH1",NA,"PCID2","FBXO25",NA,NA,NA,NA,"AC084036.1"
NA,"LINC01963","WDR5B",NA,"KDM5D","SMARCA1",NA,NA,NA,NA,"RSAD2"
NA,"AC099684.1","HK2",NA,"FEM1A","TMEM204",NA,NA,NA,NA,"RCAN3"
NA,"ALDH8A1","CEP78",NA,"MAGEF1","FUT11",NA,NA,NA,NA,"GSTM2"
NA,"PRKAB1","LPAR6",NA,"CYTIP","KAT5",NA,NA,NA,NA,"COL4A3"
NA,"CA2","NRIP1",NA,"NFKB2","TMEM140",NA,NA,NA,NA,"CCDC28A"
NA,"GHR","RPGR",NA,"LDLRAP1","NDC1",NA,NA,NA,NA,"STAM"
NA,"TKFC","ZNF415",NA,"GRK3","TMEM43",NA,NA,NA,NA,"RNF2"
NA,"FBXL6","WDR43",NA,"CYB561A3","ANO6",NA,NA,NA,NA,"C1orf131"
NA,"CDH6","HK3",NA,"SECTM1","GPN1",NA,NA,NA,NA,"POLE3"
NA,"SCN3A","KIF2A",NA,"ATL2","ERBB2",NA,NA,NA,NA,"TSTD2"
NA,"FNDC5","Z97200.1",NA,"RGS19","TUBE1",NA,NA,NA,NA,"C1orf56"
NA,"CDAN1","ARPC5",NA,"SYMPK","PROSER2",NA,NA,NA,NA,"FAM24B"
NA,"LZTS2","CASP8AP2",NA,"PLRG1","EHMT2",NA,NA,NA,NA,"HTR2B"
NA,"FOXN2","TBXAS1",NA,"NOP2","KAT8",NA,NA,NA,NA,"AC016957.2"
NA,"SLK","MAN1A2",NA,"ITGB1BP1","AL365361.1",NA,NA,NA,NA,"ENDOG"
NA,"TMEM38A","LINC00294",NA,"EFTUD2","CHRD",NA,NA,NA,NA,"TFPI2"
NA,"KAZN","DDX51",NA,"RPF2","ANO1",NA,NA,NA,NA,"PDE5A"
NA,"LRAT","GCC2",NA,"SEC22C","DYNLT3",NA,NA,NA,NA,"GVQW3"
NA,"DLEC1","LINC01638",NA,"TCEA1","COPZ2",NA,NA,NA,NA,"AL133243.2"
NA,"PCGF1","PRPF4B",NA,"ARNT","PARP4",NA,NA,NA,NA,"ADRA2A"
NA,"SLAIN1","GPNMB",NA,"MALINC1","VAMP3",NA,NA,NA,NA,"POGLUT2"
NA,"NOL4L","INTS7",NA,"LSM8","RRM2B",NA,NA,NA,NA,"CD1C"
NA,"CHD1L","PSRC1",NA,"EGLN2","UBE4A",NA,NA,NA,NA,"FGD5"
NA,"ANK3","TRIM23",NA,"PDK2","TLCD4",NA,NA,NA,NA,"PAXIP1"
NA,"TAF1","MARCKS",NA,"BABAM1","SELENOT",NA,NA,NA,NA,"GTPBP6"
NA,"AC022079.2","ARID4B",NA,"NSL1","TMUB1",NA,NA,NA,NA,"TNFAIP8L2"
NA,"LHPP","SP100",NA,"GABPB1-AS1","SPAG7",NA,NA,NA,NA,"MATK"
NA,"IREB2","GAB1",NA,"MICALL2","ZNF330",NA,NA,NA,NA,"USB1"
NA,"RPS6KL1","PTMA",NA,"C17orf49","IBTK",NA,NA,NA,NA,"JRKL"
NA,"ATG4D","AC103858.3",NA,"TOP2B","DGCR8",NA,NA,NA,NA,"GRIN2D"
