"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"SLC14A2-AS1","SFT2D3","PSMD5","SRCIN1","CXCL13","TMEM41A","SRR","WFIKKN1",NA,NA,"NEMP2"
"AC027097.1","THSD7B","NTNG2","TOB1-AS1","DAPP1","AC016949.1","ATP1B2","NOXO1",NA,NA,"PLCL1"
"MC4R","EPC2","TTF1","SMG8","AC004069.1","MYL5","TNFRSF13B","AC007221.1",NA,NA,"SATB2"
"ZNF554","AC016682.1","TAF3","RGS9","PPID","AC139887.2","GID4","AC138969.1",NA,NA,"TMEM237"
"CRB3","ACVR1C","WAC-AS1","NDUFV2-AS1","PRIMPOL","FGFRL1","AC127024.5","HSD11B2",NA,NA,"ZDBF2"
"ANGPTL8","UPP2","KAT6B","AC120049.1","CCDC127","AC093323.1","CCL7","AC027682.4",NA,NA,"DIRC3"
"ZNF563","FIGN","CCNJ","PMAIP1","TTC33","LIMCH1","AC060766.4","TMED6",NA,NA,"GPBAR1"
"ZNF799","KLHL23","ZNF518A","HCN2","ARL15","UGT2A3","HNF1B","AC009159.3",NA,NA,"TWIST2"
"C19orf44","AC010894.2","ARHGAP19","TLE6","MTX3","COX18","C17orf53","AC092718.4",NA,NA,"SNED1"
"ZNF30","PJVK","RRP12","INSL3","TCF7","MTHFD2L","SP2-AS1","CDH13",NA,NA,"CNTN4"
"ZNF850","FKBP7","CTBP2","LGI4","CXCL14","RCHY1","SOX9-AS1","NECAB2",NA,NA,"PRRT3"
"ZNF546","LINC01473","LRRC27","AC011462.5","IGIP","PAQR3","CD300LB","C16orf95",NA,NA,"MKRN2"
"CADM4","OSGEPL1","KCNQ1OT1","ERFL","FCHSD1","PYURF","AC011933.2","AC087392.1",NA,NA,"FBLN2"
"ZNF235","MAIP1","TRIM21","MYPOP","AC011352.1","DNAJB14","AC027601.6","AC004148.1",NA,NA,"RARB"
"AC011468.1","ORC2","NRIP3","DACT3","ITK","SGMS2","GAPLINC","UNC45B",NA,NA,"LINC02084"
"TCF15","ALS2","MTRNR2L8","ADM5","THG1L","NUDT6","FAM210A","ACACA",NA,NA,"OXSR1"
"OVOL2","TTLL4","UEVLD","FUZ","UIMC1","NOCT","LAMA3","EPOP",NA,NA,"GASK1A"
"AL357033.4","IRS1","PRMT3","ZNF888","RGS14","CLGN","CABYR","ANKFN1",NA,NA,"ZNF501"
"SH3BGR","SLC19A3","PRR5L","TMC4","LTC4S","HHIP","AC090340.1","SLC25A19",NA,NA,"XCR1"
"WBP2NL","NGEF","AC090559.1","ZNF418","AC008610.1","DDX60L","TICAM1","PDE6G",NA,NA,"CCR5"
"PIR","RAB17","TMEM223","ZNF324B","SERPINB9","RWDD4","AC022098.4","AC139530.1",NA,NA,"CCDC51"
"SYTL5","HDAC4-AS1","SLC25A45","FOXS1","PHACTR1","NKD2","B3GNT3","GREB1L",NA,NA,"NICN1"
"UPRT","MAB21L4","MALAT1","PTK6","AL137003.2","NSUN2","ZNF599","DSG1",NA,NA,"C3orf14"
"GABRB3","THAP4","C2CD3","AP000322.2","CASC15","RETREG1","LINC01535","LINC01909",NA,NA,"ZNF654"
"TOX3","AC024060.2","NTM","AP001434.1","HIST1H1C","C5orf22","ZNF569","AC005944.1",NA,NA,"NSUN3"
"CEACAM19","OXTR","OLR1","PDE9A","HCG11","LMBRD2","NCCRP1","TNFSF9",NA,NA,"TRMT10C"
"MIER3","BRPF1","VDR","HIC2","RPP21","PTGER4","PAFAH1B3","AC008764.8",NA,NA,"AC084198.2"
"CCDC125","ATP2B2","WNT10B","ZNF70","C6orf136","CCDC152","EML2","AC024075.1",NA,NA,"AC012020.1"
"EZH2","HDAC11","GALNT6","TEF","TCF19","NNT-AS1","CCDC9","ZNF540",NA,NA,"GCSAM"
"EPHB2","CHCHD4","SMARCC2","ADM2","ATP6V1G2","ERCC8","TMEM143","ZFP30",NA,NA,"SIDT1"
"RTCA-AS1","EAF1-AS1","MSRB3","CDKL5","NCR3","RNF180","SIGLEC14","ZNF230",NA,NA,"EAF2"
"ERICH5","FBXL2","METTL25","MAGIX","LY6G5B","GFM2","ZNF71","EML2-AS1",NA,NA,"MCM2"
"CDPF1","XYLB","CEP290","AC233976.1","LY6G5C","POLK","AC012313.5","CCDC8",NA,NA,"AC083799.1"
"CDC25A","MYRIP","GAS2L3","CXorf65","AGER","ACOT12","SRXN1","ZNF765",NA,NA,"ASTE1"
"LINC00893","POMGNT2","TCHP","SLC25A5-AS1","PBX2","TMEM161B-AS1","TRMT6","KIR2DL3",NA,NA,"AC107027.3"
"PACSIN3","ZNF445","FBXW8","CD40LG","PHF1","AC099509.1","SMIM25","PEG3",NA,NA,"SLCO2A1"
"PLIN4","LIMD1","P2RX7","PNMA3","LEMD2","FAM174A","APCDD1L","HSPA12B",NA,NA,"NCK1-DT"
"KCNK5","MYL3","DHX37","RAB39B","AL451165.2","FER","AL117379.1","AL121890.5",NA,NA,"DBR1"
"KIF18B","PHF7","MPHOSPH8","NLGN4Y","BTBD9","EPB41L4A","LINC01426","DONSON",NA,NA,"PXYLP1"
"ZNF28","IL17RB","MEDAG","ZSCAN32","TAF8","PRR16","PKNOX1","LINC00649",NA,NA,"CHST2"
"AC007009.1","DNASE1L3","POSTN","GBGT1","C6orf132","KIF3A","SLC35E4","CLDN14",NA,NA,"COMMD2"
"ALKBH8","RPP14","NAA16","DHRS11","CUL7","CDKN2AIPNL","BAIAP2L2","LINC00313",NA,NA,"EIF2A"
"TLR6","KCTD6","NEK3","AC018816.1","CUL9","PCBD2","NLGN4X","DNMT3L",NA,NA,"GPR171"
"NR1I2","PSMD6-AS2","AL355075.4","AC132217.1","TJAP1","AC008703.1","SPIN4","DGCR6",NA,NA,"GMPS"
"TMEM88","GXYLT2","BAZ1A","BX890604.2","GTPBP2","NUDCD2","CHIC1","GP1BB",NA,NA,"LXN"
"OAS3","CNTN3","AL627171.2","MUC1","AL096865.1","ARL10","LINC00630","TBX1",NA,NA,"CLDN11"
"KIAA0895L","C3orf85","GPR65","RELL2","PLA2G7","FAM153CP","OCRL","LIF",NA,NA,"ECT2"
"GEMIN6","C3orf52","AL121839.2","MYEF2","BMP5","RIOK1","INTS6L","LGALS2",NA,NA,"NAALADL2"
