"","Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"AL034417.3",0.00169382314197719,0.00322655402123928,0,0.394714683294296,0.00346453115344048,0.00352095300331712,0.000310966366669163,0.00214238651096821,6.19401907897554e-05,4.18501840613317e-05,0.000913173542357981
"ERRFI1",1.74447655677795,2.47185683250427,0,0.632693827152252,0.00236142799258232,0.947589755058289,0.240490406751633,1.35207962989807,0.000357248733052984,0.000217014181544073,0.145312577486038
"AL034417.2",0.00229566218331456,0.00173451018054038,0.000160671217599884,0.00200441433116794,0.00201456714421511,0.00198781932704151,0.000720913696568459,0.00240426720120013,0.000117982417577878,8.19462584331632e-05,0.000600215746089816
"SLC45A1",0.00268397154286504,0.0609470419585705,0.000151257569086738,0.0031369118951261,0.00284193200059235,0.00144466024357826,0.00111013685818762,0.00279501406475902,0.000123557765618898,0.000103913640487008,0.000590908457525074
"RERE",0.00212425319477916,0.685698986053467,0.0114538511261344,0.396997541189194,0.00208623614162207,0.943496882915497,0.055326770991087,1.03527820110321,0.0486935786902905,0.0313930995762348,0.139359965920448
"RERE-AS1",0.00333598651923239,0.00241023628041148,0.000342764309607446,0.00219211890362203,0.0034737151581794,0.00233474373817444,0.00161277176812291,0.00338375614956021,0.000159806979354471,7.9848658060655e-05,0.0010046997340396
"ENO1",1.61547636985779,1.55732464790344,0.165694609284401,0.591139256954193,1.18379890918732,1.68422973155975,0.58861893415451,2.8740496635437,0.0893455743789673,5.38001586392056e-05,0.329607665538788
"SLC2A5",0.522704005241394,0.0715401992201805,0.0197961553931236,0.00191602983977646,1.03619575500488,0.00371545110829175,0.0516011826694012,0.00307335145771503,0.000257293257163838,8.41966029838659e-05,0.00127380073536187
"GPR157",0.0026388184633106,0.00211564195342362,0.000452248204965144,0.00255343969911337,0.00874908361583948,0.00251635769382119,0.00325981294736266,0.00245176814496517,0.000134390182211064,8.99852311704308e-05,0.00612047920003533
"MIR34AHG",0.00279900920577347,0.00172285921871662,0.00360804423689842,0.00223468849435449,0.00207832618616521,0.918960928916931,0.00113757571671158,0.00274487538263202,0.000156339985551313,8.69744180818088e-05,0.000929466157685965
"LNCTAM34A",0.00394242955371737,0.00794125627726316,0.000454292719950899,0.00308159342966974,0.00719260331243277,0.00487838918343186,0.00254077464342117,0.00405735149979591,0.000239052213146351,0.000224437491851859,0.00386363221332431
"H6PD",1.65574276447296,1.3202942609787,0,0.384763985872269,1.09865593910217,0.881650865077972,0.347337305545807,1.46299064159393,0.0530798956751823,9.81382254394703e-05,0.0854187309741974
"SPSB1",0.485644370317459,0.152699515223503,0.0148667264729738,0.0029067499563098,0.000631574366707355,1.46082639694214,0.181085586547852,0.986795544624329,0.000884813372977078,0.000133350593387149,0.138773322105408
